,token,cosine
0,observant,0.9999952912330627
1,servanta,0.9999951720237732
2,servan,0.9999943971633911
3,servants,0.9999940395355225
4,manservant,0.9999939799308777
5,servantall,0.9999938607215881
6,maidservant,0.9999935626983643
7,unobservant,0.9999934434890747
8,servannt,0.9999933242797852
9,servanm,0.999992847442627
10,houseservant,0.9999927878379822
11,servani,0.9999926090240479
12,bodyservant,0.9999925494194031
13,blackservant,0.9999924302101135
14,fellowservant,0.9999920129776001
15,bondservant,0.9999918341636658
16,fugitiveservant,0.9999916553497314
17,tellowservant,0.9999914169311523
18,servans,0.999991238117218
19,servance,0.9999911785125732
20,servantgirl,0.9999910593032837
21,servantmaid,0.9999909996986389
22,servantwoman,0.9999897480010986
23,abrahamsservant,0.9999891519546509
24,observation,0.9999872446060181
25,observance,0.9999863505363464
26,restoration,0.9999858140945435
27,representation,0.9999853372573853
28,nation,0.9999851584434509
29,station,0.999984622001648
30,stringent,0.9999843239784241
31,pation,0.9999840259552002
32,sentiment,0.9999839663505554
33,section,0.9999837875366211
34,anticipation,0.9999837279319763
35,attention,0.9999836087226868
36,servanla,0.9999834299087524
37,ration,0.9999833703041077
38,objection,0.9999831318855286
39,mention,0.999983012676239
40,commiseration,0.9999828934669495
41,lation,0.9999826550483704
42,corporation,0.9999825358390808
43,observanoe,0.9999823570251465
44,conciliation,0.9999819993972778
45,ant,0.9999819993972778
46,moment,0.9999818205833435
47,observaneo,0.9999817609786987
48,determination,0.999981701374054
49,compensation,0.9999816417694092
50,connection,0.9999816417694092
51,ser,0.9999815821647644
52,action,0.9999814629554749
53,relation,0.9999814629554749
54,discretion,0.9999814033508301
55,vant,0.9999812841415405
56,direction,0.9999812841415405
57,represent,0.9999812841415405
58,salvation,0.9999812245368958
59,reputation,0.9999812245368958
60,ent,0.9999811053276062
61,international,0.9999811053276062
62,oliservance,0.9999811053276062
63,reserve,0.9999809861183167
64,mation,0.9999808669090271
65,plication,0.9999808073043823
66,service,0.9999807476997375
67,present,0.9999805688858032
68,demonstration,0.9999805092811584
69,constitution,0.9999804496765137
70,interpretation,0.9999804496765137
71,serve,0.9999804496765137
72,convention,0.9999803304672241
73,alteration,0.9999803304672241
74,ohservancii,0.9999802708625793
75,publication,0.9999802708625793
76,declaration,0.9999802708625793
77,vention,0.999980092048645
78,mendation,0.9999800324440002
79,institution,0.9999799728393555
80,representative,0.9999799728393555
81,tention,0.9999799728393555
82,event,0.9999799728393555
83,president,0.9999799728393555
84,cation,0.9999799132347107
85,notion,0.9999799132347107
86,indignation,0.9999797940254211
87,perpetration,0.9999797940254211
88,ment,0.9999796152114868
89,information,0.999979555606842
90,violation,0.9999794960021973
91,operation,0.9999794960021973
92,national,0.9999794363975525
93,reclamation,0.9999794363975525
94,legislation,0.9999794363975525
95,conception,0.9999793767929077
96,tion,0.9999792575836182
97,comment,0.9999792575836182
98,sion,0.9999792575836182
99,agitation,0.9999791979789734
100,ciliation,0.9999791979789734
101,intention,0.9999791383743286
102,preserve,0.9999790191650391
103,stitution,0.9999789595603943
104,intentionally,0.9999789595603943
105,obligation,0.99997878074646
106,embarkation,0.9999787211418152
107,caution,0.9999786615371704
108,condition,0.9999786019325256
109,constant,0.9999786019325256
110,cooperation,0.9999785423278809
111,reception,0.9999785423278809
112,question,0.9999784231185913
113,rition,0.9999784231185913
114,confimation,0.999978244304657
