,token,cosine
0,slavevv,0.9812652468681335
1,sslave,0.9809516072273254
2,slavef,0.9801363945007324
3,slavejy,0.9800198078155518
4,slaveb,0.9799913763999939
5,tslave,0.9799476265907288
6,slaves1,0.9797031283378601
7,rslave,0.9793881177902222
8,slav5,0.9788200259208679
9,slave1,0.9786320924758911
10,slavb,0.9784269332885742
11,slavp,0.9780210256576538
12,slavkr,0.977940022945404
13,slav,0.9775344133377075
14,slavh,0.9772612452507019
15,slaveo,0.9772193431854248
16,slavj,0.9766170978546143
17,slavf,0.976476788520813
18,slavee,0.9761192202568054
19,slavjs,0.9759203791618347
20,slavelr,0.9755572080612183
21,slavn,0.9755370616912842
22,slavfs,0.9754915237426758
23,slaveay,0.9749736189842224
24,olslave,0.9748753309249878
25,slavr,0.9746403098106384
26,slavea,0.9744402766227722
27,slavftb,0.974337100982666
28,slavey,0.9740710854530334
29,slaveh,0.9735702872276306
30,slavt,0.9734569191932678
31,slavetls,0.9733641147613525
32,slavu,0.9725874066352844
33,ofslave,0.9725111722946167
34,slaves,0.9724284410476685
35,slaveif,0.9724201560020447
36,slaveij,0.9723224639892578
37,orslave,0.9706754088401794
38,slao,0.9706475138664246
39,slaveht,0.970462441444397
40,slavuowm,0.9704459309577942
41,slava,0.9703198671340942
42,slap,0.9701935648918152
43,slavs,0.9700677394866943
44,slavsa,0.9700356721878052
45,slavecoffljs,0.9694216251373291
46,slavei,0.9690361022949219
47,slavrv,0.9686331152915955
48,slavo,0.9685593247413635
49,slaveiv,0.9680271148681641
50,slavet,0.9679842591285706
51,slavc,0.9679325819015503
52,sla,0.9678636193275452
53,slavelndde,0.967854380607605
54,slavel,0.9669324159622192
55,slaveho,0.966873824596405
56,slavewhip,0.966400682926178
57,slavtt,0.966277539730072
58,slaven,0.9661359190940857
59,slavepen,0.9658445715904236
60,slavts,0.9656461477279663
61,onslave,0.9655041694641113
62,slavehohl,0.9654504060745239
63,slavpiy,0.9652577042579651
64,slavecode,0.9652338624000549
65,slavos,0.9648370742797852
66,iuveslave,0.964677631855011
67,slavehodcr,0.9643886685371399
68,slavcsbr,0.9641472101211548
69,slavecofflo,0.9636600017547607
70,slavemastcrs,0.963533878326416
71,slavi,0.9632910490036011
72,slavcn,0.9631229639053345
73,slavesin,0.9628265500068665
74,slavas,0.9625111222267151
75,slavih,0.9623440504074097
76,slavurys,0.9620519876480103
77,slavrey,0.9619781374931335
78,slavehotde,0.9618403911590576
79,slavesyieiu,0.9618395566940308
80,islave,0.9618023633956909
81,slaveiy,0.9614612460136414
82,slavieg,0.9614478945732117
83,slavebreod,0.9613746404647827
84,slaviv,0.9613663554191589
85,slavoe,0.9612845778465271
86,slavskoldsr,0.9606942534446716
87,slavehod,0.960672914981842
88,slavci,0.9606040716171265
89,slavss,0.9604885578155518
90,slavehode,0.9601981043815613
91,slavelubor,0.9601250290870667
92,slavemart,0.9601041078567505
93,slavedom,0.9600856304168701
94,hisslave,0.9600383639335632
95,slavebolde,0.9599611759185791
96,himaslave,0.959588885307312
97,slavehol,0.9592779278755188
98,slavcrv,0.959219217300415
99,slaveil,0.9591963887214661
100,slavemenl,0.9590758681297302
101,slavegrowe,0.9588719010353088
102,slavelove,0.958557665348053
103,slavedrive,0.9584598541259766
104,slavoholc,0.9580080509185791
105,slavirv,0.9578731060028076
106,slavehulilmg,0.9578639268875122
107,lave,0.9577088952064514
108,slaver,0.9575196504592896
109,slavety,0.9574516415596008
110,slaveholdr,0.9569944143295288
111,slaveiry,0.9568735361099243
112,slaveidem,0.95660400390625
113,slam,0.9564913511276245
114,slavaiy,0.9564723968505859
115,enslave,0.9564604759216309
116,slavehohie,0.9564465284347534
