,token,cosine
0,servant9,0.9929115176200867
1,servant1,0.9928445219993591
2,servantk,0.9924036264419556
3,servantjo,0.992402195930481
4,servantv,0.9917575716972351
5,servantwa,0.991748034954071
6,servanlv,0.990645706653595
7,servanlj,0.9903519749641418
8,servantr,0.9891650080680847
9,servantjmhoeo,0.988638162612915
10,servantij,0.9885024428367615
11,servanto,0.9884490370750427
12,servanla,0.9883208870887756
13,servanu,0.9881877899169922
14,servantt,0.9881415963172913
15,iservant,0.9873122572898865
16,servantiy,0.9870504140853882
17,servanti,0.9869551062583923
18,servantfitc,0.9866721630096436
19,observant,0.9864600300788879
20,servanrs,0.9864441752433777
21,servantvvboe,0.9859763979911804
22,servanli,0.9859054684638977
23,rvant,0.9855687618255615
24,servantto,0.9852275252342224
25,servantono,0.9852007031440735
26,servanloo,0.9849296808242798
27,servantnor,0.9848412871360779
28,unobservant,0.9847540855407715
29,anservant,0.984724760055542
30,ucrvant,0.9844652414321899
31,vrrvant,0.9843689203262329
32,ooservant,0.9843640327453613
33,servants1,0.9843394160270691
34,servantorhisjl,0.9839004278182983
35,loservant,0.9837839603424072
36,wifrservant,0.9836345314979553
37,rrvant,0.9836320877075195
38,srrvant,0.9833760857582092
39,oirvant,0.9832718372344971
40,servanta,0.9829359650611877
41,wrvant,0.9827655553817749
42,servantii,0.9827051758766174
43,servantcan,0.9826146960258484
44,servantswhlcb,0.982422947883606
45,maidservant,0.982194721698761
46,bodyservant,0.981982946395874
47,fcrvant,0.9819291830062866
48,mrvant,0.9816105961799622
49,servantmaid,0.9815230369567871
50,kjlrftenservant,0.9805824756622314
51,fervant,0.9804625511169434
52,servantswhiob,0.9804000854492188
53,servantlow,0.9802114367485046
54,tfervant,0.9797541499137878
55,oervant,0.9793294668197632
56,jervant,0.9789593815803528
57,servam,0.9788264632225037
58,servantss,0.9787571430206299
59,manservant,0.9786931872367859
60,servantsis,0.9786732792854309
61,uummeservant,0.9783370494842529
62,servantswhlclt,0.9778165221214294
63,servantsor,0.9776821136474609
64,servantwith,0.9775526523590088
65,hervant,0.9773825407028198
66,iheservant,0.97715824842453
67,servantsto,0.9766916632652283
68,servantwhich,0.9766538739204407
69,servants,0.9758620262145996
70,servantoesvevetyuni,0.9755427837371826
71,eervant,0.9755072593688965
72,servantswuich,0.9752005934715271
73,servantal,0.9750598073005676
74,houtservant,0.9748567938804626
75,servabts,0.9746318459510803
76,servantswhlch,0.9743872880935669
77,servantsre,0.9742271304130554
78,aervant,0.9741328954696655
79,servantsrroai,0.9735925197601318
80,forservant,0.9735386371612549
81,iiervant,0.9734355211257935
82,bervant,0.9727903008460999
83,wlkservanti,0.972538948059082
84,servantogooda,0.9724858403205872
85,lervant,0.9723495244979858
86,orervant,0.9720439910888672
87,servantvshoe,0.9720226526260376
88,servantyshoe,0.9719985723495483
89,vervant,0.9719393849372864
90,servantswear,0.9717142581939697
91,yourobtservant,0.9713074564933777
92,nwipntaervant,0.9711354970932007
93,nervant,0.9711148738861084
94,dervant,0.9706951379776001
95,servantshal,0.9705866575241089
96,ervant,0.9703193306922913
97,tbeeervant,0.9702968597412109
98,andaervant,0.9702040553092957
99,servantshair,0.9694330096244812
100,servantand,0.9694147706031799
101,womenservant,0.9693977236747742
102,servantsgoodarf,0.9693493843078613
103,servauta,0.9693422317504883
104,servantore,0.9693176746368408
105,tervant,0.9688869118690491
106,huuibleservant,0.9687646627426147
107,servaut,0.9679233431816101
108,rtozavervant,0.9679027795791626
109,servantswhich,0.9675071835517883
110,servantshoee,0.9674951434135437
111,servantscpllin,0.9674340486526489
112,vant,0.9671081304550171
113,anovservanta,0.9669570326805115
114,rervant,0.9669385552406311
115,rcoatsvaervant,0.9667751789093018
116,pervant,0.9662405848503113
117,servante,0.9661622047424316
118,tamservanta,0.9653592109680176
119,andservantt,0.9650814533233643
120,bftlrwithiervant,0.9650065302848816
121,wlthaervant,0.9648185968399048
122,roobiservant,0.9642664194107056
123,publicservant,0.9641925692558289
124,theservant,0.9641308784484863
125,fellowservant,0.9640833139419556
126,servanthalf,0.964074432849884
127,goodservant,0.9638833403587341
128,ofservanli,0.9630328416824341
129,servantsjshoe,0.9627365469932556
130,servantsgood,0.9625239372253418
131,servantsroom,0.9619001746177673
132,roonllservant,0.9614718556404114
133,thejraraservant,0.9614168405532837
134,servantsrshoe,0.9613071084022522
135,servantahalf,0.961294949054718
136,servantamiousas,0.960685670375824
137,servantsshoe,0.9606372117996216
138,servantsrsheebeavy,0.959847092628479
139,8ervanti,0.9597442150115967
140,croodrervant,0.9597092866897583
141,servabtst,0.9596173167228699
142,eeivant,0.9586190581321716
143,taeservantsol,0.957288384437561
144,bervantp,0.9572611451148987
145,servantsjhalf,0.9569060206413269
146,oervanti,0.9568308591842651
147,fervanti,0.9566147923469543
148,bervantj,0.95651775598526
149,gervantcau,0.9564111828804016
150,fornervant,0.9563549757003784
151,servantshalf,0.9558867812156677
152,fcervant,0.9557973146438599
153,setvant,0.9555765390396118
154,observantand,0.9555321931838989
155,forservanta,0.954891562461853
156,rooniiservant,0.9548752307891846
157,fervantacffi,0.954683780670166
158,fervanta,0.9545709490776062
159,aervantf,0.9541940689086914
160,gervantsyftayfc,0.9535751938819885
161,levant,0.9534564018249512
162,jeervants,0.9532594680786133
163,fervantscfliu,0.9531018733978271
164,seivant,0.9528478384017944
165,ervanti,0.9521065354347229
166,theservants,0.9518691897392273
167,aervanti,0.9515114426612854
168,unobservantand,0.951304018497467
169,ervantn,0.9512888193130493
170,eervanta,0.9512618184089661
171,uervantss,0.9509046673774719
172,eervantt,0.9508466720581055
173,5ervantgcoiii,0.9505782723426819
174,bervanta,0.9499881863594055
175,iervantas,0.949691891670227
176,vvantd,0.9491733312606812
177,ntainestservant,0.9491214156150818
178,eervantsbotim,0.9489092230796814
179,aervanta,0.948857307434082
180,bervantsof,0.9487463235855103
181,aervantt,0.9484406113624573
182,8ervantsiand,0.9484015107154846
183,ervants,0.9483476877212524
184,flervanta,0.9482533931732178
185,srrvantof,0.9481385350227356
186,houseservant,0.9476839900016785
187,ervantt,0.9475674033164978
188,ervanta,0.9474381804466248
189,withfervants,0.9472163319587708
190,tervanta,0.9471506476402283
191,ervantsbeusc,0.9469701051712036
192,observantly,0.9459500908851624
193,bervantsgxiod,0.9452590346336365
194,bervantsgeod,0.945236086845398
195,tervanti,0.9451887607574463
196,servantshalfpnce,0.9451487064361572
197,iiouserervant,0.9449648857116699
198,tervantof,0.9444220066070557
199,roomsservant,0.9444128274917603
200,servantwaster,0.9443403482437134
201,ervantshou,0.943959653377533
202,pervanti,0.9426972270011902
203,tervantt,0.9424734115600586
204,uouseservantsau,0.9419460892677307
205,servo,0.9419329166412354
206,errvants,0.9419011473655701
207,servanuattena,0.9412292838096619
208,aervantageoua,0.9408959746360779
209,tbeservantsotthe,0.9407064318656921
210,piantalionandiservant,0.9405626654624939
211,ervantshonsss,0.9404487609863281
212,servs,0.9401403665542603
213,roonivervant,0.9398825764656067
214,rervantweil,0.9398298263549805
215,forservanu,0.9393540024757385
216,liervantweil,0.9388819932937622
217,tvwservaat,0.9381700754165649
218,andervantsthe,0.9380031824111938
219,servntu,0.9378101825714111
220,ervantshoutts,0.9376412034034729
221,servsr,0.9376398921012878
222,ervani,0.9372003674507141
223,servantshalfpriee,0.9371339082717896
224,alsoservantsroom,0.9356790781021118
225,serv,0.9348653554916382
226,ageandservantsialf,0.9338470101356506
227,aervantironsc8nd,0.9336411952972412
228,obaervantej,0.9334552884101868
229,tervantthal,0.9328302145004272
230,plairfservantsto,0.9324579238891602
231,wateraregoodservant,0.9324241280555725
232,roomaservanti,0.9320712089538574
233,tervantijbalf,0.9319976568222046
234,ervantshalf,0.9319792985916138
235,yromsvlthaervantvraaramjlu,0.9319625496864319
236,ervantsbeuse,0.9317747354507446
237,vsiuableservantsfand,0.9311301112174988
238,tervanton,0.9309064149856567
239,familyervantsj,0.930718183517456
240,ervantshense,0.9298989772796631
241,nervanl,0.9292652606964111
242,roomsjervant,0.9288265705108643
243,ervantihousas,0.9283311367034912
244,assortmentofservant,0.928022563457489
245,eervantaioom,0.9275302886962891
246,oorrvantkin,0.9273979663848877
247,ervantsaouiesataiswei,0.9272584319114685
248,iervantei,0.927029013633728
