,token,cosine
0,slave3,0.9682323336601257
1,hslave,0.9675930738449097
2,6lave,0.9656475186347961
3,slavo,0.9653556942939758
4,slavexy,0.9653159976005554
5,ajslave,0.9652342796325684
6,gbjlslave,0.9652258157730103
7,slavef,0.9651234149932861
8,slavexr,0.9647842645645142
9,slavevn,0.9641368389129639
10,lslave,0.9631363153457642
11,slavecqde1i,0.9629927277565002
12,ofslave,0.9621500372886658
13,slavekt,0.961906373500824
14,slavey,0.9616682529449463
15,slaveshave,0.9613751173019409
16,slaveeo,0.9611181616783142
17,slave1,0.9609479904174805
18,slaveuy,0.9609120488166809
19,olslave,0.9606702327728271
20,slavebv,0.9601328372955322
21,slaves1,0.9599338173866272
22,slavee,0.9597218632698059
23,slavetda,0.9594074487686157
24,slaveb,0.9593454599380493
25,slavp,0.9583941698074341
26,tojslave,0.958379328250885
27,slave8peddhng,0.958148181438446
28,lave,0.9579481482505798
29,slavg,0.9577560424804688
30,onlslave,0.9576797485351562
31,slavejtoidwq,0.9571263790130615
32,slaveay,0.9567034840583801
33,slavebad,0.9566965103149414
34,slaveor,0.9566924571990967
35,slav,0.956609845161438
36,slavw,0.9561806321144104
37,slavj,0.9560971856117249
38,guslave,0.9557862877845764
39,slavei,0.9556795358657837
40,slavf,0.9556365609169006
41,slavkkv,0.9556287527084351
42,slavfj,0.9553898572921753
43,slaveburn,0.9553874135017395
44,slavwf,0.955350399017334
45,hlave,0.955315351486206
46,slolave,0.9552724361419678
47,slavu,0.9550358057022095
48,slavel,0.9549735188484192
49,slavm,0.9544827342033386
50,slavebt,0.9543824791908264
51,slavwy,0.9543078541755676
52,slavet,0.9541717767715454
53,slavkb,0.953808069229126
54,slaveof,0.9537969827651978
55,tlave,0.9537896513938904
56,slaveokte,0.953646719455719
57,thcslave,0.9535630345344543
58,slavbkv,0.9535347819328308
59,aslave,0.9535101056098938
60,elave,0.9533812999725342
61,slavqpf,0.9533216953277588
62,slavesjno,0.9532310962677002
63,slavegro,0.9529730081558228
64,slavxs,0.9527633190155029
65,orslave,0.9526662230491638
66,slavean1,0.9526387453079224
67,slavos,0.9523311853408813
68,slavebasjslk,0.9521998167037964
69,rlave,0.9521564841270447
70,slavbky,0.9519933462142944
71,slavecas,0.9519087672233582
72,slavevoae,0.9518035054206848
73,slavewhip,0.9517508745193481
74,slavvs,0.9515711665153503
75,slavesno,0.9514427781105042
76,slavetol,0.9514408111572266
77,slavr,0.9512425661087036
78,enslave,0.9508590698242188
79,slavryakdm,0.9506540894508362
80,slavy,0.9506174325942993
81,slavelaw,0.9505982398986816
82,slavettqlh,0.9496067762374878
83,bondslave,0.9493800401687622
84,slavt,0.9493539333343506
