,token,cosine
0,bervant,0.9999939203262329
1,mvservant,0.9999938607215881
2,observant,0.9999931454658508
3,tbservant,0.9999927878379822
4,ervant,0.9999926090240479
5,xervant,0.9999925494194031
6,exservant,0.9999920129776001
7,kervant,0.9999914765357971
8,rervant,0.999991238117218
9,eervant,0.9999911785125732
10,lervant,0.9999909996986389
11,youservant,0.9999908804893494
12,servantb,0.999990701675415
13,eyeservant,0.9999905228614807
14,servantv,0.9999898672103882
15,servantw,0.9999896883964539
16,tbeservant,0.9999895095825195
17,aervant,0.9999892711639404
18,servantx,0.9999890923500061
19,servantdoesnt,0.999988317489624
20,oliservant,0.999987781047821
21,servant1,0.999987781047821
22,nervant,0.9999875426292419
23,irvant,0.9999870657920837
24,vant,0.9999867081642151
25,servanti,0.9999862909317017
26,uuderservant,0.9999862909317017
27,servants1,0.9999861717224121
28,servantof,0.9999861717224121
29,oneservant,0.9999857544898987
30,screamservant,0.9999852776527405
31,servantsno,0.9999842643737793
32,servants,0.9999837875366211
33,acrvant,0.9999837875366211
34,bervantp,0.9999836683273315
35,torvant,0.9999831914901733
36,tervant,0.9999831318855286
37,servantsor,0.9999831318855286
38,bondservant,0.9999830722808838
39,servantsif,0.999983012676239
40,headservant,0.9999829530715942
41,servantsmr,0.9999828934669495
42,servantkept,0.9999822378158569
43,servanta,0.9999821782112122
44,norvant,0.9999817609786987
45,servantspresent,0.9999815225601196
46,unobservant,0.9999814629554749
47,sorvant,0.9999814033508301
48,hervant,0.9999813437461853
49,servantdtut,0.9999807476997375
50,obeervant,0.9999802112579346
51,servantbut,0.999980092048645
52,manservant,0.999979555606842
53,servantsikut,0.9999791383743286
54,servantman,0.9999790787696838
55,obervant,0.9999788403511047
56,inobservant,0.99997878074646
57,servanttom,0.99997878074646
58,servantsyonr,0.9999784231185913
59,maidservant,0.999978244304657
60,fellowservant,0.9999781847000122
61,servantlrut,0.9999781250953674
62,servantthus,0.999977707862854
63,meusorvant,0.9999773502349854
64,woinanmervant,0.999977171421051
65,sevant,0.9999770522117615
66,servantelecte,0.9999738335609436
67,observantly,0.9999720454216003
68,servanthe,0.9999715685844421
69,eldcstservantof,0.9999706149101257
70,houseservant,0.9999697208404541
71,servantsand,0.9999691843986511
72,purchasedservant,0.9999681711196899
73,servantthey,0.999967098236084
74,ervantn,0.9999668598175049
75,servantsthey,0.9999648332595825
76,inspection,0.9999634623527527
77,ant,0.9999630451202393
78,ervanta,0.9999630451202393
79,resident,0.9999628663063049
80,foreignservant,0.9999626278877258
81,transient,0.9999621510505676
82,subservient,0.9999620914459229
83,ijondservanta,0.999961256980896
84,servantwoman,0.9999611377716064
85,servantsrepeale,0.9999610185623169
86,recent,0.9999610185623169
87,vermont,0.9999597072601318
88,restraint,0.9999597072601318
89,nervantn,0.9999591112136841
90,uent,0.9999589920043945
91,ent,0.9999582171440125
92,1resident,0.999957263469696
93,trespasser,0.9999571442604065
94,rent,0.9999569654464722
95,eminent,0.9999565482139587
96,recovery,0.9999560117721558
97,resentment,0.999955952167511
98,restore,0.9999552965164185
99,aervanta,0.9999547004699707
100,represent,0.999954342842102
101,cent,0.999954104423523
102,tent,0.9999540448188782
103,violent,0.9999539852142334
104,vacant,0.9999534487724304
105,passimyydgnient,0.9999533891677856
106,friendly,0.9999533891677856
107,reside,0.9999533295631409
108,impatient,0.9999532699584961
109,really,0.9999531507492065
110,versally,0.9999529123306274
111,ren,0.9999523162841797
112,want,0.9999521970748901
113,patient,0.9999521374702454
114,restrain,0.9999520182609558
115,restraind,0.999951958656311
116,agent,0.9999515414237976
117,inlumbent,0.9999514818191528
118,fugitiveservant,0.9999513626098633
119,regiment,0.9999513030052185
120,event,0.9999508261680603
121,sufficient,0.9999507069587708
122,silly,0.9999504089355469
123,ident,0.9999501705169678
124,jolly,0.999950110912323
125,yourat,0.9999500513076782
126,gent,0.9999499320983887
127,cervante,0.9999495148658752
128,aervante,0.9999493360519409
129,effect,0.9999493360519409
130,isally,0.9999493360519409
131,sent,0.9999492764472961
132,ellent,0.9999492764472961
133,tally,0.9999492168426514
134,fresh,0.999949038028717
135,residence,0.9999488592147827
136,pant,0.9999487996101379
137,resentative,0.9999486804008484
138,friend,0.9999485611915588
139,extent,0.9999485015869141
140,restlessness,0.9999484419822693
141,humble,0.9999483823776245
142,ont,0.999948263168335
143,ret,0.999948263168335
144,absent,0.9999482035636902
145,rally,0.9999481439590454
146,imminent,0.9999479651451111
147,went,0.9999479055404663
148,resist,0.9999479055404663
149,correspond,0.9999478459358215
150,plant,0.9999478459358215
151,rest,0.9999477863311768
152,restating,0.9999476075172424
153,yourself,0.9999474883079529
154,present,0.9999470114707947
155,nsolent,0.9999469518661499
156,ment,0.9999469518661499
157,eally,0.9999467134475708
158,decent,0.9999465346336365
159,expresident,0.9999464750289917
160,mentally,0.9999464154243469
161,parent,0.9999463558197021
162,bed,0.9999463558197021
163,nascent,0.9999462962150574
164,kvery,0.9999461770057678
165,irrectly,0.9999461770057678
166,president,0.999946117401123
167,dishonor,0.9999460577964783
168,laniente,0.9999459385871887
169,excent,0.999945878982544
170,ally,0.9999458193778992
171,student,0.9999455213546753
172,tolly,0.999945342540741
173,re,0.9999452829360962
174,hour,0.9999452829360962
175,incumbent,0.9999451041221619
176,oblige,0.9999449849128723
177,innocent,0.9999449253082275
178,rep,0.9999448657035828
179,benevolent,0.9999446868896484
180,honorable,0.9999446868896484
181,remind,0.9999445080757141
182,resolution,0.9999443888664246
183,avery,0.9999443888664246
184,re8ent,0.9999441504478455
185,font,0.9999441504478455
186,ooneent,0.9999439120292664
187,morally,0.9999439120292664
188,sally,0.9999437928199768
189,oontent,0.999943733215332
190,repress,0.9999434947967529
191,dependent,0.9999433755874634
192,oliedience,0.9999433755874634
193,legally,0.9999432563781738
194,wholly,0.999943196773529
195,specially,0.999943196773529
196,patiently,0.9999430179595947
197,excellent,0.9999428987503052
198,ivery,0.9999428391456604
199,renoir,0.9999428391456604
200,adjacent,0.9999427795410156
201,remainder,0.9999427199363708
202,fremont,0.9999426603317261
203,nervante,0.9999426603317261
204,rely,0.9999426603317261
205,friendleaa,0.9999426603317261
206,moment,0.9999426007270813
207,pervanta,0.9999425411224365
208,rascally,0.9999425411224365
209,recollect,0.999942421913147
210,recently,0.9999423027038574
211,sentiment,0.9999421238899231
212,unexpectedly,0.9999421238899231
213,resulted,0.9999420046806335
214,lament,0.999941885471344
215,sujierincumbent,0.999941885471344
216,indent,0.999941885471344
217,ferment,0.9999418258666992
218,resort,0.9999417662620544
219,valiant,0.9999417662620544
220,vigilant,0.9999417066574097
221,reply,0.9999415278434753
222,retil,0.9999414682388306
223,frightful,0.9999412298202515
224,dialect,0.9999411106109619
225,clement,0.9999409914016724
226,humblest,0.9999408721923828
227,gently,0.999940812587738
228,youth,0.9999407529830933
229,front,0.9999404549598694
230,judgment,0.9999403357505798
231,recap,0.9999403357505798
232,argument,0.9999401569366455
233,element,0.9999401569366455
234,regain,0.9999400973320007
235,rend,0.9999400973320007
236,subsequent,0.999940037727356
237,retain,0.9999399185180664
238,hon,0.9999399185180664
239,liferent,0.9999399185180664
240,agreement,0.9999399185180664
241,different,0.9999398589134216
242,competent,0.9999397993087769
243,correct,0.9999397993087769
244,hunt,0.9999397397041321
245,antislavery,0.9999397397041321
246,arrent,0.9999396204948425
247,special,0.9999393820762634
248,refrain,0.9999393820762634
249,ictually,0.9999391436576843
250,settlement,0.9999390840530396
251,presbytery,0.99993896484375
252,direct,0.9999389052391052
253,tyrant,0.9999388456344604
254,serrant,0.9999388456344604
255,obtain,0.9999387264251709
256,regret,0.9999386668205261
257,atonement,0.9999385476112366
258,equivalent,0.9999384880065918
259,enjoyment,0.999938428401947
260,joint,0.9999383091926575
261,finally,0.9999382495880127
262,rei,0.9999381899833679
263,brilliant,0.9999380707740784
264,armfull,0.9999379515647888
265,gentle,0.9999376535415649
266,descent,0.9999376535415649
267,eervanu,0.9999374747276306
268,reappoint,0.9999374747276306
269,speculating,0.9999374747276306
270,affect,0.9999374151229858
271,neglect,0.9999374151229858
272,intelligent,0.9999373555183411
273,resolve,0.9999373555183411
274,disenthralment,0.9999373555183411
275,tumble,0.9999373555183411
276,reprcentrd,0.9999372959136963
277,reid,0.9999372363090515
278,usually,0.9999371767044067
279,bumble,0.9999371767044067
280,enchant,0.9999370574951172
281,accident,0.9999370574951172
282,apparent,0.9999370574951172
283,select,0.9999369382858276
284,claimant,0.9999368786811829
285,spend,0.9999368190765381
286,frienda,0.9999367594718933
287,penitent,0.9999366998672485
288,slavery,0.9999366402626038
289,william,0.9999364614486694
290,object,0.9999362826347351
291,bentry,0.9999362230300903
292,sentimtnt,0.9999361634254456
293,restriction,0.9999361038208008
294,aqiiivalent,0.999936044216156
295,inherent,0.9999359846115112
296,lour,0.9999358654022217
297,you,0.9999358654022217
298,indulgent,0.9999358057975769
299,svery,0.9999358057975769
300,yout,0.9999355673789978
301,refuge,0.999935507774353
302,retard,0.9999354481697083
303,red,0.9999354481697083
304,independent,0.9999353289604187
305,rant,0.9999353289604187
306,livery,0.9999352693557739
307,representstivss,0.9999352097511292
308,reject,0.9999351501464844
309,ungentlemanly,0.9999350905418396
310,report,0.9999350309371948
311,renson,0.9999349117279053
312,chilly,0.9999349117279053
313,generally,0.9999349117279053
314,rende,0.9999348521232605
315,arrogant,0.999934732913971
316,convent,0.9999346733093262
317,ly,0.9999346733093262
318,endorsement,0.9999345541000366
319,eapeoially,0.9999344944953918
320,readily,0.9999344944953918
321,intent,0.9999344348907471
322,testament,0.9999343752861023
323,four,0.9999343156814575
324,reach,0.999934196472168
325,sonant,0.999934196472168
326,violentequally,0.9999338984489441
327,permanent,0.9999338984489441
328,refund,0.9999338388442993
329,perfect,0.9999338388442993
330,reward,0.9999338388442993
331,reedoin,0.9999338388442993
332,truly,0.9999336004257202
333,naturally,0.9999336004257202
334,editor,0.9999334812164307
335,fervently,0.9999334812164307
336,repay,0.9999333620071411
337,equally,0.9999333620071411
338,stunt,0.9999333024024963
339,advancement,0.9999333024024963
340,elect,0.9999333024024963
341,frantically,0.9999331831932068
342,reuben,0.9999330639839172
343,dedieution,0.9999330639839172
344,onvery,0.9999330043792725
345,insolent,0.9999329447746277
346,aunt,0.9999328851699829
347,redeem,0.9999328851699829
348,rejectingthan,0.9999328851699829
349,recog4,0.9999327659606934
350,lienor,0.9999327659606934
351,directly,0.9999327659606934
352,detect,0.9999327063560486
353,document,0.9999326467514038
354,lionor,0.999932587146759
355,requi,0.9999325275421143
356,enactment,0.9999325275421143
357,yours,0.9999324679374695
358,qwently,0.9999323487281799
359,actually,0.9999323487281799
360,parliament,0.9999321699142456
361,thoughtfully,0.999932050704956
362,titful,0.999932050704956
363,deoendant,0.9999319911003113
364,evident,0.9999319314956665
365,refusal,0.9999319314956665
366,sunt,0.9999318718910217
367,corporeally,0.9999315142631531
368,retinue,0.9999313950538635
369,subject,0.9999313950538635
