,token,cosine
0,slavo,0.9731664657592773
1,slavw,0.9727572202682495
2,slavesw,0.9719521999359131
3,slav1,0.9718930721282959
4,slaves1,0.9718880653381348
5,slavb,0.9717679619789124
6,slaves2,0.9716479182243347
7,slavx,0.9716295599937439
8,slavq,0.9712687134742737
9,slavh,0.9711268544197083
10,slaves2618,0.9710578918457031
11,slavesbj,0.9710227847099304
12,slavm,0.9709819555282593
13,slavesn,0.9709060788154602
14,slavk,0.9708787202835083
15,slaveswa,0.9707832932472229
16,slavesy,0.9707632064819336
17,slavj,0.970409095287323
18,slavt,0.9703728556632996
19,slav,0.9703373312950134
20,slavtw,0.9700613021850586
21,slavmkt,0.969907820224762
22,slavu,0.9698765277862549
23,slavesby,0.9698739647865295
24,slavf,0.9698737859725952
25,slavp,0.9698728919029236
26,slavv,0.9698058366775513
27,slaveswho,0.9697732925415039
28,slaveswe,0.9697499871253967
29,slavoj,0.9697180986404419
30,slavestk,0.969556450843811
31,slavesa,0.9694628715515137
32,slavda,0.9694469571113586
33,slavi,0.9693278670310974
34,slavjby,0.9692348837852478
35,slavkhv,0.969124972820282
36,slavn,0.9690998792648315
37,slavvs,0.9690630435943604
38,slavesno,0.9688853621482849
39,slavrlm,0.9687478542327881
40,slaveswhy,0.9686004519462585
41,slavps,0.968354344367981
42,slavs,0.9681398272514343
43,slavos,0.9681187868118286
44,slavei,0.967517614364624
45,slavea,0.9672638773918152
46,slavee,0.967069149017334
47,slaveshow,0.9665905237197876
48,slaveif,0.9665256142616272
49,slavesare,0.9664865136146545
50,slavoa,0.9664199352264404
51,slava,0.9660271406173706
52,slaveid,0.9657707810401917
53,slavesif,0.9657077789306641
54,slavessho,0.9654971957206726
55,slavesso,0.9654718041419983
56,slavesma,0.9653177857398987
57,slavof,0.9651521444320679
58,slaveibjd,0.9651456475257874
59,slavej,0.9651399254798889
60,slavesthu,0.9650925993919373
61,slavestwo,0.9650246500968933
62,slaveg,0.965010404586792
63,slavesbut,0.9649357795715332
64,slaveshe,0.9649028182029724
65,slavemr,0.9648897051811218
66,slavef,0.9648165702819824
67,slavejy,0.9646281599998474
68,slaviw,0.9646024107933044
69,slave8,0.9645214676856995
70,slavey,0.9643891453742981
71,slavte,0.9643878936767578
72,slavemaid,0.9643612504005432
73,slave9,0.9641462564468384
74,slaveswas,0.9641445875167847
75,slave3,0.9639691710472107
76,slaveiy,0.9638563394546509
77,slaveeof,0.9637143015861511
78,slavoe,0.9635465741157532
79,slavewho,0.9634503722190857
80,slaveeztcn,0.9633539319038391
81,slaveseem,0.9632964730262756
82,slavespepe,0.9632756114006042
83,slavoi,0.9632512927055359
84,slavep,0.9632104635238647
85,slavtt,0.9631204605102539
86,slavesof,0.9631090760231018
87,slaveiu,0.9630447030067444
88,slaveatw,0.9629154801368713
89,slavesit,0.9626638293266296
90,slavnrv,0.9626463055610657
91,slaves,0.9626362323760986
92,slaveit,0.9626114368438721
93,slavss,0.9625656008720398
94,slavtar,0.9621228575706482
95,slavesfor,0.9620906710624695
96,slavesnone,0.9620896577835083
97,slavesfrom,0.9620816707611084
98,slavec,0.9619625210762024
99,slavti,0.9618659019470215
100,slavfcyit,0.9616360664367676
101,slavrs,0.9616260528564453
102,slavetfclp,0.9616137742996216
103,slavesor,0.9615902304649353
104,slavoiy,0.9615263938903809
105,slavear,0.9612804055213928
106,slaveswhen,0.961243212223053
107,slaveyacht,0.9612343311309814
108,slavemiis,0.9610939621925354
109,slaveir,0.9610627293586731
110,3lave,0.9609838128089905
111,slavestho,0.9607108235359192
112,slavc3,0.9604085683822632
113,slavahajl,0.9603097438812256
114,slavesmeane,0.9602228403091431
115,slavet,0.9601289629936218
116,slavedc,0.959979236125946
117,slavepeu,0.9597886204719543
118,slavcp,0.9597547650337219
119,slaveyou,0.9596682190895081
120,slavesta,0.9596092700958252
121,slavcf,0.9593871831893921
122,slavesall,0.9592152833938599
123,slaveyin,0.9590782523155212
124,slavestnte,0.9588282704353333
125,slaveand,0.9587340950965881
126,jlave,0.958726167678833
127,slavefrom,0.9586791396141052
128,slavesind,0.9586705565452576
129,vlave,0.9584730267524719
130,slavesin,0.9584009051322937
131,slaveshis,0.958350658416748
132,slave5ii,0.9583426117897034
133,slaveto,0.9579468369483948
134,slavekeepe,0.9577937126159668
135,6lave,0.9576467871665955
136,slavesview,0.9575600624084473
137,slavemeni,0.9572916626930237
138,rlave,0.9571675062179565
139,slavohohlmg,0.957131564617157
140,klave,0.9570708870887756
141,slavry,0.9569592475891113
142,sla1,0.956958532333374
143,8lave,0.9569306373596191
144,slavecase,0.9567435383796692
145,slaveinlhar,0.9567236304283142
146,slavebuye,0.956566333770752
147,slavepow,0.9565457105636597
148,slavci,0.9565257430076599
149,slavon,0.956493079662323
150,slavrry,0.9564136862754822
151,slavce,0.9562676548957825
152,slaveb,0.9562406539916992
153,slaj,0.9562126994132996
154,slavebad,0.9561644196510315
155,slave1,0.9561175107955933
156,slaveswhich,0.9559903144836426
157,slavefor,0.9559100866317749
158,slavot,0.9558430314064026
159,slavesmake,0.9558185935020447
160,slaveor,0.9557965993881226
161,slavescarrye,0.9557012915611267
162,slavesmore,0.9555601477622986
163,slavebunt,0.9555221796035767
164,slavesblack,0.9555025100708008
165,slavepen,0.9554661512374878
166,4slave,0.9554510116577148
167,slaven,0.9554114937782288
168,slavelm,0.9552838206291199
169,slavebun,0.95501708984375
170,slavic,0.9550091028213501
171,slavel,0.9549592733383179
172,slavewar,0.9548816084861755
173,slavettoe,0.9548795819282532
174,ncgnvslave,0.9545733332633972
175,alave,0.954557478427887
176,slaveihal,0.954334557056427
177,slavebuyng,0.9541899561882019
178,slavsry,0.9541875720024109
179,slavin,0.9541020393371582
180,slavebee,0.9540945887565613
181,slaveeat,0.9539245367050171
182,slaveexempte,0.9538806080818176
183,slavpry,0.9538171887397766
184,slavecat,0.953179121017456
185,slavewhip,0.9528980255126953
186,tvslave,0.9528743028640747
187,slavoknrri,0.9527439475059509
188,slaveon,0.9527379870414734
189,hlave,0.9526193141937256
190,slaveship,0.9524799585342407
191,slavcscxceod,0.9524136185646057
192,slavnry,0.952278196811676
193,slaveddor,0.9522532820701599
194,uslave,0.9521492123603821
195,slavewner,0.9520264863967896
196,slavegrowe,0.9520111680030823
197,ofslave,0.9518917798995972
198,slaveswith,0.9517560005187988
199,slavesoil,0.9516273140907288
200,slavetr,0.9516102075576782
201,slavesthose,0.9515386819839478
202,slavetjaytir,0.951194167137146
203,slaves7would,0.9511792659759521
204,slavegiown,0.9510611295700073
205,ilave,0.9509512186050415
206,ivslave,0.9508092403411865
207,slavegang,0.9507524967193604
208,slavesand,0.9507428407669067
209,slaveswould,0.9507054686546326
210,lave,0.9506904482841492
211,slavety,0.9504250884056091
212,slaveprop,0.9503287076950073
213,kuslave,0.9501540064811707
214,slavebrccdon1,0.9501131772994995
215,slavevoide,0.9500625133514404
216,slavcrv,0.9500395655632019
217,slavewnot,0.9500024318695068
218,slaveoatohe,0.9499567747116089
219,slayk,0.9495198726654053
220,slavcir,0.9493293762207031
221,saleofslave,0.9490900635719299
222,slavethai,0.948737382888794
223,aslave,0.9487151503562927
224,slavesthe,0.9483389258384705
225,slavedenye,0.9483282566070557
226,slavevessel,0.9481841921806335
227,sla,0.9479026198387146
228,olslave,0.9478996992111206
229,slavetaighj,0.9478898048400879
230,slavebokie,0.9478507041931152
231,slaveowne,0.9475065469741821
232,slaveold,0.9474592208862305
233,slavesthey,0.9474009275436401
234,slavesfalsely,0.9471787810325623
235,slavemerchant,0.9470510482788086
236,euslave,0.9468201994895935
237,slaveoodle,0.9467002749443054
238,buslave,0.94666987657547
239,nlave,0.9466325640678406
240,slavebuyer,0.9464623332023621
241,slavecoffle,0.9463009238243103
242,slaveown,0.9462698698043823
243,slavtry,0.946159303188324
244,slavesattempt,0.9461467862129211
245,slaveproduoe,0.9459016919136047
246,slavorr,0.9455485939979553
247,slavebolje,0.9455328583717346
248,slavegrown,0.9454436898231506
249,slavecodetilh,0.9453786015510559
250,slaveescape,0.9453637003898621
251,slavite,0.9453060030937195
252,slavecode,0.9452359676361084
253,slavelaw,0.94523024559021
254,blave,0.9450269937515259
255,elave,0.9449673891067505
256,glave,0.9447740912437439
257,slavestruck,0.9444417357444763
258,caarfyslave,0.9443413019180298
259,slam,0.9441537857055664
260,slavethe,0.9440721273422241
261,slavor,0.9439848065376282
262,slaveexporte,0.9434988498687744
263,slaveselle,0.9434537887573242
264,slavoowner,0.9433711767196655
265,tlave,0.9432694315910339
266,slavelalsir,0.943183183670044
267,slavcryon,0.9431814551353455
268,ulave,0.943149983882904
269,ttlave,0.9431179761886597
270,dasslave,0.943113386631012
271,slaveoerat,0.9427503943443298
272,slaveeaten,0.9424723386764526
273,slavewider,0.9420790076255798
274,slae,0.9419870376586914
275,slavepath,0.9418514370918274
276,slavesapprove,0.9417818784713745
277,slavorycouepi,0.9417208433151245
278,slavenot,0.9416728019714355
279,slavedrive,0.9416301846504211
280,slavespriest,0.9415595531463623
281,slavecauher,0.941450834274292
282,slaveeateher,0.941402792930603
283,slavecurse,0.9413328766822815
284,slavoorat,0.9413219690322876
285,slaveborn,0.9412922263145447
286,slavestand,0.9412218928337097
287,ruslave,0.9411376118659973
288,slavelaboi,0.9410515427589417
289,slaveproduce,0.9409998655319214
290,heldslave,0.940976083278656
291,slavrywill,0.9407575726509094
292,slaveproducer,0.940437376499176
293,rntlave,0.9404168725013733
294,slaveboide,0.9403589963912964
295,slavoldex,0.940334141254425
296,slaveownert,0.940301775932312
297,slavecollie,0.9400134086608887
298,slavesheade,0.9399204850196838
299,tilave,0.9399163126945496
300,slavesthat,0.9398811459541321
301,slavestealere,0.9398760795593262
302,slavecnteher,0.9398514628410339
303,slavsand,0.939638614654541
304,neeslave,0.9395841956138611
305,lelave,0.9395087361335754
306,slavedeale,0.9394455552101135
307,slaveimporte,0.9393105506896973
308,slavelife,0.9391340613365173
309,slavelipde,0.9390740990638733
310,onnlave,0.9387322068214417
311,slavogrown,0.9387086629867554
312,slaving,0.938599705696106
313,slavehunt,0.938052773475647
314,slavehire,0.9379969835281372
315,slavesfifty,0.9378994107246399
316,andslave,0.9377259612083435
317,slavelalior,0.9376923441886902
318,slavecaptain,0.937676191329956
319,slai,0.9376030564308167
320,slavelawnor,0.9375811219215393
321,slavesthere,0.9375556707382202
322,slavahoide,0.9374667406082153
323,slavhohier,0.9374445676803589
324,slavemonger,0.9371704459190369
325,slavestate,0.9369897246360779
326,andthcslave,0.9369800090789795
327,slavethouge,0.936884343624115
328,slavefythat,0.9368225932121277
329,slavclahor,0.9364867210388184
330,slavedealor,0.9363994598388672
331,enilave,0.9362571239471436
332,slavestealing,0.9360972046852112
333,bondslave,0.935907781124115
334,slavehnbiand,0.9357946515083313
335,slavcho,0.9357910752296448
336,mnnslave,0.9356509447097778
337,slavedom,0.935610294342041
338,slaveowner,0.9355514049530029
339,slavogrowor,0.9354302883148193
340,slaveborder,0.9352452754974365
341,slavebreedj,0.9352251291275024
342,tinslave,0.9351732730865479
343,slavetra,0.9350890517234802
344,nslave,0.9350184202194214
345,slavebold,0.934895932674408
346,slavehnld,0.9347322583198547
347,slavegrower,0.9343284964561462
348,slavedescende,0.9342479109764099
349,slavebreejer,0.934186577796936
350,jefinslave,0.9341217875480652
351,slavory,0.9340337514877319
352,enalave,0.9338228106498718
353,slavehiie,0.9336660504341125
354,slavemarket,0.9336050152778625
355,slavethat,0.9334097504615784
356,slaveless,0.9333530068397522
357,reenslave,0.9332577586174011
358,slaveclaim,0.9332378506660461
359,slavedrover,0.9329003095626831
360,slavesthree,0.9328975677490234
361,slavebanter,0.9327201843261719
362,slavcmavumman,0.9326725006103516
363,slavelitdde,0.9326234459877014
364,slavish,0.9325939416885376
365,slavekiillin,0.9325605034828186
366,slavetruder,0.932462751865387
367,reinslave,0.932034969329834
368,slavestealer,0.9320102334022522
369,slavemaster,0.9319968223571777
370,slaveboldrg,0.9319859147071838
371,slaveloldcrs,0.9319319725036621
