,token,cosine
0,the,0.480460215969157
1,state,0.4551990248273903
2,negro,0.4304509413500125
3,trade,0.42972839449761563
4,ili,0.42455345456061727
5,master,0.4056963979238092
6,introduce,0.39496331063860546
7,reason,0.3923861290200057
8,by,0.3901530433292315
9,upon,0.3858741720173203
10,live,0.3821206235363843
11,african,0.379368060741182
12,wit,0.3774970509175277
13,hull,0.37684750498862385
14,free,0.3751144528831639
15,lie,0.3735090104210641
16,sin,0.37012958569080145
17,misery,0.36933256424913613
18,ilia,0.36557316695217545
19,remove,0.3646565186501717
20,ol,0.3637755403050232
21,slate,0.36305579995387033
22,might,0.3629720319967286
23,one,0.3582624166395459
24,courier,0.35818560431801816
25,cell,0.3550198518810863
26,huston,0.3549789228023992
27,iiitu,0.35341588865358853
28,hundred,0.3531537700671944
29,conduct,0.35226739455380107
30,tiling,0.3501413258443815
31,orgy,0.3498124554016748
32,rlannh,0.34885829151539227
33,tine,0.348823225005632
34,amislavery,0.3455145504515439
35,accomplish,0.34187174548640364
36,week,0.3414220472379393
37,it,0.34133570039727423
38,hawkins,0.33849880885751543
39,country,0.33601747804589255
40,pass,0.3358514549932572
41,together,0.3351316549878156
42,yet,0.3334592686812998
43,collect,0.3313010949248054
44,tlhi,0.3309746704030677
45,law,0.33004429232904264
46,ail,0.32908277923743134
47,hnl,0.32904567998019263
48,nre,0.32866746432323
49,last,0.3285474138416211
50,sliall,0.328384226195246
51,simvpnii,0.3275018886629494
52,iiiifiil,0.3274007042869695
53,iliiiis,0.3273482233298629
54,nothing,0.3270097566941781
55,ml,0.3264901989387179
56,liaiilanls,0.32597595853942696
57,liijaliin,0.32575422812844024
58,irriiory,0.3256530151811314
59,gallant,0.3252431959462557
60,africa,0.32508428174857235
61,miiija,0.3244266038124569
62,tu,0.323651076073537
63,iit,0.32351967237556045
64,will,0.3230117514221113
65,john,0.32170490898506393
66,rnilrnnrl,0.3213286339659758
67,learn,0.32070765618608743
68,show,0.32024796977878345
69,forii,0.3194631548995277
70,anil,0.3182917995372528
71,refuse,0.3180406100180837
72,fail,0.3179491946300258
73,that,0.3178826573079836
74,iljnal,0.3177740975564866
75,expose,0.3174154348090788
76,roast,0.31661610155898734
77,hand,0.3162836191780487
78,tiieale,0.31552871148588457
79,in,0.31426937511087916
80,every,0.3134922385110303
81,clamor,0.3130631100735922
82,leave,0.31294974225952776
83,can,0.3124148138708113
84,stal,0.3119934017807862
85,noiiod,0.31198380699023287
86,he,0.31186780307230905
87,truth,0.3117993063284862
88,rjiiestion,0.31171438636103055
89,nilil,0.31163076967386016
90,nml,0.31162552661193127
91,aiihiitsin,0.31128400578949866
92,tlie,0.3110717582888469
93,jissl,0.31062580502783355
94,salutea,0.3104971781766549
95,plantation,0.3103196819691163
96,brick,0.3099760628227334
97,be,0.30984688892849144
98,stand,0.30956785365893363
99,tiii,0.30937756565980606
100,idiin,0.30922420195830796
101,inaiiitiiiiinu,0.30916326785014886
102,dolorous,0.3085031011875937
103,denounce,0.3084653260672385
104,say,0.30841002113468396
105,hotnil,0.30803313603666316
106,lm,0.30747276285891156
107,movement,0.30735903238151974
108,rr,0.30720585212109613
109,reference,0.30690803430750224
110,ivas,0.30649023294172395
111,enver,0.3057206305736877
112,large,0.30568663757284686
113,experience,0.30546146303959554
114,kvlil,0.30538647419938636
115,slaviolilin,0.3053191518190254
116,furnace,0.30531278467924666
117,flat,0.3045571579382839
118,ctmricr,0.30431863323196306
119,day,0.3042644028920174
120,work,0.30414735536755916
121,lesson,0.3040260081972548
122,nations,0.303569772444491
123,out,0.3033270260626969
124,lii,0.3031385921133729
125,if,0.3030912085993259
126,iluatii,0.30307016633138767
127,tiie,0.302878720212188
128,case,0.30258772192449107
129,sision,0.30229923703980777
130,draw,0.3022620452887931
131,hy,0.3020765600211418
132,open,0.3019771450856088
133,iln,0.3008308774020265
134,nle,0.3006609213873485
135,franco,0.3004741801402642
136,put,0.3002998064899677
137,abolitionist,0.2999146567960039
138,innke,0.2997564430650525
139,carri,0.29934636232116096
140,iimii,0.2992363787817762
141,of,0.2991098471606924
142,rleli,0.2991010910419645
143,gard,0.2990311155818244
144,south,0.29872326418041945
145,exenitd,0.29842481327980125
146,rccoive,0.29838982693220356
147,use,0.29823279355055204
148,rxiliil,0.29819916325302337
149,anti,0.2981580692789347
150,practical,0.29808663071849056
151,limit,0.2978525057379543
152,willi,0.2972006749944037
153,ils,0.296815089171683
154,grave,0.29677450711119435
155,tell,0.2966870847973294
156,ruin,0.2965229944452954
