,token,cosine
0,they,0.7559031468032482
1,brother,0.7465965771338334
2,mid,0.7454546894908786
3,woman,0.7388914426160453
4,iu,0.7265371182232694
5,call,0.7255185450760084
6,friend,0.7218360812107891
7,waa,0.717222923397469
8,gen,0.7049152867461701
9,hii,0.7032775017450361
10,who,0.7024153435173274
11,my,0.7006566900174833
12,and,0.6966251495903137
13,per,0.6958226888028771
14,number,0.6954085521503033
15,though,0.6911332234083618
16,master,0.6901211279741647
17,countess,0.6890580211955963
18,bring,0.6890322653829761
19,liir,0.6886722357703348
20,wintte,0.6884626639237825
21,whilo,0.6880652522655768
22,mistake,0.6833896225853204
23,interest,0.6824057404682653
24,owner,0.6821360221635856
25,lr,0.6815933229474078
26,tbem,0.6803909195375195
27,ut,0.6755413620003585
28,tia,0.673852401880696
29,ith,0.6729114716818605
30,claim,0.6706762011026755
31,freedom,0.6680264540607924
32,put,0.6678007552336189
33,ii,0.6675749491046378
34,iuuiiu,0.6669913831119032
35,protest,0.6668165739752283
36,child,0.6654918551194664
37,slave,0.6646008930513863
38,receive,0.66384591145913
39,travel,0.663221991674244
40,jewish,0.6630409720132266
41,make,0.6624684178963871
42,el,0.6614129911019544
43,hiv,0.6610941597402598
44,nnd,0.6606685030711061
45,strasse,0.6585646420993448
46,citizen,0.6580203684615735
47,stilert,0.658012121590978
48,nj,0.6567035254238447
49,aervant,0.6567025123940609
50,nightingale,0.65631112169984
51,iun,0.6530357068994488
52,place,0.6520674393251193
53,nnmo,0.6509813047861615
54,nature,0.6508400559343709
55,thnir,0.6507503445996546
56,in,0.6491478616518136
57,dcsptlo,0.6486769709713851
58,tall,0.648539866422274
59,end,0.6484208052880203
60,property,0.6481492762839778
61,institution,0.6480726630730558
62,monstrance,0.6470017950190826
63,function,0.6461891708471684
64,spread,0.6459701132766584
65,willing,0.645917129687154
66,aci,0.6451488484407606
67,northern,0.6447374056953217
68,fur,0.6445835406400681
69,part,0.6436002512191534
70,hich,0.6431562891918302
71,alarm,0.6424250654552965
72,thi,0.6420415393978856
73,word,0.640812457548454
74,faithful,0.6401661372485096
75,liberty,0.6397676721822645
76,see,0.6396864531130184
77,sum,0.6394436586435537
78,raise,0.6394154297898507
79,llm,0.6393534744473279
80,novel,0.6385923641084092
81,people,0.6381416239685299
82,poor,0.6380882562817175
83,mde,0.6374777562030214
84,first,0.6353789152419208
85,jwhi,0.6351637228667502
86,security,0.6345367406537159
87,do,0.6345179524350081
88,bad,0.6342709657870598
89,class,0.6338479655435865
90,but,0.6333158660092018
91,subdu,0.6324701110463629
92,tv,0.6323178894334993
93,lo,0.6319578180707915
94,relation,0.6318550852594589
95,nml,0.6317529647414027
96,whose,0.6305449765357048
97,aud,0.6304847702322807
98,here,0.6299475477506504
99,house,0.6289645988357389
100,time,0.6289587601842656
101,meet,0.6289458642416237
102,tako,0.6283422954459507
103,strictlyibrbid,0.6282188860520737
104,deliver,0.6281360033035248
105,cabinet,0.6268318991392519
106,ear,0.6268021001667368
107,stipula,0.626757907484719
108,avow,0.6264595071488932
109,body,0.6264432867734099
110,ble,0.6260665395038456
111,tw,0.6260594955426837
112,fill,0.6257827573064649
113,circumstance,0.6253360681100519
114,njlng,0.6250334832624269
115,oil,0.6249720291714679
116,lirnnirht,0.6245074504766894
117,wan,0.6242803372265437
118,moro,0.6233155667685443
119,leuue,0.6232320943512808
120,eighty,0.6230557096123431
121,inten,0.6228608348067148
122,province,0.6227930362860199
123,uilil,0.6227793983803391
124,pore,0.6227141148298561
125,leach,0.6224673034468076
126,slaveholilei,0.6211581093042309
127,manservant,0.6207931550909556
128,propagator,0.6207448337027259
129,ht,0.6203927181822009
130,name,0.6200846059631666
131,wai,0.6197504025411913
132,twclvi,0.6188844411241934
133,slavery,0.6186578828450275
134,mnv,0.6185840326916158
135,anil,0.6185110200204786
136,soy,0.6184610717835308
137,tlio,0.6182352893126963
138,maolrvanl,0.6180431887099053
139,thoir,0.617792465121013
140,sa,0.6173659823631308
141,litllo,0.6173391075982433
142,head,0.6172890868904581
143,find,0.6169646310731374
144,remember,0.6168309141072991
145,idea,0.6167420823713452
146,code,0.6165254857332649
147,wiueiy,0.6159330672631804
