,token,cosine
0,negro,0.6557052874480513
1,mr,0.6261414967888357
2,order,0.6238270850537309
3,charge,0.6155315706501527
4,the,0.5819599005757012
5,steal,0.5808199680311448
6,last,0.5779462127018866
7,arrest,0.5779273980265287
8,yesterday,0.5696928079705541
9,john,0.5689134779092927
10,name,0.5629323708893863
11,ot,0.5528941119936522
12,day,0.5434578215049284
13,george,0.5416581135552857
14,mrs,0.5381156281429071
15,two,0.5374718747979976
16,william,0.5367298206193829
17,mayor,0.5365763482733578
18,james,0.5351471004351432
19,one,0.534347145400552
20,henry,0.5328413442365689
21,aud,0.5280201438975699
22,county,0.5232535532977077
23,tbe,0.5124938604177431
24,wm,0.5082034715780047
25,go,0.5063334842819285
26,case,0.5054253206453433
27,receive,0.5003919291644277
28,in,0.4978463217447294
29,property,0.497090435359587
30,night,0.4969582644853979
31,arraign,0.4964373744845974
32,th,0.4948570432983457
33,free,0.49284477556953754
34,run,0.49053758959437455
35,court,0.4898601288642621
36,say,0.48845180927971743
37,saturday,0.4867656676934755
38,master,0.48532509462032436
39,bring,0.48441870754666727
40,morning,0.4832249110365504
41,on,0.4815310970498725
42,alave,0.48114907933692497
43,he,0.4802402810525688
44,thomas,0.4795824465349368
45,ol,0.4786648475920785
46,commit,0.47592581292116554
47,large,0.4748183955351679
48,wa,0.4746501825987035
49,waa,0.47313723913501615
50,pass,0.4724108705177851
51,be,0.47217490374519955
52,mary,0.4718795526444428
53,escape,0.46927681159409385
54,sell,0.4650917275245239
55,convict,0.4615796701960202
56,find,0.46118452493943585
57,service,0.45793745177748924
58,lash,0.4564552636582171
59,street,0.45635024175605227
60,man,0.45627145797900615
61,joseph,0.4560303482239076
62,ing,0.45501173314833804
63,iu,0.4543213220443376
64,year,0.453613603729085
65,take,0.4529044264695772
66,bis,0.4528348607724723
67,sunday,0.4503277543929075
68,johnson,0.4499375106350676
69,tho,0.44991150912917727
70,belong,0.4487860688004748
71,make,0.4476775721809852
72,call,0.44612702887405387
73,smith,0.4441697480087999
74,dr,0.44280047791092
75,city,0.4412389752093663
76,runaway,0.4399142972453327
77,good,0.43638785472448116
78,another,0.4314177292367798
79,answer,0.4294077986321182
80,cage,0.4269481204698951
81,also,0.4266021646362609
82,stealing,0.42651899388077663
83,robert,0.42489043624050354
84,well,0.4245477678836683
85,without,0.42446108697609924
86,house,0.42230171920171533
87,charles,0.42082043235005484
88,trial,0.4206397789817916
89,ten,0.42042369257673284
90,it,0.41872046910627275
91,jail,0.4185780728310219
92,time,0.4180899334468283
93,woman,0.4149260854791056
94,hold,0.4120770510964678
95,aad,0.40976585286303807
96,stripe,0.40889088709004684
97,come,0.40778668053090134
98,monday,0.40765297839127623
99,virginia,0.40675881716337886
100,send,0.40652638571759536
101,whip,0.4059580308398962
102,evening,0.404783337664432
103,five,0.403914156433239
104,an,0.40371029585185075
105,and,0.40302667909307166
106,ami,0.40302209579941956
107,give,0.4028955743544873
108,owner,0.40285340864023855
109,money,0.4011934691532573
110,three,0.4008585645769894
111,aid,0.400790683063864
112,death,0.3995626761550415
113,not,0.39626420384445155
114,of,0.3960827910305806
115,officer,0.3953045714338632
116,try,0.3946827278039041
117,may,0.39455865446259974
118,punish,0.39425200897190116
119,beat,0.3940651606255189
120,watch,0.39339184571994756
121,assault,0.39050938379526734
122,murder,0.39008899756652116
123,albert,0.38950831130462993
124,white,0.3893242513433199
125,yester,0.3888786726359037
126,carry,0.3887730189245554
127,term,0.38766292729212826
128,taylor,0.3874917189646786
129,place,0.3870300356662867
130,ia,0.38662919672574736
131,lie,0.38652339498267174
132,know,0.3836907073865987
133,would,0.3835966488543454
134,tha,0.3823838519157282
135,wednesday,0.3820596916833092
136,jones,0.380776567650122
137,slaves,0.3793673072730429
138,permit,0.37936594852997835
139,pro,0.3793139629516964
140,upon,0.37832968906501274
141,ii,0.3781492404801705
142,joe,0.37761178121004896
143,attempt,0.3772326168628185
144,boy,0.37706658339012256
145,enter,0.3770330001216419
146,son,0.37678403803846194
147,richard,0.37604482007043055
148,discharge,0.37471962918737667
149,ou,0.37426217740390244
150,examine,0.37408407995514364
151,hill,0.37289993908918073
152,color,0.37239814877353405
153,leave,0.3716571273867979
154,anderson,0.37153245407175195
155,henrico,0.36982442249086467
156,they,0.3698164225476183
157,en,0.36910439285367946
158,continue,0.3685865085138219
159,away,0.3683623860562073
160,er,0.36825058989837994
161,state,0.36822571964112394
162,ihe,0.3676048318580768
163,shall,0.3655960432674624
164,appear,0.3653018616160676
165,con,0.3635478339883215
166,old,0.36348957967660467
167,watchman,0.36346858817033856
168,get,0.36276611973600914
169,lor,0.3627192559280582
170,family,0.36217514406812734
171,value,0.36215694397624365
172,hi,0.36191236421604056
173,estate,0.36142902016126655
174,ef,0.3610570738140394
175,sentence,0.3606211696897472
176,lot,0.3603054111745213
177,tuesday,0.3595630966276556
178,edward,0.35955442675548754
179,hire,0.3577776796716905
180,la,0.35602755925197105
181,wife,0.3549932666760204
182,use,0.35469430654890755
183,law,0.3538554548057764
184,bill,0.3528078901849277
185,ed,0.3523720633559913
186,aa,0.35212471357608593
187,break,0.3515301153157389
188,geo,0.35143207642463475
189,child,0.3511515440455588
190,stab,0.35071273379586804
191,co,0.34853381648495707
192,turner,0.34830746630858767
193,fugitive,0.34804515052934953
194,write,0.34804404877709394
195,iv,0.34795235340819
196,employ,0.34783460297636426
197,slavery,0.3473648411644754
198,daniel,0.3465027433338015
199,tree,0.345390473025851
200,sale,0.34527981700322574
201,near,0.34526989558684795
202,ti,0.34400705650087937
203,washington,0.3439039632864622
204,ann,0.34331192505523256
205,first,0.3426181199107369
206,live,0.3417026771487578
207,morris,0.34118084769549206
208,act,0.3409500684482217
209,va,0.34064486831323737
210,we,0.33903482892792053
211,oi,0.33868668844955235
212,slaveholder,0.3380297060273936
213,friday,0.3370202243197431
214,rest,0.33682450139802933
215,ar,0.33646136531764825
216,capture,0.3363446908265091
217,win,0.33596858996460627
218,st,0.3348630243454086
219,report,0.3348196367769618
220,david,0.33464046260805635
221,keep,0.33444670041668356
222,company,0.3336341219441924
223,pair,0.3336046222333725
224,this,0.3335322118310932
225,cause,0.3332771198797404
226,drunk,0.3322871383811635
227,husting,0.332248213507759
228,new,0.3319923074577067
229,as,0.33100068564874774
230,set,0.3308897571545035
231,see,0.3308553305188682
232,put,0.33027411324883627
233,tor,0.33024867380610357
234,jas,0.32983279034960966
235,arrette,0.32924562865361
236,yes,0.329150832890452
237,home,0.3284638903812766
238,next,0.32814387606085554
239,end,0.3280471989997086
240,ne,0.3278969154924303
241,peter,0.32781627151092885
242,person,0.3276934406848363
243,li,0.3273682533569634
244,bad,0.32661389039863575
245,pay,0.32601558996302626
246,lewis,0.32579968893009464
247,south,0.3253481479133262
248,clave,0.32520667154870914
249,fire,0.3243304426105431
250,meet,0.32293712350331427
251,messrs,0.32219863775933955
252,friend,0.3220416916325485
253,guilty,0.32196118716247824
254,these,0.3218872846348593
255,york,0.320985338514188
256,hour,0.3209632299182249
257,fine,0.3208071716327085
258,kill,0.32069449549695206
259,or,0.3206309142074535
260,every,0.3198348669202268
261,brown,0.3194968205462817
262,gro,0.31939851334881797
263,way,0.31936094376897883
264,at,0.31903078166319465
265,if,0.31877036778235546
266,follow,0.3184395954421617
267,worth,0.31798615323931223
268,fc,0.3174684159925041
269,alexander,0.317450127220673
270,allen,0.3172486491094182
271,do,0.3172370738082452
272,return,0.31665887763733147
273,examination,0.316558306890106
274,store,0.3163639347790852
275,bo,0.3162806725324152
276,behavior,0.3159520360403745
277,security,0.3153072468612188
278,tb,0.3152082021496877
279,proper,0.31431904862619686
280,week,0.3142988235402109
281,ben,0.31405718784124564
282,punishment,0.3131978082305388
283,own,0.31262453417720726
284,grant,0.312484587118369
285,no,0.31188822218117085
286,within,0.3116792090120139
287,thirty,0.3115263724059711
288,elizabeth,0.3113124326995743
289,io,0.31093172166576544
290,flog,0.3103450003773212
291,bail,0.3102055228731289
292,te,0.3096823856651211
293,several,0.3094799980402819
294,right,0.30863103854775287
295,could,0.30791137637132915
296,fellow,0.3078218696561039
297,ha,0.30736244922954903
298,afternoon,0.3073135925332663
299,emancipate,0.30703769921877405
300,far,0.3059359764768679
301,per,0.30584162867473247
302,four,0.3053771345357497
303,party,0.3053654598291498
304,bag,0.3049786693410408
305,subject,0.30421090718405364
306,thursday,0.3038035894873561
307,back,0.3028813664246094
308,body,0.30263124608487096
309,cook,0.30243101754789037
310,today,0.3019070063458157
311,price,0.30190334584283507
312,ty,0.3017868092907794
313,tion,0.30158452877616554
314,oclock,0.30142657184897237
315,land,0.3014112911491441
316,jim,0.3012297566357924
317,miss,0.3010163180108444
