,token,cosine
0,labor,0.39695801139845965
1,upon,0.384914159041025
2,negro,0.38153643652469804
3,owner,0.3760317110416993
4,trade,0.37366858897143407
5,take,0.3707897729234351
6,if,0.36521117055945873
7,number,0.3595888887060763
8,shall,0.35389717734914916
9,may,0.35298279870447713
10,fugitive,0.35141310805971915
11,slavery,0.34462831524535464
12,could,0.34079259602045653
13,would,0.3395138188903438
14,one,0.339212117444742
15,master,0.3371738516168943
16,now,0.33673649833933905
17,state,0.33358786752864594
18,become,0.33325726027431374
19,the,0.3321510383908847
20,cause,0.32904012418383355
21,do,0.32852626373140725
22,per,0.3240210255215853
23,we,0.3183068031957934
24,great,0.3168958860097553
25,free,0.3164355677801518
26,let,0.31149311717617634
27,well,0.30827748672815697
28,but,0.30605513598053846
29,pay,0.3053374743169577
30,hand,0.30480798762281835
31,live,0.3046019681583734
32,power,0.30058790000581764
33,also,0.29928124054033367
34,say,0.2975792077893993
35,name,0.2971246862738979
36,people,0.29668874452249483
37,right,0.29522553983247773
38,united,0.2903362131898931
39,measure,0.28636375063440755
40,tax,0.2836325476445374
41,other,0.28198354186776575
42,case,0.28144003764958037
43,this,0.28132562369508735
44,south,0.2795587379617772
45,every,0.27915012824309027
46,in,0.2777076292022893
47,constitution,0.2772358526386538
48,cheap,0.2769169164583878
49,legislation,0.2761985403470126
50,good,0.27585644735543713
51,attempt,0.27562058672274137
52,keep,0.275568207285396
53,they,0.2750825128609711
54,government,0.2748499513444529
55,long,0.2734553367069067
56,use,0.2729971554608246
57,citizen,0.2725867136964143
58,tie,0.2716178147860533
59,missouri,0.2714405117436932
60,danger,0.27098923513251155
61,states,0.27010191907825093
62,two,0.2693671165681396
63,congress,0.26933583616699613
64,ask,0.26855151015984663
65,law,0.2661220988138583
66,follow,0.26509568710435816
67,population,0.26503456606605835
68,and,0.26391298340448494
69,amount,0.26388435960379436
70,yet,0.26186770445975727
71,principle,0.2592036902589
72,whatever,0.25828268535537496
73,reopen,0.2580872086337727
74,resort,0.25769402098512983
75,land,0.257583310159479
76,north,0.2575623199452479
77,thus,0.2574404274218173
78,property,0.25686723018109797
79,value,0.25662987208320776
80,white,0.2548594420726939
81,increase,0.25421482438270115
82,kansas,0.25313498257398404
83,it,0.25294258650936563
84,ry,0.2529228086877011
85,think,0.2528497520993208
86,still,0.252832059989693
87,know,0.2508338163140682
88,die,0.2501123012785144
89,learn,0.248964751852581
90,already,0.2485431747704207
91,since,0.24810419578363924
92,hire,0.24798714504403563
93,black,0.24723741458168438
94,general,0.2468762470348488
95,lire,0.2450609463921865
96,lie,0.24461254834658042
97,slav,0.24456927368115064
98,mr,0.2442003977946542
99,union,0.24398455477514858
100,tl,0.24365418859851307
101,year,0.24324649800812068
102,nation,0.2425383813656696
103,never,0.24159646928430817
104,get,0.24132874304491256
105,send,0.2406443888555642
106,african,0.2402110087237015
107,go,0.23999678147063425
108,poor,0.23903588528811992
109,cuba,0.2389365799367407
110,come,0.23889343461313373
111,abolition,0.237685304432399
112,institution,0.2365406563385185
113,scheme,0.2362329775855876
114,establish,0.23520998905064047
115,which,0.23479034832761905
116,texas,0.2346431868486067
117,ago,0.23449880873746443
118,whether,0.23404427890848903
119,desire,0.23363447264879508
120,like,0.2336078849085893
121,majority,0.23340808502662547
122,place,0.233189379853142
123,turn,0.23260182055752993
124,he,0.23259086348910396
125,southern,0.23251023348670385
126,how,0.23201955160806081
127,ever,0.23173806836286415
128,question,0.23145509060065328
129,revive,0.2311002277392165
130,must,0.2294873364923481
131,be,0.22911047455213263
132,de,0.2288396458490714
133,statesman,0.22879563475064954
134,exceed,0.22878931259008656
135,county,0.22807964873715655
136,ing,0.2276575701336424
137,body,0.22747204269595173
138,moral,0.2269345433928767
139,see,0.22681554533438097
140,old,0.22636106058972977
141,foot,0.2261666876197504
142,cost,0.2260950579346918
143,issue,0.22575204051172
144,answer,0.22549743134750572
145,she,0.22524594382199659
146,furnish,0.22490987699713802
147,liberty,0.22488730482643138
148,while,0.22395246082815423
149,recently,0.22391809696742848
150,these,0.22340610670095565
151,ed,0.22332740279189284
152,fill,0.2228976939693129
153,again,0.22234520873715125
154,fact,0.22202511073867187
155,perhaps,0.2219877966660016
156,although,0.2218822797892416
157,high,0.22087147949036562
