,token,cosine
0,owner,0.5642816054832998
1,make,0.5336032226883954
2,shall,0.5296199999232355
3,person,0.5254947614213538
4,tho,0.5103577845013658
5,the,0.5075822110545303
6,negro,0.4993868423430828
7,property,0.48799320461806744
8,say,0.487594224771808
9,bill,0.48750654489630774
10,law,0.47953777816125187
11,in,0.47909888696409947
12,case,0.47852250894139603
13,be,0.4723204743627121
14,mr,0.47229672976263815
15,house,0.4599593498146461
16,ed,0.4583712590617761
17,free,0.45720414191603587
18,fugitive,0.456504897614079
19,take,0.45548421071923473
20,sale,0.45493358986638033
21,court,0.45201794917357724
22,ot,0.44844624750359535
23,man,0.4468588364903635
24,states,0.4465439961900477
25,give,0.44641395369087544
26,sell,0.4442090353894166
27,tbe,0.44165124883236206
28,and,0.4395643382282134
29,right,0.43416223493658396
30,provide,0.4335904490252371
31,year,0.4281296742871661
32,one,0.42600166998555666
33,that,0.41972484543036176
34,time,0.4181617969888608
35,pay,0.41760816618535923
36,it,0.41457339011850336
37,also,0.4114206256110244
38,county,0.4098391610748988
39,order,0.40920909409478584
40,th,0.40777920703315584
41,trade,0.4071145190703259
42,to,0.4061170717559618
43,would,0.40530909367607454
44,color,0.4004290597407902
45,tha,0.3991825462933207
46,value,0.39822913118435055
47,find,0.3975493696512446
48,deliver,0.3964218885188797
49,ihe,0.39632421825953423
50,belong,0.39576154473005776
51,pass,0.3927024548617628
52,two,0.39126387741536617
53,of,0.39070731015503
54,state,0.38429895478722775
55,land,0.3798780646797352
56,less,0.37748770518217467
57,day,0.3770855433427873
58,tlie,0.37659602438842654
59,claim,0.3758186195151668
60,cf,0.3740270505592984
61,might,0.37222047690774096
62,white,0.3720103872870017
63,other,0.37106871248816264
64,without,0.36902772202024775
65,another,0.36888923432628545
66,they,0.3688374257876899
67,population,0.36816133406319623
68,master,0.3670194488335415
69,act,0.36661867851538155
70,become,0.36545809852359784
71,we,0.3634803449628098
72,charge,0.3582891301376494
73,last,0.358193895288202
74,must,0.3578626021646074
75,defendant,0.35696902752066145
76,reading,0.356574315750412
77,hold,0.35440420501147785
78,upon,0.3531633066758273
79,if,0.3519055025359211
80,interest,0.3518049102012589
81,united,0.35168382324924724
82,age,0.3506162165531238
83,first,0.3489101559472523
84,may,0.3488713590912655
85,receive,0.34740443225231604
86,tion,0.3469195075479093
87,regard,0.34632613124457395
88,he,0.3460794397425615
89,name,0.3439341671317947
90,citizen,0.3424335207312026
91,pro,0.34212479850303024
92,amend,0.3420537428323332
93,emancipate,0.34158204331591535
94,refer,0.3404908220142145
95,own,0.3395578695638316
96,ing,0.3375691267211491
97,woman,0.33652379738961624
98,move,0.33569732991015877
99,number,0.33563734081585767
100,estate,0.33557811563084194
101,lie,0.3352193801552109
102,return,0.3342699338679024
103,african,0.33154878526392206
104,this,0.3310977453250309
105,every,0.3298381180008595
106,slavery,0.3297577736489713
107,deny,0.3292191448288322
108,provision,0.32901226449121657
109,carry,0.32893135559653197
110,part,0.32878434551256075
111,tax,0.3287707200968737
112,stale,0.32864907836952906
113,five,0.3276955664538097
114,trial,0.3266305110009863
115,city,0.32507746479451527
116,on,0.3238031314361046
117,southern,0.32192015099043214
118,child,0.32180821056078224
119,recognize,0.32168421597075453
120,section,0.31992332215901187
121,ia,0.31923570722994005
122,lo,0.3173668183811084
123,enter,0.3170758810000578
124,send,0.31690288690872054
125,not,0.3152377753614504
126,ti,0.31486280650503445
127,constitution,0.31459365657018035
128,de,0.3145494373884008
129,labor,0.31442547604252513
130,der,0.31417949529029743
131,vote,0.31246804036651044
132,slaveholder,0.31120888263764124
133,favor,0.3099324671498844
134,tne,0.3098281940857309
135,buy,0.3093200026306083
136,son,0.30870922240491777
137,come,0.30805486917518987
138,cause,0.3078516699626189
139,aad,0.3074706491405371
140,territory,0.3071105048708849
141,power,0.3067893427014412
142,john,0.30639345160972
143,ho,0.30556427102544415
144,among,0.3055272993600727
145,three,0.30552333147185934
146,amendment,0.305396626935593
147,third,0.3044497258652048
148,money,0.30349971100314266
