,token,cosine
0,ami,0.6811237301342258
1,they,0.6800811224955253
2,master,0.6689028487140283
3,he,0.6685125199166437
4,negro,0.6597986965098124
5,obedient,0.6567002766543542
6,unbounded,0.6534199791606081
7,for,0.6525929100454901
8,slave,0.6513226559598394
9,parent,0.644137788316508
10,faithful,0.644079803241669
11,but,0.642132974490762
12,all,0.6415590501080901
13,noisy,0.638829009331593
14,bear,0.6382011335251232
15,speak,0.6367828768039318
16,point,0.6366663948283104
17,one,0.6348457769311802
18,with,0.634578609950528
19,these,0.6336108580319451
20,pi,0.6328875272110788
21,collector,0.6322181979190205
22,wire,0.6302286804594611
23,around,0.628538193836413
24,llhamann,0.626928807678282
25,come,0.6269009852876408
26,hut,0.6268919250827489
27,sip,0.624804211673384
28,keep,0.6238981549574553
29,father,0.6190759650678211
30,time,0.6188237197897151
31,ypyleh,0.6187632904922091
32,scholar,0.6185629716053627
33,frightful,0.6185136289997512
34,aurti,0.6173484668744496
35,leave,0.6165972649334788
36,child,0.6161350494815072
37,mr,0.6158780580592622
38,prietor,0.6157805746946062
39,distress,0.6151898390913765
40,showy,0.6151152460872454
41,old,0.614371648698903
42,tnan,0.6128350108794001
43,ftfld,0.612165309183743
44,vcene,0.6111267912109547
45,honor,0.6108944330338628
46,livery,0.6107165393936222
47,thompson,0.6094669582051665
48,look,0.6076950526696026
49,trast,0.6070465671880392
50,nnsti,0.6066640995444814
51,diihlren,0.6064673305081312
52,suck,0.6057130291959615
53,your,0.6035061878718125
54,man,0.6034884343434531
55,two,0.6034708087270988
56,who,0.6033242426603027
57,it,0.6028419161209566
58,thone,0.6022395494182196
59,bo,0.601148607930269
60,thiit,0.6010048684959981
61,unobservant,0.6007350600352557
62,insubordination,0.6003212863700905
63,punch,0.6000023494481199
64,dominion,0.5997827846796935
65,ho,0.5987688427288675
66,cry,0.5952587018496389
67,pan,0.594129825374177
68,perfect,0.5937187658060108
69,eunuch,0.5933423811607784
70,duty,0.5930969990959885
71,seem,0.5908128079462835
72,that,0.5908039992950818
73,company,0.5906825885751613
74,among,0.5905932199107463
75,iravaganae,0.5905345997590941
76,act,0.5895462690867299
77,imc,0.589288176817109
78,iahmi,0.5892494792443744
79,everybody,0.5875015025429975
80,jtayer,0.5869373712884998
81,wife,0.5856270051736241
82,itnnnfl,0.5856198247041298
83,love,0.5849050943547003
84,free,0.5847745655524723
85,wuriuj,0.5842832337119339
86,vicinity,0.5837146721525204
87,attentiveness,0.5835368561870014
88,hail,0.5834385449817183
89,boot,0.5830442285851396
90,hij,0.5803854593334669
91,public,0.578982190309287
92,tin,0.5788370393760539
93,say,0.5784342552401069
94,in,0.5774870751553676
95,this,0.5771311572161606
96,archimede,0.5766881678781994
97,wbql,0.5765536690042192
98,warming,0.5762922463262214
99,legsnce,0.5756548980559648
100,imestown,0.5747905097218575
101,belong,0.5744225241610892
102,except,0.5743286219937362
103,hefore,0.5741666042709723
104,rep,0.5719462374325832
105,make,0.5716143200764927
106,pennsylvania,0.5715708255667118
107,there,0.5712019222122222
108,agreeable,0.5711004895642406
109,take,0.5706148925978085
110,life,0.5705471029600239
111,though,0.569360878303333
112,con,0.5687407620285725
113,work,0.568603302525315
114,peculiar,0.5683690064122745
115,cross,0.5682036028639428
116,tho,0.566452862546682
117,slavos,0.5660599512089888
118,dismiss,0.565140596796784
119,coy,0.5632000066950171
120,subject,0.5624409983690475
121,aro,0.5623518375221875
122,upon,0.5616697420171728
123,cervante,0.5615323862331791
124,await,0.5611577620425563
125,icramble,0.5607235111805853
126,kvery,0.5604458480533687
127,debts,0.5602889156699653
128,confer,0.55962684884365
129,wo,0.5595026179207748
130,order,0.5593114229816121
131,front,0.5586895443436135
132,panza,0.5554264863454965
133,orygenale,0.5549927443413682
134,inlumbent,0.5547092091486487
135,king,0.5534480705685039
136,ik,0.5532409302567147
137,could,0.5531564953079403
138,toast,0.5526476885246109
139,lamar,0.5525844719661854
140,iliar,0.5518079252205453
141,tn,0.5517003965103117
142,ur,0.550679607651362
143,famous,0.5491596406841748
144,ol,0.5489973160046828
145,remark,0.5485020935922124
146,inconvenience,0.5483130167570031
147,percival,0.5483094253363284
148,train,0.5479318771529291
149,economize,0.5475512817947681
150,trail,0.5475398091661963
151,souiii,0.5473729397023972
152,force,0.5470817872996885
153,regard,0.5470387322097505
154,last,0.5467998637599545
155,gentleman,0.5467896261012681
156,aire,0.5465739376811778
157,french,0.5458040870208241
158,iuivi,0.5455804952339143
159,like,0.5455404775932614
160,respectfully,0.5450931909085868
161,send,0.5447928746346726
162,intruder,0.5445012786725947
163,circumstuucos,0.5444653778944825
164,duflil,0.5444416092457491
165,hate,0.5441265176287797
166,ihock,0.5441131334373916
167,sancho,0.5439337720684833
168,cinzetlh,0.5438069506429329
169,cluster,0.5436982138171351
170,great,0.5436648128925414
171,urk,0.5430145101924749
172,reason,0.542708655037664
173,relieved,0.542063656863187
174,srrv,0.541945554527031
