,token,cosine
0,the,0.7030577670219537
1,state,0.6419382830682828
2,free,0.6338494602048076
3,one,0.6082516717963373
4,hold,0.597424219130742
5,slavery,0.5794206134292859
6,take,0.5778787915404536
7,make,0.5735579134675457
8,they,0.5723043923962379
9,master,0.5705131408085362
10,may,0.5675494424795742
11,say,0.5669435214222189
12,owner,0.5648313112433964
13,and,0.5614321403184886
14,year,0.5571976075992431
15,would,0.5549704175429233
16,it,0.5492074698089442
17,in,0.541003530820563
18,states,0.5386964668499294
19,be,0.5368226626819317
20,negro,0.5361143975050597
21,every,0.5345915825047142
22,law,0.5299522990544088
23,sell,0.5297233201375348
24,tho,0.5294034434306173
25,this,0.5284936520927337
26,if,0.5226635715137171
27,but,0.5216430727559958
28,man,0.5214101967228382
29,purpose,0.5206431163814242
30,he,0.5196091473836564
31,right,0.5195921910725851
32,trade,0.5190029414952619
33,bring,0.5169451598139891
34,leave,0.5164926632978746
35,go,0.5158640741829853
36,th,0.5100105937118586
37,there,0.5077971954659062
38,that,0.5061953702059512
39,upon,0.5054767184371562
40,person,0.49695219770678356
41,labor,0.49460319532242797
42,great,0.49401134040795275
43,become,0.4935713589138077
44,act,0.49354019395839527
45,long,0.4926691954996685
46,fugitive,0.4902686750597085
47,since,0.48985246998898113
48,country,0.4894777872692213
49,give,0.4889940974251805
50,exist,0.4886772837887499
51,bo,0.487613105519522
52,we,0.4856373572761734
53,fact,0.4841531002224037
54,might,0.4836288665764222
55,less,0.48287770719523937
56,slaveholder,0.4815470543032738
57,virginia,0.48067126631390733
58,property,0.4789795544874048
59,not,0.4787297420022773
60,aud,0.4768411675627227
61,can,0.476024013329035
62,southern,0.47375791506028564
63,value,0.4736706311511173
64,south,0.47015549910084825
65,slaveholde,0.4693708684085466
66,of,0.46718219146033246
67,hut,0.4666502089466001
68,part,0.4663145966290133
69,time,0.4654708655098678
70,whose,0.464553756189818
71,declare,0.4630847793424412
72,last,0.46282112432826483
73,carry,0.46227057098154667
74,must,0.4621250815778295
