,token,cosine
0,I,0.9195364117622375
1,j,0.91647869348526
2,1,0.9156964421272278
3,child,0.8997424244880676
4,lie,0.8938298225402832
5,it,0.8777688145637512
6,he,0.8690633773803711
7,man,0.8614023327827454
8,tho,0.8588655591011047
9,my,0.8581100106239319
10,house,0.8569607138633728
11,in,0.8548945784568787
12,ho,0.85321444272995
13,obedient,0.8520807027816772
14,n,0.8515866994857788
15,order,0.8494210243225098
16,tin,0.8457438349723816
17,day,0.8439077138900757
18,wife,0.8429022431373596
19,be,0.841234564781189
20,one,0.8406230807304382
21,a,0.8365724086761475
22,the,0.8341042399406433
23,f,0.8259217739105225
24,girl,0.82057124376297
25,whole,0.8171474933624268
26,door,0.8113197684288025
27,your,0.8107990026473999
28,take,0.8103179931640625
29,public,0.7995025515556335
30,not,0.7953761219978333
31,supply,0.7939534783363342
32,i,0.7922374606132507
33,if,0.7913295030593872
34,home,0.7907919883728027
35,hire,0.7878535389900208
36,say,0.7793479561805725
37,tlio,0.7763171792030334
38,master,0.7748029828071594
39,m,0.7730846405029297
40,negro,0.7729605436325073
41,nnd,0.769932746887207
42,respectfully,0.7670778632164001
43,send,0.7654879689216614
44,s,0.7635972499847412
45,all,0.7598258256912231
46,good,0.756054162979126
47,go,0.7540810704231262
48,ami,0.7533538341522217
49,hi,0.7465658187866211
50,c,0.7464587688446045
51,year,0.7430983185768127
52,open,0.7423020005226135
53,soon,0.7370288372039795
54,lady,0.7339873313903809
55,ii,0.7326794862747192
56,she,0.7294095158576965
57,v,0.727364182472229
58,faithful,0.7259250283241272
59,friend,0.7242329120635986
60,woman,0.7197310328483582
61,respect,0.718877375125885
62,for,0.7144278287887573
63,cor,0.7135034203529358
64,much,0.7120888829231262
65,we,0.7086908221244812
66,flannel,0.7061914801597595
67,t,0.7021909952163696
68,well,0.7006393671035767
69,fully,0.6952765583992004
70,bo,0.6949712634086609
71,time,0.6947298645973206
72,room,0.6939504742622375
73,may,0.6848371028900146
74,ill,0.6837549209594727
75,u,0.6827781200408936
76,pay,0.677714467048645
77,at,0.6758043766021729
78,two,0.6757562756538391
79,never,0.6720007658004761
80,heavy,0.6711946129798889
81,contract,0.6634598970413208
82,use,0.663391649723053
83,old,0.6587458252906799
84,could,0.657414436340332
85,people,0.6558825373649597
86,111,0.6557202339172363
87,bring,0.655007541179657
88,oil,0.65459144115448
89,price,0.6533178091049194
90,would,0.6496613025665283
91,place,0.6491531133651733
92,they,0.6482594609260559
93,first,0.6452656388282776
94,ol,0.643983781337738
95,ticket,0.6424987316131592
96,il,0.6377787590026855
97,arc,0.6360436677932739
98,gentleman,0.6347309350967407
99,li,0.6252793669700623
100,see,0.6242220401763916
101,now,0.6205227971076965
102,wish,0.6203467845916748
103,look,0.619994044303894
104,d,0.6162341237068176
105,honor,0.6118197441101074
106,large,0.6111788749694824
107,red,0.6093941926956177
108,mr,0.609325110912323
109,11,0.5994164347648621
110,even,0.5977894067764282
111,last,0.595453679561615
112,yet,0.5936399102210999
113,another,0.5924763083457947
114,you,0.5884979963302612
115,give,0.584746778011322
116,washington,0.5836779475212097
117,word,0.5832560658454895
118,right,0.5788841843605042
119,slave,0.5771188735961914
120,half,0.5746517181396484
121,superior,0.5746434330940247
122,hear,0.5731792449951172
123,also,0.5716937184333801
124,state,0.5662266612052917
125,god,0.5643860101699829
126,sir,0.56316739320755
127,oblige,0.5629374384880066
128,direct,0.5623499751091003
129,of,0.561747133731842
130,many,0.5604883432388306
131,person,0.5542830228805542
132,dispatch,0.5541698336601257
133,came,0.5524543523788452
134,officer,0.5495743751525879
135,life,0.5488165616989136
136,woolen,0.5475625991821289
137,call,0.5453042387962341
138,bad,0.5444594025611877
139,act,0.5424777865409851
140,treat,0.5423223972320557
141,obtain,0.5382757186889648
142,g,0.5348104238510132
143,there,0.5333381295204163
144,observant,0.5327178239822388
145,carriage,0.5302987694740295
146,set,0.5246981382369995
147,k,0.522118091583252
148,hand,0.5217188596725464
149,e,0.5215482115745544
150,_,0.5181337594985962
151,sell,0.5132697224617004
152,company,0.5127843022346497
153,w,0.5125439167022705
154,eye,0.5106447339057922
155,intelligence,0.5082608461380005
156,strike,0.500687837600708
157,l,0.5000324249267578
158,long,0.4961521029472351
159,dress,0.4928624629974365
160,charge,0.4857476055622101
161,city,0.48564228415489197
162,wait,0.48410141468048096
163,upon,0.4828215539455414
164,liis,0.4827233850955963
165,little,0.4812355637550354
166,body,0.4782958924770355
167,approve,0.4780803322792053
168,invention,0.47534608840942383
169,dinner,0.474042147397995
170,y,0.4734407365322113
171,difficulty,0.4728638529777527
172,find,0.4722750782966614
173,o,0.4705963432788849
174,nl,0.4691072404384613
175,face,0.46778544783592224
176,ha,0.46605783700942993
177,tetel,0.4658680558204651
178,fee,0.46332648396492004
179,style,0.4626104235649109
180,eat,0.4624019265174866
181,exceed,0.4605671167373657
182,leave,0.45408982038497925
183,r,0.453263521194458
184,every,0.4524712860584259
185,matter,0.45113202929496765
186,seem,0.4506380259990692
187,nels,0.4490804374217987
188,wrong,0.4465230405330658
189,bow,0.44505247473716736
190,case,0.44445207715034485
191,proper,0.4440893232822418
192,tell,0.44351649284362793
193,receive,0.4422064423561096
194,abolitionist,0.44027072191238403
195,livery,0.4385603368282318
196,care,0.4377179741859436
197,pig,0.4332224726676941
198,largo,0.43214353919029236
199,follow,0.4321388900279999
200,accompany,0.43143874406814575
201,fill,0.42982789874076843
202,ail,0.4276413321495056
203,akdemok,0.4264187514781952
204,speak,0.4255884289741516
205,color,0.4252001941204071
206,kind,0.4237636625766754
207,plate,0.4236568510532379
208,pocket,0.4235818684101105
209,female,0.4227021336555481
210,mod,0.42263564467430115
211,al,0.4201034903526306
212,tmve,0.41975149512290955
213,therefore,0.4187917113304138
214,rear,0.4184599220752716
215,humble,0.41467514634132385
216,preserve,0.4146200120449066
217,tea,0.4129645526409149
218,way,0.4127013683319092
219,lest,0.4108326733112335
220,moment,0.4091818034648895
221,back,0.4088539779186249
222,scenethe,0.40835171937942505
223,tl,0.4083419442176819
224,very,0.40763700008392334
225,sea,0.4075286090373993
226,always,0.40725141763687134
227,venus,0.4064837098121643
228,except,0.4059029519557953
229,cruvelli,0.4052332639694214
230,bed,0.4037553369998932
231,new,0.40333548188209534
232,cold,0.4021187126636505
233,so,0.4017024338245392
234,nil,0.40109363198280334
235,indie,0.4010898470878601
236,reply,0.4002566337585449
237,write,0.3994811475276947
238,serviee,0.39844805002212524
239,urn,0.3978933095932007
240,mo,0.39598459005355835
241,tlie,0.3956577181816101
242,as,0.3955478370189667
243,eve,0.39527568221092224
244,term,0.3938598036766052
245,full,0.39320632815361023
246,sit,0.3931204378604889
247,come,0.3930498957633972
248,upou,0.39258667826652527
249,co,0.3920987844467163
250,notebook,0.3900703489780426
251,service,0.38972699642181396
252,high,0.38887256383895874
253,attentive,0.3880545198917389
254,lid,0.38701608777046204
255,tts,0.38554897904396057
256,number,0.3842495381832123
257,witi,0.38324275612831116
258,llo,0.3827628195285797
259,tim,0.3826839029788971
260,his,0.38026586174964905
261,sort,0.379006564617157
262,aid,0.3789803683757782
