,token,cosine
0,say,0.9988293647766113
1,f,0.998809278011322
2,1,0.9988045692443848
3,take,0.9988035559654236
4,ill,0.9987955093383789
5,11,0.9987789988517761
6,lie,0.9987584948539734
7,a,0.9987162947654724
8,would,0.9986798763275146
9,year,0.9986733198165894
10,one,0.9986730217933655
11,at,0.9986686706542969
12,j,0.998660683631897
13,he,0.9986588358879089
14,two,0.9986546635627747
15,country,0.9986467957496643
16,will,0.9986398816108704
17,north,0.9986320734024048
18,n,0.9986192584037781
19,tin,0.9986132383346558
20,make,0.9986059665679932
21,v,0.9986030459403992
22,master,0.9986023306846619
23,negro,0.9985961318016052
24,duty,0.9985899329185486
25,I,0.9985888600349426
26,see,0.9985795021057129
27,r,0.9985730648040771
28,condition,0.9985702633857727
29,this,0.9985702037811279
30,slaveholder,0.9985690116882324
31,african,0.9985604286193848
32,t,0.9985554814338684
33,and,0.9985517263412476
34,arc,0.9985451102256775
35,l,0.9985445737838745
36,number,0.9985439777374268
37,relation,0.9985321164131165
38,thai,0.9985276460647583
39,e,0.9985181093215942
40,may,0.9985172748565674
41,antislavery,0.9985144734382629
42,ami,0.9985131025314331
43,population,0.9985082149505615
44,thousand,0.9985069036483765
45,bring,0.9985061883926392
46,must,0.9985043406486511
47,sell,0.9985038042068481
48,pay,0.9985010027885437
49,owner,0.9984990358352661
50,without,0.9984980225563049
51,yet,0.9984906911849976
52,ii,0.9984889626502991
53,well,0.9984887838363647
54,believe,0.9984843730926514
55,become,0.9984766840934753
56,lo,0.9984707832336426
57,africa,0.9984692335128784
58,every,0.9984680414199829
59,ho,0.9984571933746338
60,slate,0.9984532594680786
61,place,0.9984515309333801
62,slavo,0.9984512329101562
63,tlio,0.9984402656555176
64,know,0.998434841632843
65,hold,0.9984328150749207
66,south,0.9984310269355774
67,hut,0.9984288811683655
68,all,0.998428225517273
69,person,0.9984277486801147
70,great,0.9984241127967834
71,th,0.9984235763549805
72,to,0.9984232783317566
73,present,0.9984226226806641
74,in,0.9984207153320312
75,i,0.9984180331230164
76,world,0.9984171390533447
77,there,0.9984090924263
78,bill,0.9984087944030762
79,never,0.9984022974967957
80,give,0.998401403427124
81,leave,0.9983993768692017
82,w,0.99839848279953
83,if,0.9983861446380615
84,slaver,0.9983825087547302
85,come,0.9983818531036377
86,many,0.9983810782432556
87,time,0.9983786344528198
88,union,0.9983782768249512
89,mr,0.9983779788017273
90,could,0.9983750581741333
91,no,0.9983746409416199
92,o,0.9983738660812378
93,long,0.9983730316162109
94,value,0.9983728528022766
95,new,0.9983499646186829
96,li,0.9983490109443665
97,but,0.9983444809913635
98,bad,0.9983440637588501
99,hundred,0.9983404278755188
100,go,0.9983370304107666
101,10,0.9983356595039368
102,either,0.9983352422714233
103,send,0.9983335733413696
104,regard,0.9983325600624084
105,even,0.9983283281326294
106,man,0.9983227252960205
107,ly,0.998322069644928
108,million,0.9983205199241638
109,old,0.9983180165290833
110,emancipate,0.998315155506134
111,fact,0.998312771320343
112,light,0.9983083009719849
113,cotton,0.9983053803443909
114,profit,0.9983002543449402
115,we,0.9982991814613342
116,own,0.9982956051826477
117,war,0.9982940554618835
118,admit,0.998292088508606
119,authority,0.9982895255088806
120,stale,0.9982868432998657
121,tlic,0.9982849955558777
122,find,0.9982831478118896
123,look,0.9982812404632568
124,tbe,0.9982776045799255
125,of,0.9982773661613464
126,enslave,0.9982762932777405
127,iu,0.9982700943946838
128,carry,0.9982692003250122
129,so,0.998267650604248
130,h,0.9982641339302063
131,c,0.9982612133026123
132,ol,0.9982589483261108
133,day,0.998258650302887
134,vessel,0.9982582330703735
135,il,0.998258113861084
136,it,0.9982547760009766
137,purpose,0.9982531666755676
138,black,0.9982514381408691
139,s,0.9982448816299438
140,open,0.9982417225837708
141,tliat,0.9982345700263977
142,people,0.9982345104217529
143,tlie,0.99823397397995
144,dollar,0.9982312917709351
145,furnish,0.9982289671897888
146,land,0.9982286691665649
147,bo,0.9982227087020874
148,pass,0.9982208013534546
149,follow,0.9982163310050964
150,let,0.9982149600982666
151,doubt,0.998214840888977
152,by,0.9982134699821472
153,b,0.9982109665870667
154,that,0.9982091188430786
155,least,0.998208224773407
156,be,0.9982069134712219
157,slaveholde,0.9982067942619324
158,u,0.998205840587616
159,far,0.9982033371925354
160,northern,0.9982020854949951
161,hy,0.9982007145881653
162,ot,0.9981996417045593
163,portion,0.9981942772865295
164,virginia,0.9981935024261475
165,much,0.9981890320777893
166,repeal,0.9981828331947327
167,high,0.998180091381073
168,show,0.9981792569160461
169,introduce,0.9981784224510193
170,convention,0.9981775879859924
171,put,0.9981725811958313
172,constitution,0.9981644153594971
173,want,0.9981632232666016
174,for,0.998152494430542
175,use,0.9981517791748047
176,abolition,0.9981470108032227
177,end,0.9981469511985779
178,import,0.9981445074081421
179,also,0.9981384873390198
180,increase,0.9981383681297302
181,force,0.9981346726417542
182,system,0.9981334209442139
183,within,0.9981263279914856
184,property,0.9981242418289185
185,fur,0.9981224536895752
186,last,0.9981220364570618
187,always,0.9981188774108887
188,result,0.998112142086029
189,good,0.9981109499931335
190,tli,0.9981102347373962
191,now,0.9981067776679993
192,oil,0.9981041550636292
193,protect,0.9981014132499695
194,thus,0.9980992078781128
195,remain,0.9980987906455994
196,whether,0.9980977177619934
197,prohibit,0.9980968236923218
198,free,0.998095691204071
199,work,0.998093843460083
200,first,0.9980868697166443
201,do,0.9980857372283936
202,evil,0.9980849027633667
203,reason,0.9980835914611816
204,name,0.9980829954147339
205,wrong,0.9980811476707458
206,part,0.9980810284614563
207,call,0.998080313205719
208,since,0.9980769157409668
209,period,0.9980700016021729
210,need,0.998069167137146
211,hi,0.9980680346488953
212,the,0.9980676174163818
213,proslavery,0.998063325881958
214,law,0.9980632662773132
215,111,0.998062252998352
216,act,0.9980568289756775
217,color,0.9980533719062805
218,tho,0.9980524182319641
219,interest,0.9980522990226746
220,citizen,0.9980482459068298
221,coast,0.9980469942092896
222,white,0.9980449080467224
223,shall,0.9980443120002747
224,exist,0.998042106628418
225,case,0.9980394840240479
226,might,0.998038113117218
227,then,0.9980367422103882
228,stand,0.9980365037918091
229,die,0.9980353713035583
230,among,0.9980351328849792
231,think,0.9980334043502808
232,majority,0.9980331063270569
233,claim,0.9980317950248718
234,southern,0.9980292320251465
235,prevent,0.9980282187461853
236,issue,0.9980241060256958
237,such,0.9980233311653137
238,three,0.9980171322822571
239,tl,0.9980124831199646
240,an,0.998004138469696
241,mean,0.998003363609314
242,child,0.9980022311210632
243,ground,0.9979994297027588
244,policy,0.9979974627494812
245,equal,0.9979920387268066
246,live,0.9979896545410156
247,traffic,0.9979866147041321
248,per,0.9979860782623291
249,protection,0.9979811310768127
250,legislature,0.9979772567749023
251,which,0.9979766011238098
252,vote,0.9979698061943054
253,run,0.9979678392410278
254,nil,0.9979658126831055
255,what,0.997964084148407
256,ever,0.9979621767997742
257,provide,0.9979581832885742
258,general,0.9979541897773743
259,willi,0.9979531764984131
260,direct,0.9979526996612549
261,ion,0.9979474544525146
262,treaty,0.9979472160339355
263,england,0.9979459047317505
264,k,0.9979456663131714
265,position,0.9979453086853027
266,piracy,0.9979451894760132
267,race,0.9979408979415894
268,kansas,0.9979398250579834
269,opinion,0.9979391694068909
270,west,0.9979360103607178
271,anil,0.9979323744773865
272,necessary,0.9979311227798462
273,view,0.9979263544082642
274,america,0.9979240298271179
275,state,0.997923731803894
276,tliey,0.9979220628738403
277,ti,0.9979203343391418
278,another,0.9979197382926941
279,escape,0.9979178309440613
280,limit,0.9979145526885986
281,institution,0.9979050755500793
282,engage,0.9979046583175659
283,owe,0.9979040026664734
284,government,0.9978995323181152
285,fugitive,0.9978993535041809
286,hie,0.997893750667572
287,render,0.9978920221328735
288,five,0.9978860020637512
289,llie,0.9978848099708557
290,principle,0.9978828430175781
291,pro,0.9978826642036438
292,you,0.997882068157196
293,control,0.9978814125061035
294,emancipation,0.9978808164596558
295,si,0.997879147529602
296,large,0.9978787899017334
297,our,0.9978781342506409
298,refuse,0.9978768825531006
299,mi,0.9978706240653992
300,labor,0.997870147228241
301,federal,0.997869610786438
302,trade,0.9978674650192261
303,american,0.9978653192520142
304,_,0.9978620409965515
305,lor,0.9978618621826172
306,almost,0.9978594183921814
307,le,0.9978563785552979
308,freedom,0.9978561401367188
309,lia,0.9978560209274292
310,m,0.9978549480438232
311,member,0.9978538155555725
312,existence,0.9978512525558472
313,attempt,0.9978500008583069
314,still,0.9978468418121338
315,fifteen,0.997844398021698
316,continue,0.9978390336036682
317,seek,0.9978353381156921
318,ihe,0.997834324836731
319,missouri,0.9978339076042175
320,or,0.9978315234184265
321,tion,0.9978280663490295
322,abolitionist,0.9978272914886475
323,favor,0.9978255033493042
324,st,0.9978234171867371
325,ia,0.9978210926055908
326,iii,0.997818648815155
327,themselves,0.9978174567222595
328,exclude,0.9978172183036804
329,aid,0.9978156685829163
330,destroy,0.9978143572807312
331,d,0.9978134632110596
332,try,0.9978132247924805
333,meet,0.9978103041648865
334,whole,0.9978085160255432
335,soon,0.9978079199790955
336,like,0.9978054165840149
337,as,0.9978032112121582
338,power,0.9978013634681702
339,mid,0.9978004693984985
340,right,0.997797966003418
341,next,0.9977887272834778
342,less,0.9977839589118958
343,course,0.997783362865448
344,form,0.9977821111679077
345,service,0.9977805018424988
346,territory,0.9977751970291138
347,slavish,0.9977678656578064
348,out,0.9977642297744751
349,why,0.9977629780769348
350,life,0.9977616667747498
351,subject,0.9977608919143677
352,foreign,0.9977576732635498
353,admission,0.9977526068687439
354,produce,0.9977507591247559
355,congress,0.9977428913116455
356,political,0.9977424740791321
357,carolina,0.99774169921875
358,keep,0.9977412223815918
359,desire,0.9977369904518127
360,declare,0.9977367520332336
361,agitation,0.9977314472198486
362,liy,0.9977312088012695
363,though,0.9977312088012695
364,judge,0.9977308511734009
365,way,0.9977279305458069
366,proposition,0.9977254867553711
367,resolution,0.9977205395698547
368,party,0.9977129101753235
369,york,0.9977102279663086
370,con,0.9977096319198608
371,permit,0.9977074265480042
372,her,0.997703492641449
373,establish,0.997700572013855
374,neither,0.9976991415023804
375,upon,0.9976981282234192
376,lead,0.9976972937583923
377,consent,0.9976930022239685
378,measure,0.9976872205734253
379,oppose,0.9976847171783447
380,respect,0.9976818561553955
381,except,0.997681200504303
382,en,0.9976810216903687
383,ed,0.9976767897605896
384,report,0.9976664781570435
385,true,0.9976650476455688
386,supply,0.9976643323898315
387,wealth,0.9976610541343689
388,re,0.9976608157157898
389,cause,0.9976516366004944
390,evidence,0.9976487755775452
391,mind,0.9976485967636108
392,slavetrade,0.9976484179496765
393,constitutional,0.9976468086242676
