,token,cosine
0,tho,0.9993689060211182
1,be,0.9991900324821472
2,the,0.9991859793663025
3,nnd,0.9991834759712219
4,tbe,0.9991698861122131
5,lie,0.9991492033004761
6,w,0.9991490840911865
7,house,0.9991341829299927
8,not,0.9991270899772644
9,bo,0.9991201758384705
10,j,0.9991186857223511
11,we,0.9990847706794739
12,a,0.9990829825401306
13,it,0.9990782737731934
14,mr,0.999069333076477
15,ing,0.9990420341491699
16,n,0.9990247488021851
17,say,0.9990123510360718
18,ol,0.9990093111991882
19,upon,0.9989855885505676
20,and,0.9989845752716064
21,would,0.9989796280860901
22,slave,0.9989626407623291
23,girl,0.9989532828330994
24,good,0.9989114999771118
25,family,0.998906135559082
26,ot,0.9989053010940552
27,year,0.9988996982574463
28,one,0.9988992810249329
29,old,0.9988973736763
30,law,0.998890221118927
31,give,0.9988680481910706
32,I,0.9988646507263184
33,may,0.9988637566566467
34,well,0.9988630414009094
35,man,0.9988606572151184
36,in,0.9988539814949036
37,mid,0.9988447427749634
38,ho,0.9988213181495667
39,take,0.9988086819648743
40,ono,0.9988065958023071
41,do,0.9988054037094116
42,they,0.9988038539886475
43,und,0.998801052570343
44,go,0.998797595500946
45,he,0.9987965226173401
46,will,0.9987857937812805
47,faithful,0.9987779855728149
48,iu,0.9987735152244568
49,this,0.9987661242485046
50,people,0.9987504482269287
51,if,0.9987436532974243
52,she,0.9987391233444214
53,bis,0.9987106323242188
54,lord,0.9987066388130188
55,find,0.9986914396286011
56,see,0.9986806511878967
57,hi,0.9986756443977356
58,that,0.9986738562583923
59,place,0.9986690878868103
60,two,0.9986575841903687
61,every,0.9986539483070374
62,know,0.9986454248428345
63,bad,0.9986245632171631
64,time,0.9986164569854736
65,free,0.9986116886138916
66,child,0.9985813498497009
67,bring,0.998570442199707
68,ii,0.9985702633857727
69,tlio,0.9985477328300476
70,word,0.998538076877594
71,u,0.9985321164131165
72,mo,0.9985299110412598
73,gentleman,0.9985124468803406
74,way,0.9984905123710632
75,god,0.99847811460495
76,lo,0.9984709620475769
77,make,0.9984665513038635
78,could,0.9984563589096069
79,sir,0.9984378814697266
80,leave,0.9984201192855835
81,three,0.998417854309082
82,person,0.9984130263328552
83,tell,0.9984071850776672
84,young,0.9983954429626465
85,come,0.9983639121055603
86,high,0.9983623623847961
87,call,0.9983603954315186
88,your,0.998328685760498
89,like,0.9983258843421936
90,1,0.9983249306678772
91,work,0.9983229637145996
92,woman,0.9983144998550415
93,you,0.9983139634132385
94,speak,0.9982975125312805
95,hold,0.9982896447181702
96,body,0.9982786178588867
97,hand,0.9982687830924988
98,state,0.9982685446739197
99,relation,0.998255729675293
100,to,0.9982518553733826
101,thing,0.9982422590255737
102,of,0.9982413649559021
103,on,0.998238205909729
104,great,0.9982293248176575
105,also,0.998211681842804
106,right,0.9982027411460876
107,shall,0.9981992244720459
108,light,0.9981951713562012
109,f,0.9981867671012878
110,ami,0.9981797337532043
111,must,0.9981757998466492
112,thnt,0.9981755614280701
113,negro,0.9981744885444641
114,fur,0.9981723427772522
115,public,0.9981668591499329
116,aud,0.9981633424758911
117,m,0.9981607794761658
118,r,0.9981364607810974
119,de,0.998130738735199
120,little,0.9981191158294678
121,even,0.9981166124343872
122,honor,0.9981158375740051
123,travel,0.9980951547622681
124,become,0.9980891346931458
125,all,0.9980881214141846
126,v,0.9980854392051697
127,hire,0.9980798363685608
128,aro,0.9980731010437012
129,look,0.9980690479278564
130,white,0.9980507493019104
131,ber,0.9980434775352478
132,without,0.9980430603027344
133,poor,0.998026967048645
134,day,0.9980111718177795
135,many,0.9980101585388184
136,let,0.9980060458183289
137,christ,0.9980025291442871
138,name,0.9979903101921082
139,father,0.9979813098907471
140,run,0.9979643225669861
141,live,0.9979459047317505
142,slavery,0.9979317784309387
143,death,0.9979276657104492
144,brother,0.9979047179222107
145,south,0.9978926777839661
146,but,0.9978920221328735
147,thut,0.997870147228241
148,thy,0.9978654384613037
149,humble,0.9978289604187012
150,keep,0.9978234171867371
151,paper,0.9978228211402893
152,nn,0.9978147149085999
153,wife,0.9978131055831909
154,pass,0.9978039860725403
155,color,0.9978027939796448
156,truly,0.9977750778198242
157,follow,0.9977677464485168
158,ihe,0.9977627396583557
159,whose,0.9977588057518005
160,age,0.9977492690086365
161,c,0.9977402091026306
162,life,0.9977385401725769
163,ly,0.9977383613586426
164,sell,0.9977024793624878
165,who,0.9976973533630371
166,eye,0.9976902604103088
167,fact,0.9976810216903687
168,get,0.9976751804351807
169,boy,0.9976600408554077
170,character,0.9976353645324707
171,till,0.9976294636726379
172,maid,0.9976019263267517
173,black,0.9975993633270264
174,home,0.997596025466919
175,friend,0.9975839853286743
176,son,0.9975598454475403
177,hud,0.9975525140762329
178,b,0.9975478053092957
179,obey,0.9975419640541077
180,l,0.9975270628929138
181,master,0.9975144267082214
182,power,0.9975094795227051
183,thus,0.9975011348724365
184,h,0.997498631477356
185,labor,0.9974762797355652
186,ed,0.9974483847618103
187,question,0.997441291809082
188,never,0.9974374771118164
189,obedient,0.9974193572998047
190,first,0.9974029660224915
191,think,0.9973962903022766
192,nf,0.9973955154418945
193,matter,0.9973932504653931
194,t,0.9973848462104797
195,though,0.9973748326301575
196,wero,0.9973731637001038
197,buy,0.9973532557487488
198,yet,0.9973477721214294
199,southern,0.9973458051681519
200,much,0.9973301291465759
201,john,0.9973287582397461
202,might,0.9973257184028625
203,washington,0.9973077774047852
204,king,0.9973033666610718
205,muster,0.9972989559173584
206,regard,0.9972914457321167
207,claim,0.9972906708717346
208,country,0.9972795248031616
209,fugitive,0.9972766041755676
210,true,0.9972720146179199
211,last,0.99725741147995
212,reply,0.997250497341156
213,d,0.9972025156021118
214,perhaps,0.9971912503242493
215,employ,0.9971873760223389
216,wait,0.9971821308135986
217,book,0.9971734881401062
218,meet,0.9971446394920349
219,enter,0.9971426129341125
220,oi,0.9971096515655518
221,long,0.9970960021018982
222,ter,0.9970920085906982
223,bear,0.9970768094062805
224,ten,0.9970711469650269
225,tie,0.9970701932907104
226,service,0.9970675706863403
227,agent,0.9970555305480957
228,receive,0.9970521926879883
