,token,cosine
0,lave,0.9116906523704529
1,sluve,0.9018557071685791
2,alave,0.8888083696365356
3,blave,0.88797527551651
4,tlave,0.8852788209915161
5,clave,0.8784573078155518
6,elave,0.8739848136901855
7,slavo,0.871470034122467
8,slavos,0.8622562289237976
9,slav,0.8565310835838318
10,ilave,0.8539877533912659
11,slsve,0.8410133719444275
12,slavehunter,0.8409987092018127
13,sluvo,0.8374035358428955
14,mer,0.8367795348167419
15,slavecatcher,0.8334764838218689
16,slnve,0.8332753777503967
17,pursue,0.8324890732765198
18,slnvo,0.8244253993034363
19,bay,0.8226553797721863
20,alavea,0.8205730319023132
21,criminal,0.8204135894775391
22,nonslave,0.8203915357589722
23,defiance,0.818320631980896
24,ken,0.8180665969848633
25,payment,0.8175553679466248
26,quire,0.8173297047615051
27,cuban,0.8172340989112854
28,plunder,0.8154225945472717
29,becomo,0.8153361678123474
30,voluntarily,0.8152766823768616
31,boe,0.8151893019676208
32,addition,0.8147073984146118
33,taxis,0.8146675825119019
34,nonslaveholde,0.8143927454948425
35,invasion,0.8142443895339966
36,masters,0.8142082095146179
37,heir,0.8142052292823792
38,search,0.8141685128211975
39,attorney,0.8141494393348694
40,elate,0.8139944076538086
41,recover,0.8139766454696655
42,bunt,0.8138986229896545
43,lrom,0.8138781785964966
44,fo,0.8138464689254761
45,strict,0.8134527802467346
46,rut,0.8132750391960144
47,slaves,0.8130051493644714
48,convey,0.8129399418830872
49,duce,0.812828779220581
50,bud,0.812751293182373
51,penal,0.8124499320983887
52,detain,0.8122410178184509
53,slavedealer,0.8122403025627136
54,privilege,0.8121404647827148
55,conceal,0.8120466470718384
56,legislator,0.8120104670524597
57,previously,0.8119994401931763
58,apprentice,0.8117868900299072
59,dog,0.8116504549980164
60,rea,0.8116104006767273
61,oft,0.8115328550338745
62,emigrate,0.8111523985862732
63,transport,0.8110678791999817
64,double,0.8106592893600464
65,servant,0.8102896809577942
66,slavedriver,0.810242235660553
67,remand,0.8102343082427979
68,clothe,0.8102319240570068
69,chinese,0.8102083206176758
70,guard,0.8101486563682556
71,tax,0.8098604083061218
72,od,0.8098178505897522
73,slavee,0.8097109794616699
74,aad,0.8097068667411804
75,promptly,0.8095948100090027
76,stave,0.8094609379768372
77,accordingly,0.8093850612640381
78,comparison,0.8092493414878845
79,transportation,0.809154212474823
80,count,0.8090802431106567
81,sue,0.8090800046920776
82,tine,0.8087444305419922
83,spanish,0.8087025284767151
84,restore,0.8084338903427124
85,tempt,0.8083222508430481
86,verdict,0.808042049407959
87,reckon,0.8078214526176453
88,arid,0.8075777292251587
89,impunity,0.8075669407844543
90,indians,0.8074244260787964
91,descendant,0.8074029684066772
92,unequal,0.8073720932006836
93,risk,0.806878924369812
94,slavea,0.8068141341209412
95,obstruct,0.8066553473472595
96,tucky,0.8065384030342102
97,sole,0.8065325617790222
98,assurance,0.8064466118812561
99,crop,0.806437611579895
100,iuto,0.8064131736755371
101,disgraceful,0.8063381314277649
102,apprehend,0.8062146902084351
103,ply,0.8061766624450684
104,detail,0.806061327457428
105,reclamation,0.8060406446456909
106,leg,0.8059816956520081
107,accuse,0.805907666683197
108,push,0.8058966398239136
109,loft,0.8058717250823975
110,bia,0.8054947853088379
111,uml,0.8054201602935791
112,minion,0.8054051995277405
113,lather,0.8053211569786072
114,10000,0.8050850629806519
115,statu,0.8050459623336792
116,compensation,0.8049837946891785
117,bed,0.8049203157424927
118,caso,0.8046417236328125
119,slavi,0.8045170307159424
120,sea,0.8042905330657959
121,household,0.8042107820510864
122,slavetrader,0.8041189312934875
123,blavo,0.8039367198944092
124,lias,0.8038170337677002
125,bail,0.8037994503974915
126,lawfully,0.8037492036819458
127,hunting,0.8036737442016602
128,relative,0.8036611080169678
129,soma,0.8035428524017334
130,subjection,0.8034157752990723
131,navy,0.8033961057662964
132,trans,0.803371250629425
133,socalle,0.8032256960868835
134,lind,0.8030778169631958
135,stipulate,0.8030479550361633
136,inferior,0.8029700517654419
137,wat,0.8029545545578003
138,inasmuch,0.8029149174690247
139,troop,0.802897036075592
140,reward,0.8028556108474731
141,possess,0.8027929067611694
142,slavehunte,0.8024863600730896
143,euch,0.8024291396141052
144,removal,0.8024085164070129
145,each,0.8023401498794556
146,spoil,0.8023293018341064
147,exact,0.8022894859313965
148,tribunal,0.8022217154502869
149,tben,0.8022025227546692
