,token,cosine
0,alave,0.915084183216095
1,slaves,0.9099844694137573
2,employ,0.8809075951576233
3,service,0.8773930668830872
4,clave,0.8665854930877686
5,slavea,0.8529653549194336
6,hire,0.8510364890098572
7,claim,0.84898841381073
8,death,0.8439264297485352
9,siave,0.8418837189674377
10,also,0.8412672281265259
11,car,0.8386508822441101
12,prisoner,0.8378552794456482
13,ter,0.8374586701393127
14,slavo,0.8366225957870483
15,col,0.8341852426528931
16,who,0.8341307044029236
17,wife,0.8339430093765259
18,purchase,0.8332939147949219
19,tlave,0.8323371410369873
20,attempt,0.8315902352333069
21,elave,0.8313266038894653
22,aid,0.8308830261230469
23,company,0.8302996754646301
24,en,0.8300862312316895
25,brown,0.8300052881240845
26,save,0.8284887075424194
27,keep,0.8276967406272888
28,another,0.8274734020233154
29,follow,0.8274725675582886
30,ty,0.8272348046302795
31,overseer,0.8262627720832825
32,permission,0.8260597586631775
33,ing,0.8251246809959412
34,emancipate,0.8249078989028931
35,er,0.8242318630218506
36,lave,0.8237804174423218
37,continue,0.8231248259544373
38,son,0.8226884007453918
39,offence,0.8225299119949341
40,intent,0.8216364979743958
41,carry,0.8211506605148315
42,indict,0.8201755881309509
43,murder,0.8192847967147827
44,boat,0.8188257217407227
45,ser,0.8184935450553894
46,employment,0.8180258274078369
47,dispose,0.8180047273635864
48,rich,0.8178595304489136
49,cut,0.8178579807281494
50,ease,0.8178097009658813
51,slava,0.8176900744438171
52,advise,0.8175858855247498
53,residence,0.8167172074317932
54,rev,0.816650390625
55,out,0.8161712288856506
56,com,0.8160808086395264
57,ard,0.815987765789032
58,rlobarosm,0.8154903650283813
59,perty,0.8154137134552002
60,money,0.8147649765014648
61,impose,0.8146462440490723
62,lady,0.8144561648368835
63,an,0.8143978714942932
64,lor,0.8137415647506714
65,ilave,0.8130481839179993
66,transport,0.8126747608184814
67,mother,0.812508761882782
68,ander,0.8123089075088501
69,bim,0.8122828006744385
70,possession,0.8120648860931396
71,georgia,0.8119953870773315
72,execute,0.8117746114730835
73,same,0.8117401599884033
74,harbor,0.811728835105896
75,mile,0.8116673827171326
76,np,0.8114359378814697
77,low,0.8110563158988953
78,bis,0.8108691573143005
79,payment,0.8107324242591858
80,punishment,0.8105701804161072
81,connive,0.8104128241539001
82,mitte,0.8093644976615906
83,pardon,0.8092057108879089
84,license,0.8090914487838745
85,washington,0.8090785145759583
86,slavs,0.8090377449989319
87,prison,0.808674156665802
88,leave,0.8085352778434753
89,case,0.8084819912910461
90,commonwealth,0.8082571029663086
91,custody,0.8082180619239807
92,conspire,0.8081057667732239
93,anthony,0.8076673150062561
94,ben,0.8075518608093262
95,off,0.8072381019592285
96,ber,0.8069707751274109
97,body,0.806568443775177
98,small,0.8063881397247314
99,by,0.8062650561332703
100,bail,0.8061010837554932
101,2d,0.8058873414993286
102,suppose,0.8058032989501953
103,as,0.8057300448417664
104,bar,0.8054336309432983
105,iu,0.80537348985672
106,alavea,0.8050211071968079
107,up,0.804746150970459
108,premise,0.8046612739562988
109,send,0.804515540599823
110,future,0.8043907284736633
111,ho,0.804345965385437
112,tobacco,0.8042768239974976
113,peabobt,0.804253339767456
114,mistress,0.8040605187416077
115,confine,0.8040355443954468
116,ail2_t,0.8039498925209045
117,tate,0.8033457398414612
118,hack,0.803147554397583
119,find,0.8029651045799255
120,cost,0.8026721477508545
121,immediately,0.8024781942367554
122,baltimore,0.8024097084999084
123,deliver,0.8023598790168762
124,lucy,0.8022457957267761
125,hard,0.8021830916404724
126,field,0.8020911812782288
127,grant,0.8018541932106018
128,sheriff,0.8018231391906738
129,room,0.8017776012420654
130,agent,0.801750659942627
131,liquor,0.8017276525497437
132,webster,0.8015612959861755
133,dead,0.8014423251152039
134,bether,0.8014153242111206
135,e,0.801376223564148
136,draw,0.8013709783554077
137,guilty,0.8012992739677429
138,resist,0.801084041595459
139,or,0.801031768321991
140,branch,0.8008248805999756
141,pa,0.8006769418716431
142,abet,0.8006656169891357
143,formerly,0.8005324006080627
144,thaddeus,0.800521731376648
145,use,0.8003425002098083
146,conduct,0.8003135323524475
147,dangerous,0.8002997040748596
148,occupy,0.800148606300354
149,clucinnati,0.8001351356506348
150,heavy,0.8000410795211792
151,smith,0.8000152707099915
152,mine,0.7999988198280334
153,hu,0.7999594807624817
154,ot,0.7999452948570251
155,liable,0.7999117970466614
156,infirm,0.7998823523521423
157,tor,0.7998608946800232
158,persuasion,0.7997604608535767
159,wllv,0.799755334854126
160,counsel,0.7997393608093262
161,hit,0.7996746897697449
162,enter,0.7996471524238586
163,mob,0.7996443510055542
164,turn,0.7996298670768738
165,der,0.7995109558105469
166,ro,0.7994632720947266
167,bank,0.7993802428245544
168,mil,0.7992454171180725
169,exchanged,0.7991524934768677
170,discover,0.7990608215332031
171,joshua,0.7989717125892639
172,peace,0.7988620400428772
173,write,0.7988466024398804
174,kill,0.7987918257713318
175,wound,0.7987772226333618
176,third,0.7987732291221619
177,lachomette,0.7987115979194641
178,set,0.7986987233161926
179,brother,0.7986834049224854
180,allow,0.7986302971839905
181,aaid,0.7985824942588806
182,yankee,0.7985723614692688
183,other,0.7984241247177124
184,price,0.7983757853507996
185,chriaiiana,0.7983679175376892
186,testify,0.7982607483863831
187,trom,0.7982456088066101
188,mar,0.7981871962547302
189,al,0.7980749607086182
190,prefer,0.798039436340332
191,arid,0.7978128790855408
192,market,0.7976924180984497
193,ac,0.797636866569519
194,severely,0.797539234161377
195,inform,0.7973450422286987
196,servant,0.7973402738571167
197,family,0.797218382358551
198,ana,0.7969403266906738
199,llobbs,0.7968704104423523
200,lected,0.796869158744812
201,commissioner,0.796802818775177
202,suit,0.7967852354049683
203,hay,0.7967709302902222
204,lockett,0.7967200875282288
205,raine,0.7966600060462952
206,11iis,0.7966257333755493
207,clai,0.7965911626815796
208,accuse,0.7964211702346802
209,regular,0.7963048219680786
210,alien,0.7962839007377625
211,es,0.7962714433670044
212,50,0.7962023019790649
213,fall,0.7961385846138
214,pur,0.7960489392280579
215,7,0.7960075736045837
216,fix,0.7959765791893005
217,barret,0.7959745526313782
218,suspect,0.7959632277488708
219,negroes,0.7958042621612549
220,num,0.7957068085670471
221,grav,0.795656144618988
222,whereas,0.795646607875824
223,dog,0.7956251502037048
224,care,0.7956139445304871
225,respectively,0.7956091165542603
226,imprison,0.7955842018127441
227,execution,0.7955334782600403
228,porter,0.7955326437950134
229,ly,0.7954772710800171
230,hen,0.795438289642334
231,fortification,0.7953571081161499
232,daughter,0.7952364087104797
233,witness,0.7951229810714722
234,stave,0.7951174974441528
235,wbo,0.7951167225837708
236,abscond,0.7947706580162048
237,town,0.7947573065757751
238,ne,0.7947216033935547
239,virginia,0.7946833372116089
240,husband,0.7945404648780823
241,induce,0.7945059537887573
242,williamson,0.7944241762161255
243,300,0.7944225072860718
244,together,0.7943545579910278
245,ballenger,0.79425448179245
246,bond,0.7942392826080322
247,stowe,0.7941547632217407
248,line,0.7941222786903381
249,cap,0.7940673828125
250,punishable,0.7940327525138855
251,wit,0.793928325176239
252,stkalisgjame,0.7939246892929077
253,coun,0.7939052581787109
254,foster,0.7938341498374939
255,kidnap,0.7937343716621399
256,ton,0.7937158942222595
257,succeed,0.7936939001083374
258,aud,0.793648898601532
259,farmer,0.7934872508049011
260,lamrrrrd,0.793254554271698
261,ivnii,0.793133020401001
262,cook,0.7930732369422913
263,warrant,0.7930639386177063
264,sign,0.7930154204368591
265,recover,0.7929412722587585
266,ware,0.7929132580757141
267,jailor,0.7928071618080139
268,ha,0.7927470803260803
269,laterstate,0.7926988005638123
270,proceed,0.792698323726654
271,kit,0.7926650643348694
272,duggan,0.7926282286643982
273,rngica,0.7925505042076111
274,mulatto,0.7924745082855225
275,rent,0.7924490571022034
276,aod,0.7924309372901917
277,road,0.7924147844314575
278,cat,0.7924095392227173
279,lege,0.7923400402069092
280,calavera,0.7922986745834351
281,fine,0.792269766330719
282,crime,0.7922332882881165
283,over,0.7921838760375977
284,grave,0.7921764254570007
285,persuade,0.7921472787857056
286,runaway,0.7921443581581116
287,timeau,0.7920083403587341
288,latter,0.7919305562973022
289,ireb,0.7918936610221863
290,doth,0.7918612957000732
291,ad,0.7918382287025452
292,penalty,0.7918380498886108
293,purchaser,0.7917196750640869
294,captain,0.791597306728363
295,horse,0.7914181351661682
296,johnsons,0.7913833260536194
297,manfre,0.791374683380127
298,6lave,0.7911972403526306
299,employer,0.7911915183067322
300,fo,0.7911617159843445
301,back,0.7911244630813599
302,beeu,0.7910658717155457
303,confederate,0.7910550236701965
304,iuue,0.7910496592521667
305,raid,0.7908950448036194
306,fir,0.7908815741539001
307,apd,0.7908628582954407
308,tine,0.7908437252044678
309,corn,0.7907764315605164
310,carey,0.7906817197799683
311,toget,0.7905611395835876
312,niplojment,0.790557324886322
313,stand,0.7904939651489258
314,widow,0.7904314994812012
315,business,0.7904267311096191
316,criminal,0.790388286113739
317,proof,0.7903779745101929
318,hang,0.7903597354888916
319,commence,0.7901233434677124
320,mill,0.7901179790496826
321,guilford,0.7900421619415283
322,lleuly,0.7900052070617676
323,search,0.7899404764175415
324,bit,0.7899228930473328
325,warrantsthe,0.7899051308631897
326,irom,0.7898871302604675
327,bsfore,0.7898858785629272
328,uayable,0.7897509336471558
329,ona,0.7897467017173767
330,list,0.7897176146507263
331,implicate,0.7896965742111206
332,railroad,0.7896910309791565
333,conns,0.7896753549575806
334,ami,0.7896743416786194
335,afterwards,0.789603590965271
336,fail,0.789598286151886
337,assaule,0.789421558380127
338,hie,0.7894091606140137
339,parson,0.7894076108932495
340,acd,0.7893753051757812
341,judgment,0.7893458008766174
342,fiiruiih,0.7893080711364746
343,bv,0.7892687916755676
344,arreit,0.7892568707466125
345,violation,0.7892428636550903
346,wiih,0.7892338633537292
347,clothe,0.7892240881919861
348,himself,0.7892139554023743
349,contract,0.7891970276832581
350,seventeen,0.7891831398010254
351,cue,0.789149820804596
352,ender,0.7891059517860413
353,horace,0.7890893816947937
354,after,0.7890825867652893
355,veye,0.7890383005142212
356,evidence,0.7889900803565979
357,dismiss,0.7889829277992249
358,writ,0.7889783978462219
359,sugar,0.7889723181724548
360,200,0.7889279127120972
361,hunter,0.7888888120651245
362,vice,0.7888134717941284
363,mittie,0.7887924313545227
364,wiiue,0.7887794375419617
365,register,0.7887433171272278
366,roch,0.7887048125267029
367,king,0.7886962890625
368,dean,0.7886409163475037
369,hospital,0.7886307835578918
370,teamster,0.7886293530464172
371,adams,0.7886291742324829
372,bradley,0.788560688495636
373,cooper,0.7885587811470032
374,evaa,0.7885358929634094
375,23rd,0.7885050177574158
376,burn,0.7884859442710876
377,throw,0.7884529829025269
378,townes,0.7884350419044495
379,pennsylvania,0.7884225845336914
380,fund,0.7883674502372742
381,quesenoerry,0.7883253693580627
382,whiilock,0.7883230447769165
383,battery,0.7883132696151733
384,oltker,0.7883101105690002
385,sim,0.7883021831512451
386,permit,0.7882861495018005
387,request,0.7882804870605469
388,estae,0.7882733941078186
389,unknown,0.7881726622581482
390,offenea,0.7881490588188171
391,fast,0.7881121635437012
392,promptly,0.7881060242652893
393,defendant,0.7880529165267944
394,bare,0.7879647016525269
395,allege,0.7879513502120972
396,thirtyone,0.7878672480583191
397,ont,0.7877660393714905
398,ceived,0.7877568006515503
399,io,0.7876829504966736
400,delaware,0.7876484394073486
401,crean,0.7876179814338684
402,pas,0.7876110076904297
403,hurley,0.7875650525093079
404,saidl,0.7875390648841858
405,france,0.7875140309333801
406,contain,0.7874972820281982
407,her,0.7874480485916138
408,belong,0.7873817086219788
409,hmpson,0.7872991561889648
410,bring,0.7872669696807861
411,reside,0.7871822118759155
412,ijold,0.78713059425354
413,citizen,0.787100076675415
414,fifteen,0.7870965003967285
415,sont,0.7870920896530151
416,escape,0.7870351076126099
417,jnhu,0.787001371383667
418,tomlin,0.7869834303855896
419,ani,0.7869648337364197
420,hauovr,0.7869625091552734
421,beiug,0.7869501709938049
422,couiut,0.7868723273277283
423,treasury,0.7868667840957642
424,hanks,0.7868394255638123
425,tiouh,0.786770761013031
426,roberts,0.786754310131073
427,caro,0.7866441011428833
428,amountm,0.7866357564926147
429,nnmher,0.7866247892379761
430,lose,0.7866085171699524
431,kouey,0.7865908741950989
432,30,0.7865678668022156
433,hia,0.7865453958511353
434,matilda,0.7864952087402344
435,slavss,0.7864839434623718
436,connty,0.7864291071891785
437,bin,0.7863561511039734
438,pende,0.7863467335700989
439,key,0.7863288521766663
440,guilt,0.78631991147995
441,tba,0.7862512469291687
442,beale,0.7862266302108765
443,jo,0.7862072587013245
444,ptttr,0.7861897945404053
445,witb,0.7861848473548889
446,prove,0.7861508131027222
447,trainer,0.7860686779022217
448,blave,0.7860623002052307
449,owe,0.786044180393219
450,frawib,0.7860137820243835
451,manumit,0.785973846912384
452,oh,0.7859722375869751
453,dreaapattern,0.7859153151512146
454,eliia,0.7858497500419617
455,dogsthat,0.7858368754386902
456,release,0.7858178019523621
457,axe,0.785815954208374
458,aey,0.7858063578605652
459,spencer,0.7857911586761475
460,alstadt,0.7857384085655212
461,har,0.7857174873352051
462,accordingly,0.7856903076171875
463,convey,0.7856825590133667
464,doctor,0.7856519222259521
465,waiter,0.7856327295303345
466,logan,0.7856060862541199
467,ardent,0.785558819770813
468,maryland,0.7855249643325806
469,anderaona,0.7853841185569763
470,tbem,0.7853836417198181
471,respective,0.7853624820709229
472,manchester,0.7853078246116638
473,master,0.7853047251701355
474,good,0.7852475047111511
475,pursuit,0.7851971387863159
476,chargedtwith,0.7851788401603699
477,glover,0.7851572036743164
478,iarthena,0.7851555347442627
479,suead,0.7851371169090271
480,transportation,0.7851231098175049
481,clara,0.7851141095161438
482,flee,0.785087525844574
483,infant,0.7850801348686218
484,friend,0.7850744128227234
485,miw,0.7850661873817444
486,bu,0.7850643396377563
487,14,0.7850205302238464
488,remove,0.784995436668396
489,want,0.7849918007850647
490,eskrldge,0.7849615812301636
491,abduct,0.7849552035331726
492,rurther,0.7849149703979492
493,ln,0.7848812937736511
494,fr,0.7847917675971985
495,apply,0.7847906947135925
496,wash,0.7847889065742493
497,fur,0.7847668528556824
498,slav,0.7847344875335693
499,theft,0.7846658825874329
500,nuinbr,0.7846493124961853
501,bo,0.7845805883407593
502,bright,0.7845581769943237
503,christian,0.7845442891120911
504,kicnard,0.7844638824462891
505,tile,0.7844271659851074
506,fiw,0.7844144105911255
507,remain,0.7844110727310181
508,whlbuil,0.7844064831733704
509,aeffjo,0.7844035029411316
510,gouldinan,0.7843588590621948
511,desert,0.7843373417854309
512,carotin,0.7842926383018494
513,goodman,0.7842757105827332
514,helen,0.7842755913734436
515,pistoibbowle,0.7842660546302795
516,keeper,0.784242570400238
517,hon,0.7841846346855164
518,tbtsouth,0.7841614484786987
519,petition,0.7841452956199646
520,notioeis,0.7841324210166931
521,shop,0.7841107845306396
522,miller,0.7840923070907593
523,dee,0.7840884923934937
524,lonia,0.7840855121612549
525,security,0.7840833067893982
526,ma,0.784024178981781
527,mckarland,0.7839938402175903
528,giul_y,0.783932626247406
529,away,0.7839027047157288
530,earn,0.783897876739502
531,ceine,0.783894419670105
532,notorious,0.7838910222053528
533,colgin,0.7838860154151917
534,citi,0.7838570475578308
535,stabkisohenry,0.7838334441184998
536,nulla,0.7838308215141296
537,visit,0.7837987542152405
538,dark,0.7837649583816528
539,regiment,0.7837101817131042
540,readily,0.7837072014808655
541,justice,0.7837066054344177
542,recapture,0.7836690545082092
543,au,0.7836219668388367
544,fleme,0.7835850119590759
545,sherman,0.7835718989372253
546,remainwilliam,0.7835089564323425
547,cooley,0.7834771275520325
548,tuppence,0.7834413647651672
549,ceive,0.7834278345108032
550,oat,0.7833904027938843
551,oblivious,0.7833274602890015
552,iree,0.7833240032196045
553,carperter,0.783279299736023
554,qnletly,0.7832081317901611
555,trustee,0.7831891179084778
556,robbery,0.7831538915634155
557,charlottesville,0.7831354737281799
558,aobiaon,0.7830716371536255
559,firm,0.7830590009689331
560,obcrlin,0.7829466462135315
561,doga,0.7829371094703674
562,mas,0.7829294204711914
563,jefferson,0.7829042077064514
564,award,0.7829002737998962
565,inflict,0.7828856110572815
566,disposed,0.7828750014305115
567,gregory,0.7827869653701782
568,mo,0.7827226519584656
569,kearnt,0.7826886773109436
570,relief,0.7826306223869324
571,douglass,0.7825857400894165
572,slavm,0.7825083136558533
573,thecousent,0.782497227191925
574,protsctlon,0.7824375629425049
575,cor,0.7823594212532043
576,purdie,0.782315194606781
577,pbtbrbburo,0.7823086977005005
578,attend,0.7823047041893005
579,threaten,0.7822901010513306
580,caution,0.7822884321212769
581,stration,0.7822278141975403
582,jennie,0.7821481227874756
583,aforesaid,0.7821459770202637
584,tice,0.7821395993232727
585,propertv,0.7821246385574341
586,negrofs,0.7821074724197388
587,bouse,0.7820799350738525
588,thrvufibout,0.7820632457733154
589,oafinine,0.7820613980293274
590,gage,0.7819816470146179
591,portsmouth,0.781951367855072
592,fbiknd,0.7819376587867737
593,various,0.7819302082061768
594,taapate,0.781889021396637
595,learn,0.7818880677223206
596,tanu,0.7818516492843628
597,honor,0.7818145751953125
598,minute,0.7817020416259766
599,driver,0.781686007976532
600,break,0.7816482186317444
601,fol,0.7816291451454163
602,circumstance,0.7816216349601746
603,dungy,0.7816140055656433
604,more,0.781594455242157
605,egyptians,0.781577467918396
606,serve,0.7815588712692261
607,erty,0.7815480828285217
608,fed,0.7814062833786011
609,trial,0.7813886404037476
610,mettri,0.7813884615898132
611,duty,0.7813858985900879
612,rff,0.7813774943351746
613,sanke,0.7813749313354492
614,enemyor,0.7813682556152344
615,rise,0.7813640236854553
616,dinger,0.781345546245575
617,toturpin,0.7813140749931335
618,jordaa,0.781284749507904
619,grcanor,0.7812788486480713
620,associate,0.7812663316726685
621,inquest,0.7812625765800476
622,jeffjrson,0.7812442779541016
623,campbell,0.7812179327011108
624,following,0.7811741828918457
625,ted,0.7811638116836548
626,band,0.7811492681503296
627,children,0.7811468839645386
628,abolifcon,0.7810550928115845
629,factory,0.7810355424880981
630,occasion,0.7810271382331848
631,writt,0.7809774875640869
632,shoro,0.7809774875640869
633,buck,0.7809699177742004
634,gen,0.7809268832206726
635,fe,0.7808802127838135
636,3d,0.7808589339256287
637,assowlucy,0.7808587551116943
638,uodlrey,0.7808384299278259
639,wllhtottwf,0.7808216214179993
640,kugiish,0.7808118462562561
641,fimxo,0.7808110117912292
642,tricewho,0.7808096408843994
643,veroon,0.7807307243347168
644,joung,0.780729353427887
645,bidder,0.7807151675224304
646,round,0.780673086643219
647,clear,0.7806591391563416
648,inderwood,0.7806356549263
649,onell,0.7806313633918762
