,token,cosine
0,tho,0.9989038705825806
1,one,0.9988827109336853
2,girl,0.9987519383430481
3,and,0.9986882209777832
4,well,0.9986878633499146
5,negro,0.9986465573310852
6,in,0.9986330270767212
7,it,0.9986287355422974
8,the,0.9985647201538086
9,I,0.998532235622406
10,good,0.998520016670227
11,a,0.9984926581382751
12,public,0.9984648823738098
13,house,0.9984171986579895
14,see,0.9984139800071716
15,master,0.998410165309906
16,upon,0.9983652234077454
17,observant,0.998347818851471
18,man,0.9983218908309937
19,say,0.9983032941818237
20,old,0.9982538819313049
21,lie,0.9982441663742065
22,we,0.9982189536094666
23,e,0.9982145428657532
24,would,0.9980545043945312
25,j,0.9980392456054688
26,make,0.9980170130729675
27,he,0.9980036616325378
28,faithful,0.997981071472168
29,year,0.9979693293571472
30,take,0.9978939890861511
31,they,0.9978929162025452
32,shall,0.9978631138801575
33,mr,0.9978497624397278
34,come,0.9978016018867493
35,s,0.9977386593818665
36,1,0.997734010219574
37,also,0.9977165460586548
38,may,0.997702419757843
39,friend,0.9976862668991089
40,know,0.9976857304573059
41,go,0.9976766705513
42,two,0.9976428747177124
43,leave,0.9976284503936768
44,not,0.9976217746734619
45,bring,0.9976163506507874
46,every,0.9975260496139526
47,r,0.9974969029426575
48,for,0.9974960088729858
49,mrs,0.9974499344825745
50,th,0.9974011778831482
51,h,0.9973851442337036
52,c,0.9973542094230652
53,wife,0.9973461031913757
54,humble,0.997287929058075
55,family,0.9972844123840332
56,day,0.9972410202026367
57,people,0.9971968531608582
58,order,0.9971892833709717
59,young,0.9970971345901489
60,gentleman,0.9970915913581848
61,n,0.9970735311508179
62,t,0.9970667362213135
63,child,0.9970560669898987
64,be,0.9970495700836182
65,of,0.9970409274101257
66,f,0.9970056414604187
67,first,0.9969924688339233
68,send,0.9969582557678223
69,call,0.9968962073326111
70,large,0.996772050857544
71,high,0.9967325925827026
72,do,0.9967320561408997
73,little,0.9966714382171631
74,thy,0.9966525435447693
75,p,0.9966120719909668
76,service,0.9966084361076355
77,hand,0.996566891670227
78,horse,0.9965561628341675
79,age,0.9964976906776428
80,want,0.9964748024940491
81,door,0.9964479207992554
82,give,0.9964243769645691
83,nd,0.996414840221405
84,all,0.9963282942771912
85,keep,0.9962577223777771
86,this,0.9962370991706848
87,place,0.9961678385734558
88,find,0.9960296750068665
89,b,0.9960179924964905
90,return,0.9959562420845032
91,you,0.9959134459495544
92,contract,0.995913028717041
93,body,0.9958904385566711
94,labor,0.995862603187561
95,enter,0.9958412647247314
96,w,0.9958301186561584
97,thme,0.9958174824714661
98,d,0.9957912564277649
99,soon,0.9957644939422607
100,follow,0.9956815838813782
101,heavy,0.9956061840057373
102,g,0.9954370260238647
103,she,0.9953417778015137
104,tell,0.9952760934829712
105,con,0.9952749609947205
106,new,0.9952504634857178
107,white,0.9952138066291809
108,en,0.9952030181884766
109,last,0.9951785206794739
110,on,0.9951499700546265
111,per,0.9950999617576599
112,always,0.9950940608978271
113,room,0.995080292224884
114,valuable,0.9950621724128723
115,speak,0.9950569272041321
116,kind,0.9950470328330994
117,stock,0.9949901103973389
118,boy,0.9949883818626404
119,use,0.9949754476547241
120,long,0.9949579238891602
121,lady,0.9949515461921692
122,hat,0.9949395060539246
123,hold,0.9948334097862244
124,several,0.9948272109031677
125,duty,0.9947636127471924
126,servants,0.994753360748291
127,desire,0.9947418570518494
128,if,0.9946703314781189
129,work,0.9946315288543701
130,very,0.9945392608642578
131,farm,0.9945238828659058
132,employ,0.9945184588432312
133,much,0.9944973587989807
134,your,0.9944738745689392
135,open,0.9944413900375366
136,three,0.9944220185279846
137,l,0.9943469762802124
138,with,0.9943411946296692
139,low,0.9943017363548279
140,hear,0.9940565824508667
141,ad,0.9940341711044312
142,time,0.9939671754837036
143,female,0.9939464926719666
144,respect,0.9938714504241943
145,could,0.9938706159591675
146,polite,0.9938358068466187
147,m,0.9938023090362549
148,month,0.9937836527824402
149,tax,0.9937213659286499
150,fine,0.9936707019805908
151,half,0.9936526417732239
152,god,0.9936051368713379
153,to,0.9935823678970337
154,note,0.9935231804847717
155,respectfully,0.9934927225112915
156,as,0.9934647083282471
157,week,0.9933892488479614
158,great,0.9933801889419556
159,state,0.9932760000228882
160,john,0.9932570457458496
161,ed,0.9930686950683594
162,at,0.9930620193481445
163,run,0.9930372834205627
164,bad,0.9930088520050049
165,12,0.9929811358451843
166,price,0.9929389357566833
167,thing,0.99288409948349
168,must,0.9928801655769348
169,raise,0.9928431510925293
170,blue,0.9928396940231323
171,guest,0.9927262663841248
172,field,0.9925075769424438
173,slave,0.992420494556427
174,cotton,0.9923979640007019
175,his,0.9923852682113647
176,death,0.9923539161682129
177,ask,0.9923166632652283
178,thc,0.9922632575035095
179,er,0.992199182510376
180,word,0.992157518863678
181,male,0.9921392202377319
182,will,0.9921038150787354
183,obey,0.9920997023582458
184,table,0.9920961260795593
185,but,0.9920226335525513
186,less,0.9920118451118469
187,free,0.9919629096984863
188,cook,0.9919131994247437
189,remain,0.9918884038925171
190,another,0.9918560981750488
191,yet,0.9918107390403748
192,ho,0.991792619228363
193,bed,0.9916490316390991
194,ot,0.9915822148323059
195,cry,0.9915594458580017
196,matter,0.9915444850921631
197,charge,0.9913960099220276
198,engage,0.9913815855979919
199,morning,0.9913394451141357
200,likely,0.9911311864852905
201,carolina,0.9911301136016846
202,our,0.9910947680473328
203,teach,0.9909059405326843
204,flannel,0.9908862113952637
205,abundance,0.9908572435379028
206,col,0.9908366799354553
207,poor,0.9908215999603271
208,ing,0.9907610416412354
209,when,0.9906696081161499
210,carpenter,0.990625262260437
211,still,0.990574836730957
212,bo,0.9905577301979065
213,whole,0.9905426502227783
214,hour,0.9905244708061218
215,without,0.9905145168304443
216,plaid,0.9904921650886536
217,woman,0.9904190301895142
218,my,0.9903793931007385
219,instruct,0.9903453588485718
220,by,0.9902685880661011
221,le,0.9902350902557373
222,there,0.990189790725708
223,way,0.9901827573776245
224,answer,0.990146815776825
225,attend,0.9901461005210876
226,can,0.9901301860809326
227,what,0.9901192784309387
228,attendance,0.9900762438774109
229,four,0.9900689125061035
230,now,0.9900171160697937
231,night,0.9900094270706177
232,like,0.9899769425392151
233,let,0.9899762868881226
234,ti,0.9899290800094604
235,home,0.9898726344108582
236,receive,0.9898405075073242
237,an,0.9898294806480408
238,obedient,0.9898161292076111
239,many,0.9896670579910278
240,oh,0.9896549582481384
241,up,0.9896460175514221
242,face,0.9896324872970581
243,sir,0.9896190166473389
244,quick,0.9896030426025391
245,get,0.9895268678665161
246,aged,0.9895219802856445
247,other,0.9894660711288452
248,son,0.9892915487289429
249,u,0.9892241954803467
250,bis,0.9891864657402039
251,ever,0.9891489744186401
252,read,0.9891303777694702
253,full,0.989118754863739
254,relation,0.9890727400779724
255,meet,0.9890238046646118
256,think,0.9890046119689941
257,ill,0.9889664053916931
258,even,0.988908588886261
259,king,0.9888560771942139
260,bell,0.9888157844543457
261,here,0.9887850880622864
262,carpenters,0.9886522889137268
263,i,0.9885938763618469
264,though,0.9884634613990784
265,fully,0.9884307384490967
266,woolen,0.9883226156234741
267,no,0.9883052706718445
268,country,0.9882600903511047
269,ful,0.9882362484931946
270,observe,0.9880887866020203
271,household,0.9880629181861877
272,fur,0.9880427718162537
273,city,0.9879357218742371
274,devoted,0.9879113435745239
275,eye,0.9878846406936646
276,aid,0.9877669215202332
277,never,0.9877468943595886
278,side,0.9876918792724609
279,parent,0.9874927401542664
280,whilst,0.9873639941215515
281,allow,0.9873234629631042
282,york,0.9872987866401672
283,walk,0.9872236251831055
284,124,0.9871630668640137
285,wait,0.9871546030044556
286,attention,0.9871248006820679
287,assortment,0.9870986342430115
288,hire,0.9870792627334595
289,christ,0.9870505332946777
290,round,0.9869829416275024
291,discharge,0.9869150519371033
292,present,0.9868865609169006
293,oclock,0.9868160486221313
294,1i,0.986750602722168
295,plate,0.9866485595703125
