,token,cosine
0,free,0.8716002702713013
1,negro,0.8567672967910767
2,price,0.8555339574813843
3,cotton,0.8526409268379211
4,reopen,0.8512057662010193
5,trade,0.8505049347877502
6,labor,0.8502228856086731
7,revive,0.8479426503181458
8,method,0.8461347222328186
9,chesppta,0.8451461791992188
10,african,0.8440331220626831
11,cheap,0.8436250686645508
12,white,0.8432537913322449
13,land,0.8431872725486755
14,athongh,0.8424872159957886
15,color,0.8365835547447205
16,alan,0.8359454870223999
17,revival,0.834942102432251
18,equilibrium,0.8347688913345337
19,owner,0.834730327129364
20,million,0.8344473242759705
21,supply,0.834388256072998
22,africa,0.8341084122657776
23,ivilize,0.8326893448829651
24,previouas,0.832294762134552
25,thousand,0.8319684267044067
26,would,0.8315276503562927
27,per,0.8315274119377136
28,value,0.8313008546829224
29,rnasufature,0.8296799063682556
30,benefitted,0.8295823931694031
31,dollar,0.8278332352638245
32,pay,0.8277300596237183
33,they,0.8276864290237427
34,e6oqeretion,0.8276455998420715
35,slaveholde,0.8273167610168457
36,every,0.8272911310195923
37,foreign,0.8271961212158203
38,flaux,0.8269768357276917
39,slaveholder,0.8265784978866577
40,demand,0.8245720863342285
41,race,0.8243125677108765
42,reopeaing,0.8238265514373779
43,wheaexe,0.823652982711792
44,laborer,0.8231509923934937
45,master,0.8230900168418884
46,population,0.8223695158958435
47,mlauri,0.8222135305404663
48,deatn,0.8218559622764587
49,high,0.8215813636779785
50,rersus,0.8214841485023499
51,rellate,0.8209713697433472
52,person,0.820906937122345
53,hundred,0.8200965523719788
54,whiihh,0.8197988867759705
55,black,0.8197424411773682
56,contident,0.8197295665740967
57,hire,0.8196688890457153
58,tnigg,0.8196006417274475
59,cuba,0.8195770978927612
60,181520,0.8195111155509949
61,sheer,0.8191869854927063
62,although,0.8191440105438232
63,ordhinmtic,0.8187071681022644
64,close,0.8187004923820496
65,epithet,0.8184590339660645
66,find,0.818358838558197
67,great,0.8182828426361084
68,acflize,0.8182709217071533
69,statethat,0.8182116746902466
70,increase,0.8182056546211243
71,congressiohal,0.8181845545768738
72,wtih,0.8180908560752869
73,colme,0.818081796169281
74,equal,0.817995548248291
75,qnantity,0.8179899454116821
76,bolter,0.817902684211731
77,closing,0.8176957964897156
78,wool,0.817603349685669
79,number,0.8171998262405396
80,creasiog,0.817197859287262
81,repealing,0.8170966506004333
82,2hat,0.8170531392097473
83,onecotton,0.8169565796852112
84,inm,0.8169021606445312
85,region,0.8168245553970337
86,missisppi,0.816705048084259
87,mentiume,0.8165885806083679
88,get,0.8165336847305298
89,border,0.8164857029914856
90,sourians,0.8160973191261292
91,cost,0.8159300684928894
92,phey,0.8157637119293213
93,dece,0.815734326839447
94,necegsi,0.8156080842018127
95,competition,0.8155786395072937
96,aurselve,0.8155562877655029
97,retival,0.8153645992279053
98,uigmente,0.8153037428855896
99,culture,0.8152923583984375
100,destroy,0.8151454925537109
101,cent,0.8150916695594788
102,hywill,0.8150025606155396
103,ndo,0.8149532079696655
104,soil,0.8148515820503235
105,husbatnd,0.81470787525177
106,ancester,0.814696729183197
107,180,0.8144629597663879
108,acy,0.8144398927688599
109,muse,0.8143471479415894
110,haughty,0.8143416047096252
111,othir,0.8143038749694824
112,enslave,0.8142508268356323
113,upin,0.8142428398132324
114,phdre,0.8142340183258057
115,country,0.8141757845878601
116,rise,0.8140869736671448
117,stalwart,0.8140584826469421
118,finallv,0.8140471577644348
119,nonslaveholdor,0.8139702677726746
120,intlexibly,0.8139594197273254
121,mulatto,0.8138338923454285
122,bygtake,0.8138183355331421
123,feault,0.8137444257736206
124,here,0.8136579990386963
125,18ss,0.8135806322097778
126,atter,0.8135537505149841
127,interftece,0.8134872913360596
128,followinrg,0.8129551410675049
129,demorratieparty,0.8129212260246277
130,ofler,0.8127381205558777
131,glut,0.8126477599143982
132,well,0.8125790953636169
133,putriotism,0.812410831451416
134,nullicstion,0.8121828436851501
135,cultuore,0.8120492696762085
136,southterner,0.8119551539421082
137,africant,0.8119366765022278
138,andeo,0.8117914199829102
139,repened,0.8117532730102539
140,vitably,0.8112860918045044
141,come,0.8112687468528748
142,formes,0.8112657070159912
143,ycar,0.8112009763717651
144,work,0.811053454875946
145,furtherancee,0.8109391927719116
146,snifer,0.8107070326805115
147,aourishe,0.8106347322463989
148,freedom,0.8104661107063293
149,liow,0.8103522062301636
150,1808,0.810253918170929
151,1200,0.8102279305458069
152,lessly,0.8100038170814514
153,purehase,0.8099865913391113
154,gainer,0.8099151849746704
155,market,0.8099115490913391
156,inould,0.8097594380378723
157,coast,0.809587299823761
158,totahy,0.8094910383224487
159,minion,0.8094583749771118
160,import,0.8094123005867004
161,if,0.8093007802963257
162,itelf,0.809218168258667
163,oglesby,0.8091563582420349
164,legislatiure,0.8091358542442322
165,seventyfive,0.8090749979019165
166,ibre,0.80906742811203
167,iiracy,0.8090404868125916
168,soon,0.80900639295578
169,insa,0.8089683651924133
170,never,0.8089585304260254
171,inaina,0.8088147640228271
172,buy,0.8087523579597473
173,god,0.8087167143821716
174,freerren,0.8086696267127991
175,possjble,0.8086633086204529
176,evildispose,0.8086596131324768
177,inanimous,0.8086077570915222
178,ngree,0.8085817098617554
179,referenceto,0.8084860444068909
180,permit,0.808474600315094
181,reviye,0.808272659778595
182,turnthem,0.8082656860351562
183,but,0.8082428574562073
184,hite,0.8081339001655579
185,dloml,0.8081094026565552
186,ansa,0.8081070184707642
187,emigration,0.8080677390098572
188,emigrate,0.808061957359314
189,brand,0.8080326914787292
190,nmie,0.8079508543014526
191,andseventyfive,0.8078826665878296
192,privilige,0.8077949285507202
193,sveluiter,0.8077366352081299
194,trickery,0.8077269792556763
195,chinese,0.8076428771018982
196,cordon,0.8075535297393799
197,ciief,0.8075418472290039
198,bcause,0.8075025677680969
199,nosso,0.8074317574501038
