,token,cosine
0,slavo,0.9061086773872375
1,person,0.8660245537757874
2,claim,0.8648104071617126
3,take,0.8637205362319946
4,arrest,0.8630461692810059
5,jury,0.8598992228507996
6,hold,0.8596033453941345
7,owner,0.8593510389328003
8,case,0.8591193556785583
9,service,0.8588457703590393
10,escape,0.8527727723121643
11,master,0.8500266075134277
12,citizen,0.849982500076294
13,court,0.8498266339302063
14,fugi,0.8493348360061646
15,trial,0.8482953310012817
16,deliver,0.847562313079834
17,recovery,0.8466654419898987
18,provide,0.8435750007629395
19,protect,0.8431294560432434
20,african,0.8419473171234131
21,supreme,0.8412306308746338
22,decision,0.8381877541542053
23,force,0.8381619453430176
24,use,0.8365883827209473
25,capture,0.8365225791931152
26,provision,0.8333513736724854
27,distress,0.8332234025001526
28,tive,0.831600546836853
29,by,0.8314712643623352
30,grant,0.8312678933143616
31,secure,0.8311328291893005
32,tree,0.8309736847877502
33,carry,0.8309507369995117
34,boston,0.8303970694541931
35,labor,0.8303024172782898
36,gitive,0.8301185369491577
37,owe,0.8300378322601318
38,right,0.8299265503883362
39,judge,0.8297401666641235
40,pay,0.8296400308609009
41,bondage,0.8290449380874634
42,decide,0.8289011716842651
43,property,0.8288969993591309
44,pass,0.8287083506584167
45,rendi,0.8281027674674988
46,reclamation,0.8269764184951782
47,make,0.8268114924430847
48,return,0.8267927169799805
49,1850,0.8267733454704285
50,fu,0.826704740524292
51,lo,0.8266686797142029
52,due,0.8264178037643433
53,shall,0.8260730504989624
54,indefeasible,0.8260675072669983
55,another,0.8260618448257446
56,purchase,0.825797438621521
57,law,0.8257921934127808
58,slaves,0.8255749940872192
59,titledto,0.8252159357070923
60,require,0.8247681260108948
61,bervice,0.8245224952697754
62,authority,0.8244410753250122
63,no,0.8242118954658508
64,surrender,0.8235698938369751
65,clause,0.8233826756477356
66,cuba,0.8233478665351868
67,bring,0.8230534791946411
68,relate,0.8226432800292969
69,assist,0.8224712014198303
70,color,0.8224412202835083
71,enslave,0.8222433924674988
72,already,0.8216436505317688
73,soon,0.821482241153717
74,deprive,0.821285605430603
75,other,0.8210441470146179
76,propose,0.8210415840148926
77,illinois,0.8206467032432556
78,legally,0.8206103444099426
79,liiiw,0.8205584287643433
80,reclaim,0.820436954498291
81,foreign,0.8202579617500305
82,thereof,0.820236086845398
83,enforce,0.820115327835083
84,passage,0.8199377059936523
85,aid,0.8197253346443176
86,apply,0.8195790648460388
87,slavegrowe,0.8195067644119263
88,contain,0.8194815516471863
89,class,0.8193918466567993
90,compel,0.8193026781082153
91,louisiana,0.818866491317749
92,perhaps,0.8188609480857849
93,execute,0.818630039691925
94,positive,0.8186261057853699
95,attorney,0.8184855580329895
96,funda,0.8183856010437012
97,servant,0.8181488513946533
98,freeman,0.8179305195808411
99,officer,0.8178836107254028
100,georgia,0.8178835511207581
101,treaty,0.8178780674934387
102,per,0.8178713321685791
103,tor,0.81777423620224
104,authorize,0.8176788091659546
105,kentucky,0.8175398707389832
106,vindicato,0.8175252079963684
107,equal,0.8173595070838928
108,border,0.8173322081565857
109,annex,0.8172774910926819
110,black,0.81723952293396
111,sec,0.8172293901443481
112,prison,0.8171500563621521
113,protection,0.8171372413635254
114,inirodiice,0.8170883059501648
115,enact,0.8170120716094971
116,virtue,0.8166860938072205
117,also,0.8163890838623047
118,come,0.8163308501243591
119,three,0.8160440921783447
120,for,0.8159502744674683
121,would,0.8157252073287964
122,constiuiioiiulity,0.8156793117523193
123,alteration,0.8156630396842957
124,bind,0.8154162764549255
125,whether,0.8152962327003479
126,quire,0.8151807188987732
127,reside,0.8151025176048279
128,violation,0.8150926828384399
129,allege,0.8149054646492004
130,sw,0.8147993087768555
131,act,0.8147209882736206
132,alienage,0.8147165775299072
133,process,0.8145676851272583
134,unconstitutional,0.8144319653511047
135,rendition,0.8142448663711548
136,import,0.8142433166503906
137,imprison,0.8141607046127319
138,purpose,0.8141250014305115
139,seize,0.8141083121299744
140,reopen,0.8140684962272644
141,consonant,0.8138211965560913
142,compulsive,0.8136743903160095
143,uni,0.8136584758758545
144,suppression,0.8134870529174805
145,they,0.8134047985076904
146,justice,0.8133910298347473
147,ted,0.8130728006362915
148,suroly,0.8130676746368408
149,warrant,0.8130263686180115
150,fair,0.8129884004592896
151,renditioa,0.8128641843795776
152,deem,0.8127886652946472
153,attempt,0.8127616047859192
154,instiument,0.8127063512802124
155,exception,0.8125051259994507
156,tequire,0.8124619722366333
157,constitu,0.8124538660049438
158,emancipate,0.8124287724494934
159,absolute,0.8124004006385803
160,consent,0.8123420476913452
161,bill,0.8123025894165039
162,ststei,0.8122016191482544
163,bqeom,0.8120163679122925
164,cltliens,0.8118711709976196
165,blave,0.8117057085037231
166,four,0.8116958141326904
167,acquire,0.811552107334137
168,be,0.8115242719650269
169,btotob,0.8113874197006226
170,catch,0.8112682104110718
171,certainly,0.8112366795539856
172,horse,0.8111759424209595
173,arican,0.8111119270324707
174,returnable,0.8109230399131775
175,though,0.8109022974967957
176,rescue,0.8108660578727722
177,cendency,0.810805082321167
178,enslavement,0.810762345790863
179,conscientiously,0.8107575178146362
180,intent,0.8105964064598083
181,ing,0.8105773329734802
182,dii,0.8104785680770874
183,theh,0.810369610786438
184,suppose,0.8102204203605652
185,may,0.8102186918258667
186,bloodhounk,0.8101039528846741
187,himself,0.8100993037223816
188,inhabitant,0.8100897669792175
189,convert,0.8099968433380127
190,mean,0.8099797368049622
191,people,0.8099628686904907
192,havo,0.8099434971809387
193,several,0.8098881244659424
194,constitutionality,0.8098708391189575
195,cnpitnl,0.8097557425498962
196,recapture,0.8097550272941589
197,duty,0.8095760941505432
198,offspring,0.8095724582672119
199,maryland,0.809516191482544
200,invustcid,0.8094844222068787
201,notwithstand,0.8093880414962769
202,with,0.8093742728233337
203,chattel,0.809329628944397
204,virginia,0.8093001246452332
205,legislative,0.8092760443687439
206,canada,0.8092432618141174
207,freo,0.809156060218811
208,avail,0.8091391921043396
209,nterfere,0.8089957237243652
210,price,0.8089576959609985
211,al,0.8088915348052979
212,certain,0.8087471127510071
213,choose,0.8086602091789246
214,texas,0.8085817098617554
215,caroi,0.8085693717002869
216,ritorie,0.8085485100746155
217,white,0.8084839582443237
218,ought,0.8084680438041687
219,umuistakablo,0.8084264397621155
220,missouri,0.8083773255348206
221,nebraska,0.8083462715148926
222,deny,0.8083438277244568
223,bpite,0.8082761168479919
224,or,0.8082641363143921
225,sume,0.8082315921783447
226,thus,0.8081364035606384
227,number,0.8081307411193848
228,disagreementhere,0.8080300688743591
229,uistitut8,0.8078729510307312
230,city,0.8078292608261108
231,proper,0.8077586889266968
232,permit,0.8077220916748047
233,lecomqton,0.8077201247215271
234,colored,0.8076936602592468
235,borvicfl,0.8076188564300537
236,te,0.8075622916221619
237,repeal,0.8074684739112854
238,regulate,0.8074584603309631
239,slaveholder,0.8074508905410767
240,here,0.807448148727417
241,sixth,0.8074148297309875
242,territories,0.8073742985725403
243,braska,0.8072611093521118
244,phy,0.807167112827301
245,vest,0.807155966758728
246,odious,0.807019054889679
247,entitle,0.8069890141487122
248,away,0.8069422245025635
249,mitl,0.806884229183197
250,render,0.8068752288818359
251,interfere,0.8068493008613586
252,without,0.8067507743835449
253,charge,0.8066374659538269
254,slate,0.8065165281295776
255,when,0.8065016269683838
256,house,0.8062698245048523
257,forbid,0.8062291145324707
258,son,0.8062100410461426
259,writ,0.8058868646621704
260,oath,0.8058664202690125
261,ed,0.805832028388977
262,presumcu,0.8056750297546387
263,eiz,0.8056337833404541
264,some,0.8055874109268188
265,congressman,0.8055803775787354
266,mention,0.8055732250213623
267,proviso,0.8054853677749634
268,iuto,0.8054450154304504
269,slaveholde,0.8054441809654236
270,declare,0.8052361011505127
271,lay,0.8051453232765198
272,free,0.8051308393478394
273,alavos,0.8051056861877441
274,rigidly,0.8050523996353149
275,whatever,0.805016279220581
276,obligation,0.8049628138542175
277,slavetrade,0.8048714995384216
278,till,0.8048197031021118
279,transport,0.8048006892204285
280,suspend,0.8047108054161072
281,cuun,0.804674506187439
282,stale,0.8046321868896484
283,assail,0.804622232913971
284,anv,0.8046061396598816
285,commoniy,0.80455482006073
286,chargeable,0.8045433759689331
287,serve,0.8044485449790955
288,recover,0.8043691515922546
289,notification,0.8043631911277771
290,mclean,0.8043586611747742
291,congre,0.8042722940444946
292,capital,0.8042330741882324
293,reject,0.80422443151474
294,probably,0.8041592240333557
295,acquisition,0.8038062453269958
296,declaration,0.8037688732147217
297,president,0.803765058517456
298,4,0.8036189675331116
299,delivery,0.8036102652549744
300,extradition,0.8035948276519775
301,uny,0.8035781383514404
302,ohio,0.8035720586776733
303,ser,0.8035654425621033
304,half,0.8034831285476685
305,regulation,0.8034769892692566
306,tliero,0.8034551739692688
307,mexican,0.8034469485282898
308,slaveholding,0.8034183382987976
309,supremo,0.8033899664878845
310,civiil,0.8033790588378906
311,senate,0.8033329844474792
312,violate,0.803329586982727
313,descendants,0.8033252954483032
314,retain,0.8033146858215332
315,tlie,0.8032668232917786
316,fact,0.8032486438751221
317,coneress,0.8032313585281372
318,olaim,0.8032103180885315
319,constitution,0.8031871914863586
320,30u000,0.8031740784645081
321,thorn,0.803139328956604
322,prevent,0.8030885457992554
323,sup,0.8030868172645569
324,assert,0.8030492663383484
325,claimant,0.8030259013175964
326,deurruine,0.8030127286911011
327,execution,0.8029572367668152
328,representation,0.8029490113258362
329,amendment,0.8029191493988037
330,last,0.8029119372367859
331,entertained,0.8028984665870667
332,judicial,0.8028973340988159
333,para,0.8028738498687744
334,full,0.8028481602668762
335,ritory,0.8027589321136475
336,there,0.8027324676513672
337,slavos,0.8027241826057434
338,privilege,0.8026829957962036
339,slavcholjng,0.8026807904243469
340,suppress,0.8025290369987488
341,please,0.8024663329124451
342,population,0.8024645447731018
343,even,0.8024134635925293
344,jurisdiction,0.8023912906646729
345,descrip,0.8023827075958252
346,reverse,0.8023002743721008
347,woman,0.8022889494895935
348,slavecatcher,0.8022528886795044
349,stutein,0.8022320866584778
350,slates,0.8021746873855591
351,corpus,0.8020197153091431
352,asaslavo,0.8020066022872925
353,bo,0.8019900918006897
354,time,0.801974892616272
355,obedience,0.8019652962684631
356,ality,0.80194091796875
357,account,0.8018949627876282
358,vestcil,0.8018617033958435
359,kind,0.8018614053726196
360,wero,0.801846444606781
361,sical,0.8018350601196289
362,ask,0.8018224239349365
363,2d,0.8017933368682861
364,defence,0.8017740249633789
365,regulated,0.8017515540122986
366,necessary,0.8017496466636658
367,admit,0.8017248511314392
368,should,0.8016741275787354
369,alone,0.8016514182090759
370,prove,0.801624596118927
371,bear,0.8015742897987366
372,slnl,0.8015573024749756
373,unquestioned,0.8015560507774353
374,market,0.8014944791793823
375,exercise,0.8014101982116699
376,13533323,0.8012887239456177
377,therefore,0.8011603355407715
378,allow,0.8011541962623596
379,dare,0.8011133074760437
380,within,0.8010728359222412
381,wish,0.8010396957397461
382,negro,0.8009564280509949
383,lapor,0.8009455800056458
384,aoouringr,0.800881564617157
385,reioet,0.8008773326873779
386,sale,0.8008182048797607
387,alledgcd,0.8008084893226624
388,municipal,0.8007672429084778
389,habeas,0.8007403016090393
390,characteristic,0.8006969094276428
391,striction,0.8006900548934937
392,asoitien,0.800643801689148
393,word,0.8005920648574829
394,report,0.8005844354629517
395,course,0.8005357384681702
396,create,0.8004964590072632
397,supress,0.8004927635192871
398,catcher,0.8004714250564575
399,up,0.8003746867179871
400,of,0.8003577589988708
401,nashua,0.8003398776054382
402,to,0.800325870513916
403,enactment,0.8003253936767578
404,stitution,0.8002951145172119
405,blow,0.8002792596817017
406,hulj,0.80024254322052
407,then,0.8002116084098816
408,ant,0.8001576662063599
409,section,0.800122857093811
410,constitutional,0.8001220226287842
411,procure,0.8001066446304321
412,apprentice,0.8001042008399963
413,protec,0.8000963926315308
414,tolerate,0.800005316734314
415,remark,0.7999773025512695
416,kidnap,0.7999535202980042
417,those,0.7999323010444641
418,aiiout,0.799801766872406
419,whuro,0.799785315990448
420,stales,0.7997313141822815
421,willing,0.7996353507041931
422,king,0.7996006608009338
423,howuver,0.7995940446853638
424,secrete,0.7995845675468445
425,mo,0.7995616793632507
426,pretence,0.799551784992218
427,back,0.7995253801345825
428,send,0.7994855046272278
429,kansas,0.7994391322135925
430,mako,0.7994130253791809
431,race,0.799402117729187
432,victim,0.7993801236152649
433,pursue,0.7993567585945129
434,tution,0.7993529438972473
435,dom,0.7992649078369141
436,haveheen,0.7992141842842102
437,month,0.7991845011711121
438,firmative,0.7991706132888794
439,compensation,0.7991626262664795
440,resecue,0.7991562485694885
441,sion,0.7991529703140259
442,pennsylvania,0.7990731000900269
443,audeason,0.7989676594734192
