,token,cosine
0,j,0.9990957379341125
1,I,0.9987909197807312
2,h,0.9987767338752747
3,your,0.9986791014671326
4,remain,0.9986722469329834
5,r,0.9986444115638733
6,m,0.9986425638198853
7,c,0.9984774589538574
8,friend,0.9984548687934875
9,humble,0.9984365105628967
10,john,0.9984194040298462
11,s,0.9983611702919006
12,gentleman,0.9983393549919128
13,a,0.9982669949531555
14,1,0.9982061386108398
15,b,0.9981481432914734
16,regard,0.9981074929237366
17,g,0.9980886578559875
18,d,0.9980624318122864
19,f,0.9980620741844177
20,public,0.9979650974273682
21,l,0.9979349374771118
22,p,0.9979087114334106
23,with,0.9978345036506653
24,oblige,0.9978216290473938
25,high,0.9977763891220093
26,honor,0.997769832611084
27,w,0.9977357387542725
28,hon,0.9977086186408997
29,you,0.9976983666419983
30,be,0.9976272583007812
31,ii,0.997577428817749
32,freedom,0.9975168704986572
33,great,0.9974730610847473
34,v,0.9974359273910522
35,it,0.9973953366279602
36,william,0.997383713722229
37,t,0.9973244071006775
38,faithful,0.9973181486129761
39,may,0.9972960352897644
40,e,0.9972959160804749
41,time,0.9972742199897766
42,44,0.9972696304321289
43,to,0.9972413778305054
44,n,0.9972202777862549
45,i,0.9971803426742554
46,go,0.9971405267715454
47,brother,0.9971380233764648
48,tho,0.9971165657043457
49,in,0.9970566630363464
50,true,0.997054398059845
51,find,0.9970502257347107
52,make,0.9970470666885376
53,hold,0.9970409274101257
54,run,0.997014582157135
55,slave,0.9970082640647888
56,lie,0.9969936609268188
57,law,0.9969854354858398
58,see,0.9969507455825806
59,much,0.9969146847724915
60,8,0.9969065189361572
61,that,0.9968962669372559
62,subject,0.9968774914741516
63,old,0.9968733191490173
64,ho,0.9968698024749756
65,u,0.996868371963501
66,owner,0.996861457824707
67,people,0.9968427419662476
68,general,0.9968221187591553
69,whether,0.9968118071556091
70,dear,0.9968112707138062
71,land,0.9968045949935913
72,long,0.9967982172966003
73,might,0.9967870712280273
74,lewis,0.996783435344696
75,bo,0.9967800974845886
76,mr,0.9967755079269409
77,hi,0.9967747926712036
78,k,0.9967703819274902
79,we,0.9967639446258545
80,not,0.9967532157897949
81,his,0.9967480301856995
82,upon,0.9967442154884338
83,day,0.9967398643493652
84,states,0.9967384338378906
85,child,0.996737539768219
86,would,0.9967367649078369
87,family,0.9967212677001953
88,tell,0.9967188239097595
89,city,0.9967129230499268
90,they,0.9967119693756104
91,master,0.9967111945152283
92,aud,0.9967061281204224
93,father,0.9966866970062256
94,bring,0.9966821670532227
95,serve,0.9966818690299988
96,young,0.996680498123169
97,truth,0.9966787099838257
98,but,0.9966753721237183
99,she,0.9966679215431213
100,no,0.9966644048690796
101,must,0.9966622591018677
102,state,0.9966596961021423
103,for,0.996654748916626
104,he,0.9966542720794678
105,become,0.9966534376144409
106,without,0.9966511726379395
107,house,0.996648907661438
108,get,0.9966448545455933
109,thomas,0.9966442584991455
110,say,0.9966421127319336
111,use,0.9966302514076233
112,take,0.9966294169425964
113,th,0.996627926826477
114,know,0.9965980052947998
115,hire,0.9965962171554565
116,ill,0.9965953230857849
117,domestic,0.9965776801109314
118,good,0.9965749382972717
119,think,0.9965643882751465
120,service,0.9965624213218689
121,and,0.9965501427650452
122,apply,0.9965487718582153
123,sir,0.9965395927429199
124,appear,0.9965392351150513
125,pay,0.996536135673523
126,work,0.9965269565582275
127,question,0.9965266585350037
128,respect,0.9965201616287231
129,thus,0.9965071678161621
130,put,0.9965019822120667
131,ot,0.9965000152587891
132,ask,0.9964942932128906
133,truly,0.996485710144043
134,new,0.9964854121208191
135,very,0.9964823722839355
136,bear,0.9964816570281982
137,slavery,0.9964803457260132
138,11,0.9964776635169983
139,leave,0.9964655637741089
140,stand,0.996460497379303
141,do,0.9964532256126404
142,maid,0.9964506030082703
143,person,0.9964481592178345
144,will,0.9964401721954346
145,well,0.9964381456375122
146,english,0.996435821056366
147,give,0.9964328408241272
148,so,0.9964264035224915
149,though,0.9964258074760437
150,three,0.9964122772216797
151,mrs,0.9964088201522827
152,god,0.9964087605476379
153,seem,0.9964035749435425
154,act,0.9964010715484619
155,room,0.9964005947113037
156,on,0.9963975548744202
157,among,0.9963974952697754
158,case,0.9963794946670532
159,kitchen,0.9963783621788025
160,home,0.9963772296905518
161,secretary,0.9963761568069458
162,aid,0.9963736534118652
163,order,0.9963697791099548
164,bad,0.9963690042495728
165,ami,0.99636310338974
166,arm,0.9963611364364624
167,little,0.9963600635528564
168,place,0.9963569045066833
169,even,0.9963545799255371
170,attend,0.9963436722755432
171,black,0.9963415861129761
172,teach,0.9963381886482239
173,every,0.9963343739509583
174,speak,0.9963275790214539
175,cause,0.9963180422782898
176,kind,0.996314525604248
177,girl,0.996303915977478
178,one,0.9963030815124512
179,power,0.9962978363037109
180,feel,0.9962927103042603
181,have,0.9962916970252991
182,character,0.9962863326072693
183,free,0.9962736368179321
184,man,0.9962708950042725
185,hebrew,0.9962661266326904
186,le,0.9962550401687622
187,also,0.9962539672851562
188,more,0.9962533712387085
189,her,0.99625164270401
190,captain,0.9962514042854309
191,if,0.9962507486343384
192,term,0.9962464570999146
193,come,0.9962421655654907
194,body,0.9962370991706848
195,hope,0.9962340593338013
196,ever,0.9962310791015625
197,enter,0.99623042345047
198,enough,0.9962292313575745
199,shall,0.996228814125061
200,_,0.9962248206138611
201,charge,0.9962236285209656
202,eervant,0.9962204694747925
203,return,0.9962146282196045
204,name,0.9962073564529419
205,hut,0.99620121717453
206,expect,0.9962009191513062
207,always,0.9961949586868286
208,dr,0.9961948990821838
209,could,0.996185839176178
210,when,0.9961727857589722
211,receive,0.9961649775505066
212,fugitive,0.9961645603179932
213,thing,0.9961644411087036
214,lord,0.9961644411087036
215,present,0.9961612820625305
216,this,0.9961588382720947
217,try,0.9961544275283813
218,court,0.9961511492729187
219,miss,0.9961508512496948
220,mother,0.9961469173431396
221,observant,0.9961468577384949
222,mean,0.9961429834365845
223,way,0.9961410164833069
224,lady,0.9961392283439636
225,st,0.9961384534835815
226,relation,0.9961376786231995
227,as,0.9961358904838562
228,right,0.9961344599723816
229,belong,0.996131181716919
230,life,0.9961310625076294
231,year,0.9961307048797607
232,white,0.9961234927177429
233,buy,0.9961132407188416
234,allow,0.9961124658584595
235,bond,0.9961090087890625
236,wan,0.9961020350456238
237,condition,0.9960975646972656
238,hand,0.9960929155349731
239,mark,0.9960913062095642
240,govern,0.9960907101631165
241,air,0.9960862398147583
242,thou,0.9960843324661255
243,look,0.9960833787918091
244,still,0.996081531047821
245,why,0.9960744976997375
246,4,0.9960723519325256
247,country,0.996071994304657
248,contract,0.9960662722587585
249,soon,0.9960640072822571
250,another,0.9960622191429138
251,age,0.9960619211196899
252,follow,0.9960612058639526
