,token,cosine
0,ilave,0.9000533819198608
1,slavo,0.8994153141975403
2,alave,0.890601634979248
3,elave,0.8822049498558044
4,whilst,0.8539000153541565
5,lave,0.8534663319587708
6,slavos,0.8530791997909546
7,instance,0.8508684635162354
8,appear,0.8507745862007141
9,ly,0.8493484854698181
10,slav,0.8493122458457947
11,slavei,0.8489161133766174
12,benefit,0.8454765677452087
13,blave,0.845442533493042
14,transfer,0.8452603220939636
15,apprentice,0.8441663980484009
16,slavi,0.8437153100967407
17,transportation,0.8427382111549377
18,actually,0.8420809507369995
19,compel,0.841454029083252
20,slavt,0.8411099910736084
21,residence,0.8409466743469238
22,former,0.8409117460250854
23,loss,0.8401399850845337
24,same,0.8394181132316589
25,44,0.839282214641571
26,certain,0.8392007946968079
27,status,0.8386721611022949
28,hence,0.8385246396064758
29,or,0.8379026651382446
30,bv,0.8377912640571594
31,abroad,0.8374288082122803
32,secondly,0.8369918465614319
33,latter,0.8369101881980896
34,africans,0.8368206024169922
35,slavedealer,0.8363268971443176
36,round,0.8360568284988403
37,restore,0.8355597257614136
38,pursuit,0.8351318836212158
39,sufficient,0.8349736332893372
40,enable,0.8344600796699524
41,debt,0.8344351649284363
42,temporary,0.8343960642814636
43,fur,0.8343608379364014
44,expense,0.8339889049530029
45,ant,0.8339330554008484
46,too,0.833787739276886
47,bat,0.833679735660553
48,payment,0.8324414491653442
49,police,0.8322904109954834
50,slavea,0.8319181203842163
51,precisely,0.8319118618965149
52,business,0.8318415284156799
53,her,0.831660270690918
54,tc,0.8314269781112671
55,where,0.8312588334083557
56,ave,0.8312190175056458
57,arrangement,0.8311072587966919
58,impossible,0.8308758735656738
59,derive,0.8307971954345703
60,adequate,0.8307070732116699
61,immigrant,0.8306590914726257
62,relative,0.8304858207702637
63,oould,0.8303505182266235
64,en,0.8301397562026978
65,ie,0.8299782276153564
66,reasonable,0.8292191624641418
67,practicable,0.8291867971420288
68,travel,0.8291708827018738
69,snd,0.8291298151016235
70,thin,0.8285598754882812
71,undertake,0.8284774422645569
72,inquiry,0.8282381892204285
73,attend,0.8273894190788269
74,merely,0.8270089030265808
75,art,0.8269220590591431
76,description,0.8264809250831604
77,any,0.8262758255004883
78,voluntarily,0.8261979222297668
79,off,0.8260859251022339
80,properly,0.826072096824646
81,cheap,0.8260673880577087
82,prosecute,0.8258934617042542
83,tenth,0.8258915543556213
84,severe,0.8255817890167236
85,sue,0.8253230452537537
86,slavehunter,0.8250471949577332
87,order,0.8250350952148438
88,difficult,0.8248370289802551
89,6lave,0.8248149156570435
90,which,0.8247262835502625
91,nud,0.8246846199035645
92,furnish,0.8243918418884277
93,freemen,0.8242868781089783
94,decline,0.8239492177963257
95,whence,0.8237860798835754
96,similar,0.8236947655677795
97,victim,0.8236136436462402
98,laud,0.8234888911247253
99,liable,0.8234459161758423
100,heavy,0.8232856392860413
101,pleasure,0.8232297897338867
102,because,0.8231716156005859
103,food,0.8231596946716309
104,piratical,0.8231440186500549
105,fo,0.823097825050354
106,hem,0.8230533599853516
107,wh,0.822697639465332
108,hs,0.8224441409111023
109,persona,0.8224330544471741
110,participate,0.8223912715911865
111,alter,0.8223221898078918
112,tlave,0.8222309350967407
113,q,0.8221480250358582
114,7,0.8220255374908447
115,14,0.8217920064926147
116,immediately,0.8217400312423706
117,direction,0.8215808272361755
118,bnt,0.8215053081512451
119,suit,0.8213968276977539
120,tax,0.8213196396827698
121,those,0.8213012218475342
122,largely,0.8212275505065918
123,convenience,0.8211893439292908
124,only,0.8210539221763611
125,elsewhere,0.8210497498512268
126,slaveowner,0.8210194110870361
127,immigration,0.8209227323532104
128,different,0.8207533955574036
129,necessary,0.8207498788833618
130,perpetual,0.8205488920211792
131,therefore,0.8205382823944092
132,ro,0.8205177783966064
133,emigrant,0.820504367351532
134,prior,0.8202993273735046
135,shelter,0.8199163675308228
136,procure,0.8198301792144775
137,pat,0.8197950124740601
138,ty,0.8196766972541809
139,scarcely,0.819553554058075
140,thus,0.8194401860237122
141,ire,0.8194401264190674
142,subsequently,0.8193499445915222
143,probable,0.8193213939666748
144,finally,0.8192973136901855
145,compensation,0.8192653656005859
146,convey,0.8191990852355957
147,facility,0.8191854357719421
148,slavecatcher,0.8191217184066772
149,invasion,0.8190170526504517
150,exact,0.8190109133720398
151,employ,0.8189974427223206
152,require,0.8189882040023804
153,descent,0.8187885880470276
154,effectually,0.8187581300735474
155,determine,0.818740963935852
156,substitute,0.8187397718429565
157,contrary,0.8187192678451538
158,obtain,0.8187082409858704
159,thi,0.8186831474304199
160,previous,0.8186677098274231
161,restoration,0.8186224102973938
162,should,0.8185527920722961
163,particular,0.8185106515884399
164,resort,0.8184794783592224
165,ing,0.8183733224868774
166,thereof,0.8181700706481934
167,coolie,0.818140983581543
168,pain,0.8180281519889832
169,rom,0.818012535572052
170,happen,0.8179365396499634
171,ther,0.8178703188896179
172,guard,0.8177313804626465
173,also,0.8176761865615845
174,taxis,0.8176525235176086
175,proper,0.8176255226135254
176,enormous,0.8174678087234497
177,witness,0.8174148797988892
178,thai,0.817407488822937
179,ree,0.8173607587814331
180,remedy,0.8172633647918701
181,slavee,0.8172604441642761
182,4,0.8170976042747498
183,equally,0.8170598745346069
184,iy,0.8169993758201599
185,removal,0.8169816136360168
186,parliament,0.8168941736221313
187,include,0.816832423210144
188,transport,0.8167960047721863
189,ac,0.8166683912277222
190,vet,0.8166418671607971
191,relief,0.8166064620018005
192,havo,0.8165987133979797
193,foreigner,0.8164891004562378
194,damage,0.8163707852363586
195,fifth,0.8163699507713318
196,lawful,0.8162544369697571
197,limited,0.8162486553192139
198,most,0.8161962628364563
199,net,0.8160955905914307
200,ai,0.8160316944122314
201,particularly,0.815890371799469
202,oblige,0.815883994102478
203,front,0.8158233761787415
204,set,0.8158197402954102
205,injure,0.8157665133476257
206,legislator,0.8157389163970947
207,pursue,0.8156108856201172
208,reality,0.8155773878097534
209,tend,0.8155407309532166
210,difference,0.8153514266014099
211,kind,0.8151707649230957
212,ipso,0.8151156902313232
213,assertion,0.815108060836792
214,although,0.8150019645690918
215,6,0.8149680495262146
216,accompany,0.8149538636207581
217,remove,0.8149318695068359
218,english,0.8149192333221436
219,she,0.8148834109306335
220,subjection,0.8148523569107056
221,hinder,0.8148158192634583
222,sea,0.814792275428772
223,treasury,0.8147557377815247
224,full,0.8147060871124268
225,hav,0.8146586418151855
226,for,0.8146567940711975
227,search,0.8146201372146606
228,compulsory,0.8145097494125366
229,error,0.8144572973251343
230,taxation,0.8144479990005493
231,opportunity,0.8144479393959045
232,reenslave,0.8144331574440002
233,consign,0.8144044876098633
234,hould,0.8143957853317261
235,auy,0.8142687678337097
236,eighth,0.8142493963241577
237,commonwealth,0.8141690492630005
238,illinois,0.8141607642173767
239,knowledge,0.8141448497772217
240,owe,0.814111590385437
241,flee,0.8141071796417236
242,ci,0.8140866756439209
243,into,0.8139625787734985
244,assistance,0.8139291405677795
245,private,0.8139254450798035
246,agriculture,0.8139135241508484
247,unwilling,0.8138375878334045
248,criminal,0.8138171434402466
249,conceal,0.8137394189834595
250,ample,0.8137060403823853
251,home,0.8135936260223389
252,emigrate,0.8135252594947815
253,thev,0.8133530616760254
254,sum,0.8133194446563721
255,expectation,0.8133072257041931
256,constantly,0.8132566213607788
257,along,0.8131433129310608
258,ind,0.8130630850791931
259,capacity,0.8130325078964233
260,few,0.8129559755325317
261,lor,0.8129463195800781
262,nut,0.8129375576972961
263,illegally,0.8129212856292725
264,prosecution,0.8129152655601501
265,maintenance,0.8128294348716736
266,penal,0.8127002716064453
267,enslaving,0.8126992583274841
268,revenue,0.8126646876335144
269,readily,0.8125710487365723
270,road,0.8125203251838684
271,iuto,0.8125153183937073
272,ancestor,0.8125084638595581
273,18,0.8123869895935059
274,y,0.8123428225517273
275,describe,0.8122524619102478
276,safety,0.8121615052223206
277,cf,0.8121324777603149
278,suspect,0.8120283484458923
279,ease,0.8119074106216431
280,discharge,0.8118526339530945
281,willingly,0.8118143677711487
282,yesterday,0.8118066787719727
283,chance,0.8118032217025757
284,peril,0.8117853403091431
285,41,0.8117764592170715
286,venture,0.8117732405662537
287,mas,0.8117669820785522
288,apprehend,0.8117503523826599
289,accord,0.8117414116859436
290,lu,0.8116867542266846
291,contract,0.8116100430488586
292,ard,0.8115706443786621
293,an,0.8115572929382324
294,tempt,0.8115017414093018
295,absolutely,0.8114780783653259
296,waa,0.8114074468612671
297,wis,0.8113731145858765
298,ia,0.8113640546798706
299,jive,0.8113629817962646
300,addition,0.8113626837730408
301,fee,0.8112727403640747
302,grind,0.8111655712127686
303,easy,0.8111624121665955
304,mary,0.8111099600791931
305,dispose,0.8109896183013916
306,wit,0.8109256029129028
307,lia,0.8107267022132874
308,check,0.8106345534324646
309,exempt,0.8105390071868896
310,room,0.8105306625366211
311,lose,0.8105262517929077
312,iron,0.8104408383369446
313,bear,0.810411274433136
314,afford,0.8103928565979004
315,tour,0.8103508353233337
316,while,0.810328483581543
317,exportation,0.8103238344192505
318,encourage,0.8102632164955139
