,token,similarity
0,enough,0.05036744475364685
1,excitement,0.04398507997393608
2,get,0.04264256730675697
3,cigar,0.038147877901792526
4,way,0.03619018942117691
5,again,0.0356140173971653
6,raise,0.03339647501707077
7,vesuvius,0.03312351927161217
8,slavery,0.02417490817606449
9,ami,0.02191329188644886
10,my,0.02083214558660984
11,whole,0.01992994174361229
12,liberty,0.019034594297409058
13,kansas,0.01699051633477211
14,r,0.016643745824694633
15,abolition,0.01642695441842079
16,st,0.016284460201859474
17,I,0.016187606379389763
18,re,0.016140859574079514
19,submit,0.015880553051829338
20,obedient,0.015777243301272392
21,institution,0.01564120128750801
22,never,0.015626387670636177
23,soon,0.015057419426739216
24,york,0.014909878373146057
25,sir,0.014789512380957603
26,antislavery,0.01477365754544735
27,slavish,0.014558488503098488
28,question,0.014557497575879097
29,may,0.013899751007556915
30,they,0.013841148465871811
31,consider,0.013737782835960388
32,repeal,0.013640310615301132
33,your,0.013477198779582977
34,charleston,0.013132551684975624
35,abolish,0.01265683677047491
36,she,0.01262714434415102
37,direct,0.01262495294213295
38,young,0.012350624427199364
39,mil,0.012277219444513321
40,iii,0.012257104739546776
41,i,0.012043592520058155
42,always,0.011978575959801674
43,oil,0.01192686427384615
44,respectfully,0.011872857809066772
45,m,0.011777731589972973
46,hope,0.01170988567173481
47,iv,0.011681165546178818
48,union,0.011626210063695908
49,ir,0.011525887995958328
50,k,0.011513959616422653
51,consent,0.011513522826135159
52,mid,0.011456682346761227
53,view,0.01142535824328661
54,when,0.011383944191038609
55,sin,0.011297139339148998
56,say,0.011171264573931694
57,enslave,0.011075589805841446
58,3,0.010957439430058002
59,woman,0.010918154381215572
60,11,0.010791300795972347
61,order,0.01075869519263506
62,wish,0.01063879020512104
63,door,0.010557951405644417
64,little,0.010467134416103363
65,doctrine,0.010431037284433842
66,j,0.010387308895587921
67,desire,0.010362750850617886
68,house,0.010301383212208748
69,could,0.010262574069201946
70,liberal,0.010198276489973068
71,emancipation,0.010197651572525501
72,advocate,0.010127409361302853
73,child,0.010092388838529587
74,control,0.010082484222948551
75,object,0.009971949271857738
76,english,0.009938163682818413
77,people,0.009891647845506668
78,tlic,0.009844102896749973
79,good,0.009775055572390556
80,themselves,0.009765524417161942
81,v,0.009555712342262268
82,mind,0.009535965509712696
83,nml,0.009297225624322891
84,adopt,0.009163944981992245
85,wife,0.009107646532356739
86,half,0.009061300195753574
87,end,0.009019049815833569
88,course,0.008968289010226727
89,win,0.008585895411670208
90,sanction,0.008580959402024746
91,favor,0.00857748556882143
92,shall,0.008459492586553097
93,ii,0.008449463173747063
94,proslavery,0.008372687734663486
95,city,0.008361236192286015
96,benefit,0.008321451023221016
97,effect,0.008286272175610065
98,among,0.008258292451500893
99,lint,0.008249648846685886
