,token,similarity
0,master,0.22826600074768066
1,lecture,0.20570547878742218
2,book,0.18910089135169983
3,bible,0.1874084770679474
4,jesus,0.18400917947292328
5,christ,0.17383910715579987
6,mind,0.16554132103919983
7,read,0.16304922103881836
8,girl,0.15943141281604767
9,brother,0.15878871083259583
10,story,0.15751856565475464
11,thy,0.15601950883865356
12,teach,0.1537051498889923
13,family,0.15277308225631714
14,priest,0.1516638696193695
15,wife,0.14655442535877228
16,obedient,0.14544878900051117
17,lord,0.14416496455669403
18,harp,0.14362940192222595
19,deliver,0.14345669746398926
20,moore,0.14300306141376495
21,sermon,0.13848383724689484
22,hell,0.1383211314678192
23,husband,0.13711775839328766
24,thompson,0.1368330419063568
25,young,0.1365869790315628
26,your,0.13249480724334717
27,neighborhood,0.1324862539768219
28,cabin,0.13243138790130615
29,child,0.13034474849700928
30,tom,0.12960204482078552
31,hatred,0.12732496857643127
32,apostle,0.12570752203464508
33,testimony,0.12499430775642395
34,variety,0.12480916827917099
35,unto,0.12419454008340836
36,ye,0.12383410334587097
37,cony,0.12304051965475082
38,nnti,0.12261775135993958
39,lecturer,0.12162002921104431
40,write,0.12075555324554443
41,worship,0.12034356594085693
42,fall,0.12028221786022186
43,send,0.1199212372303009
44,faithful,0.1183907687664032
45,heart,0.1180306151509285
46,doctor,0.11645707488059998
47,truth,0.1160351037979126
48,charles,0.1155180111527443
49,address,0.11521796882152557
50,neighbor,0.11478885263204575
51,dr,0.11427909880876541
52,night,0.1141226515173912
53,garrison,0.1131129115819931
54,experience,0.1119857206940651
55,god,0.11168641597032547
56,francis,0.11132070422172546
57,bis,0.11106523871421814
58,boy,0.11054357886314392
59,rie,0.11037357151508331
60,song,0.11022371053695679
61,father,0.10979212820529938
62,saint,0.10940906405448914
63,mrs,0.10889742523431778
64,novel,0.10876541584730148
65,life,0.10715106874704361
66,audience,0.10654173046350479
67,thee,0.10598951578140259
68,rebuke,0.1041112169623375
69,room,0.102918341755867
70,notice,0.10283657163381577
71,jackson,0.10150347650051117
72,bear,0.10106280446052551
73,selection,0.10018496215343475
74,daughter,0.10014381259679794
75,ter,0.09971437603235245
76,name,0.09881655126810074
77,honest,0.0987769141793251
78,rend,0.09741836786270142
79,mother,0.09608560055494308
80,wesley,0.09524668753147125
81,grave,0.09383329749107361
82,eloquent,0.09309320896863937
83,biblo,0.09298401325941086
84,just,0.09264690428972244
85,samuel,0.0926070362329483
86,reader,0.09259051829576492
87,dissemination,0.09085795283317566
88,memory,0.09067080169916153
89,wm,0.09026038646697998
90,tract,0.09017004817724228
91,respectfully,0.09007319062948227
92,religion,0.08999995142221451
93,thank,0.08971188962459564
94,adams,0.08923390507698059
95,sin,0.08911877870559692
96,rev,0.08849327266216278
97,infidel,0.0883684828877449
98,robinson,0.08774728327989578
99,profession,0.08753687143325806
