,token,similarity
0,I,0.1365455538034439
1,1,0.13493524491786957
2,r,0.10836539417505264
3,obedient,0.10397050529718399
4,j,0.09327521175146103
5,v,0.0777420625090599
6,t,0.0766838788986206
7,f,0.06547005474567413
8,respectfully,0.06461739540100098
9,n,0.061734676361083984
10,your,0.056736450642347336
11,not,0.054508574306964874
12,l,0.05390464514493942
13,a,0.049397874623537064
14,be,0.046377088874578476
15,man,0.03746243566274643
16,h,0.03680655360221863
17,good,0.036771513521671295
18,see,0.0343247652053833
19,w,0.03389587998390198
20,i,0.03293294087052345
21,very,0.030614057555794716
22,proslavery,0.0302662905305624
23,ii,0.029606057330965996
24,think,0.029563017189502716
25,lave,0.029461229220032692
26,sir,0.027922634035348892
27,m,0.02731873281300068
28,u,0.026563536375761032
29,but,0.026445642113685608
30,little,0.026412684470415115
31,they,0.026097437366843224
32,democracy,0.025792988017201424
33,look,0.02469460666179657
34,two,0.024099551141262054
35,tne,0.02386677823960781
36,honor,0.02362229861319065
37,press,0.023554958403110504
38,work,0.02317287214100361
39,he,0.022762080654501915
40,oi,0.021808616816997528
41,know,0.021684763953089714
42,ana,0.021543234586715698
43,democratic,0.021517500281333923
44,name,0.020453348755836487
45,e,0.01987340860068798
46,save,0.019811289384961128
47,care,0.0197213776409626
48,life,0.019711626693606377
49,white,0.019233541563153267
50,always,0.018835924565792084
51,woman,0.01872096210718155
52,slaver,0.01861751265823841
53,last,0.018498970195651054
54,we,0.018302088603377342
55,school,0.018199725076556206
56,public,0.0180610790848732
57,do,0.018045134842395782
58,old,0.017323482781648636
59,ne,0.01730768010020256
60,party,0.016931883990764618
61,aud,0.016927815973758698
62,antislavery,0.01670878380537033
63,friend,0.016702447086572647
64,vote,0.016386255621910095
65,c,0.015840774402022362
66,long,0.01583421602845192
67,b,0.015691308304667473
68,plain,0.015555890277028084
69,lie,0.015499371103942394
70,live,0.014912220649421215
71,child,0.014503954909741879
72,scott,0.014448833651840687
73,take,0.014328419230878353
74,respect,0.014294078573584557
75,sell,0.014265292324125767
76,john,0.014075183309614658
77,day,0.013938285410404205
78,foe,0.013808555901050568
79,fear,0.013621766120195389
80,say,0.013574236072599888
81,fact,0.01345881912857294
82,million,0.013314017094671726
83,agency,0.012815306894481182
84,slaveholder,0.012585459277033806
85,set,0.012529479339718819
86,mr,0.012399788945913315
87,purpose,0.011991568841040134
88,thing,0.011977811343967915
89,get,0.011884573847055435
90,abolition,0.011853476986289024
91,moment,0.01169480662792921
92,face,0.011609578505158424
93,so,0.011176816187798977
94,ami,0.011173024773597717
95,course,0.011157196946442127
96,republican,0.011095291934907436
97,faithful,0.011080131866037846
98,with,0.01105745229870081
99,believe,0.010910325683653355
