,token,similarity
0,ervant,0.521454930305481
1,servants,0.4805316925048828
2,servanta,0.44060608744621277
3,servaut,0.4175572991371155
4,aervant,0.3861006200313568
5,4c,0.3853037655353546
6,aervanta,0.382999986410141
7,ana,0.37778088450431824
8,gentleman,0.377272367477417
9,ply,0.3638531267642975
10,moat,0.36247509717941284
11,complete,0.3514055013656616
12,nd,0.35140326619148254
13,eervant,0.34652024507522583
14,kc,0.339179128408432
15,bervant,0.3380547761917114
16,hue,0.3334140181541443
17,rood,0.33063632249832153
18,summer,0.3297441005706787
19,superior,0.3264213800430298
20,table,0.3213965892791748
21,excellent,0.3187737464904785
22,slae,0.3182908892631531
23,alio,0.31787511706352234
24,acd,0.316787451505661
25,furniture,0.3164689540863037
26,ac,0.3159462511539459
27,garden,0.3158237636089325
28,dry,0.31476321816444397
29,hoy,0.31396380066871643
30,ice,0.3120962381362915
31,ap,0.310291051864624
32,ervanta,0.3087306618690491
33,ck,0.30723145604133606
34,vary,0.3058244585990906
35,tine,0.3042917251586914
36,mh,0.30080652236938477
37,attentive,0.30009040236473083
38,ard,0.2987448573112488
39,x,0.29371997714042664
40,store,0.29195788502693176
41,da,0.29120776057243347
42,ladie,0.2895992696285248
43,od,0.2871429920196533
44,et,0.2866959571838379
45,ood,0.2849494218826294
46,anil,0.2840181887149811
47,collar,0.2816869020462036
48,beautiful,0.2816523015499115
49,aod,0.2810409665107727
50,fcc,0.2797609269618988
51,alsoa,0.2795749604701996
52,fervant,0.27875497937202454
53,bathing,0.27857092022895813
54,ic,0.27855831384658813
55,boom,0.27853772044181824
56,1,0.27769842743873596
57,183,0.2776777446269989
58,sew,0.2774079144001007
59,larder,0.2766544818878174
60,good,0.2735629081726074
61,hot,0.2733065187931061
62,tc,0.27310922741889954
63,riety,0.2727722227573395
64,family,0.2723904550075531
65,flue,0.27206188440322876
66,bath,0.27095043659210205
67,sh,0.2705063819885254
68,tervant,0.27039796113967896
69,alo,0.2692939043045044
70,st,0.2687617838382721
71,ladys,0.2683970630168915
72,rr,0.2671852111816406
73,wait,0.26678282022476196
74,oood,0.26563575863838196
75,etc,0.26482605934143066
76,largo,0.2646010220050812
77,atd,0.2645761966705322
78,traction,0.264297217130661
79,housekeeping,0.2636691629886627
80,le,0.26206645369529724
81,air,0.26169687509536743
82,mid,0.2614205479621887
83,sod,0.2609194815158844
84,locate,0.26078900694847107
85,convenience,0.2604808807373047
86,houe,0.26034337282180786
87,small,0.2596129775047302
88,moderate,0.2588150203227997
89,houae,0.25834396481513977
90,boy,0.25714805722236633
91,plain,0.2571271061897278
92,conveniently,0.25699183344841003
93,woollen,0.2557520270347595
94,handkerchief,0.25525549054145813
95,suit,0.25512468814849854
96,forservant,0.2545716464519501
97,to,0.2541813552379608
98,las,0.2541225552558899
99,ai,0.25399309396743774
