,token,similarity
0,obedient,0.49125275015830994
1,your,0.4865514636039734
2,respectfully,0.4670009911060333
3,dr,0.42672818899154663
4,m,0.42499372363090515
5,john,0.42437469959259033
6,friend,0.4238920211791992
7,g,0.4233027696609497
8,wv,0.41215234994888306
9,col,0.4073672294616699
10,quattle,0.40187227725982666
11,very,0.3980333209037781
12,esq,0.39690855145454407
13,announce,0.3967500627040863
14,j,0.3961678743362427
15,maj,0.3959706425666809
16,seat,0.3897782862186432
17,james,0.385745644569397
18,d,0.3846113979816437
19,p,0.3787221908569336
20,jones,0.36828237771987915
21,ensue,0.3633309304714203
22,gregg,0.36144331097602844
23,george,0.360187292098999
24,nounce,0.3595792353153229
25,good,0.3588009476661682
26,h,0.3587796986103058
27,w,0.35836610198020935
28,hin,0.3536544442176819
29,tne,0.34635186195373535
30,spectfully,0.3453916907310486
31,cook,0.3413860499858856
32,11,0.33836469054222107
33,abram,0.3382009267807007
34,scat,0.3376524746417999
35,reelection,0.3347083032131195
36,didate,0.3321915566921234
37,nominate,0.3317011594772339
38,capt,0.32943201065063477
39,I,0.3292270004749298
40,taste,0.32899394631385803
41,honor,0.3278631567955017
42,wm,0.32581567764282227
43,r,0.3212343156337738
44,sir,0.320065438747406
45,candidate,0.3184519112110138
46,editor,0.31778693199157715
47,10,0.31717419624328613
48,landrum,0.3159293830394745
49,mrs,0.31562575697898865
50,epicurean,0.3049648702144623
51,arthur,0.30395469069480896
52,_,0.3036680817604065
53,0,0.298740029335022
54,ii,0.2982180714607239
55,t,0.2973604202270508
56,gr,0.2964552938938141
57,mar,0.296016663312912
58,c,0.29576441645622253
59,17,0.29304125905036926
60,b,0.29039233922958374
61,n,0.2894834280014038
62,mn,0.28916406631469727
63,tu,0.28844091296195984
64,i,0.2873721122741699
65,9,0.28593847155570984
66,gratify,0.2850736677646637
67,fer,0.28106486797332764
68,da,0.2792648375034332
69,send,0.27725306153297424
70,fora,0.2763400971889496
71,tor,0.2754390835762024
72,fire,0.27445289492607117
73,tt,0.2700536847114563
74,z,0.27001407742500305
75,abundance,0.2692490816116333
76,house,0.2689053416252136
77,tue,0.2683084011077881
78,near,0.26786312460899353
79,3,0.26747962832450867
80,date,0.2659069895744324
81,s,0.26418814063072205
82,aiken,0.26362842321395874
83,posey,0.2619906961917877
84,saluda,0.2610546052455902
85,eat,0.26055708527565
86,age,0.25951915979385376
87,representative,0.2592562437057495
88,respect,0.2588019371032715
89,colonel,0.25855714082717896
90,big,0.2574562132358551
91,vs,0.25606486201286316
92,legislaturo,0.2540132403373718
93,sea,0.25370171666145325
94,lan,0.25272464752197266
95,blue,0.2506529986858368
96,u,0.249057337641716
97,e,0.2480928897857666
98,tn,0.2475019097328186
99,ridge,0.2458879053592682
