,token,similarity
0,1,0.3560407757759094
1,ii,0.3442543148994446
2,l,0.3155445456504822
3,j,0.3016936182975769
4,hire,0.2791079580783844
5,t,0.26025524735450745
6,i,0.25921007990837097
7,house,0.2572246491909027
8,I,0.24919022619724274
9,etc,0.2405892163515091
10,vision,0.2291596233844757
11,v,0.2234109342098236
12,n,0.21577703952789307
13,lave,0.21562296152114868
14,rent,0.21363168954849243
15,pro,0.21051420271396637
16,11,0.20664384961128235
17,e,0.20521694421768188
18,0,0.20342816412448883
19,w,0.19963683187961578
20,u,0.1935810148715973
21,slavery,0.1928604394197464
22,ti,0.19020815193653107
23,h,0.1867852807044983
24,a,0.17703291773796082
25,r,0.17265871167182922
26,mr,0.16920800507068634
27,advance,0.16784439980983734
28,d,0.16649246215820312
29,tt,0.16349871456623077
30,c,0.16325151920318604
31,ol,0.16316188871860504
32,7,0.16036877036094666
33,not,0.15822644531726837
34,question,0.15752655267715454
35,f,0.15087765455245972
36,ir,0.14846952259540558
37,it,0.1456979513168335
38,tl,0.141972616314888
39,li,0.13627883791923523
40,compel,0.1360279619693756
41,we,0.13595718145370483
42,au,0.13419832289218903
43,iii,0.13333170115947723
44,oi,0.13289697468280792
45,congress,0.1281290501356125
46,lie,0.1228662058711052
47,x,0.12004855275154114
48,go,0.11771930754184723
49,price,0.115536168217659
50,10,0.11486737430095673
51,north,0.11043065786361694
52,k,0.10961399227380753
53,ho,0.10405848175287247
54,without,0.10364116728305817
55,ine,0.10344742983579636
56,nf,0.10296431928873062
57,would,0.10119349509477615
58,p,0.10088992118835449
59,con,0.10066933929920197
60,agitation,0.10000286251306534
61,obedient,0.09958727657794952
62,can,0.09803835302591324
63,il,0.09738350659608841
64,party,0.09727997332811356
65,111,0.09725011885166168
66,mm,0.09537262469530106
67,com,0.09536648541688919
68,mi,0.0933799296617508
69,ft,0.09218985587358475
70,uu,0.09210021793842316
71,people,0.09175239503383636
72,antislavery,0.0917493999004364
73,iu,0.09133174270391464
74,keep,0.0903465524315834
75,well,0.0893656462430954
76,vi,0.08935961127281189
77,thus,0.0893484354019165
78,union,0.08868353813886642
79,form,0.08838082104921341
80,know,0.08815012127161026
81,subject,0.0878075361251831
82,tion,0.08737763017416
83,rt,0.0869615375995636
84,cr,0.08586649596691132
85,01,0.08571654558181763
86,all,0.0846530869603157
87,fi,0.0838875100016594
88,see,0.08384440839290619
89,that,0.08375808596611023
90,4,0.08350449055433273
91,use,0.08218172192573547
92,ri,0.08202780783176422
93,m,0.08183274418115616
94,proslavery,0.08094332367181778
95,ij,0.08084185421466827
96,think,0.08077163994312286
97,ue,0.07991132140159607
98,mv,0.07976492494344711
99,territory,0.07914838194847107
