,token,similarity
0,obedient,0.37150654196739197
1,your,0.3503023087978363
2,respectfully,0.34374552965164185
3,mother,0.34181302785873413
4,good,0.32194259762763977
5,child,0.3020111620426178
6,day,0.2985035479068756
7,wife,0.2836495339870453
8,thy,0.2671709656715393
9,very,0.25793230533599854
10,john,0.25482499599456787
11,girl,0.2538607120513916
12,see,0.24393945932388306
13,out,0.24038667976856232
14,t,0.23923327028751373
15,family,0.2382824867963791
16,old,0.2381717711687088
17,he,0.23798881471157074
18,father,0.23794683814048767
19,poor,0.2378731369972229
20,like,0.23130129277706146
21,you,0.22831836342811584
22,bad,0.22790659964084625
23,two,0.2272615283727646
24,woman,0.22238779067993164
25,life,0.22222577035427094
26,love,0.21931542456150055
27,brother,0.2186957448720932
28,bis,0.2136085033416748
29,little,0.21346598863601685
30,ir,0.21332886815071106
31,work,0.20812448859214783
32,lady,0.20771284401416779
33,well,0.20768313109874725
34,I,0.2075987607240677
35,11,0.20654213428497314
36,read,0.2042122483253479
37,blood,0.20371177792549133
38,ft,0.203388050198555
39,god,0.2033088207244873
40,night,0.20300444960594177
41,honor,0.20151211321353912
42,v,0.1964639574289322
43,m,0.19555819034576416
44,heart,0.19529418647289276
45,live,0.19240015745162964
46,li,0.1922173798084259
47,get,0.19013385474681854
48,age,0.19006122648715973
49,nearly,0.1866874247789383
50,young,0.18607695400714874
51,death,0.18595385551452637
52,b,0.1824510246515274
53,y,0.18223591148853302
54,k,0.18142998218536377
55,e,0.18111398816108704
56,hand,0.1806829273700714
57,lion,0.1802324503660202
58,name,0.18004192411899567
59,think,0.17930586636066437
60,s,0.17915576696395874
61,thousand,0.17871810495853424
62,lord,0.1781887412071228
63,c,0.17712925374507904
64,mind,0.17643073201179504
65,know,0.1757861226797104
66,she,0.17466917634010315
67,a,0.17073506116867065
68,hard,0.17026455700397491
69,hi,0.17010463774204254
70,soul,0.17000049352645874
71,p,0.16938956081867218
72,gentleman,0.16778099536895752
73,ho,0.16498005390167236
74,one,0.164106085896492
75,ago,0.16135290265083313
76,house,0.15939804911613464
77,g,0.1591390073299408
78,nl,0.15894575417041779
79,near,0.1587429791688919
80,dollar,0.15847669541835785
81,ill,0.1574745625257492
82,his,0.15618079900741577
83,land,0.15350188314914703
84,ire,0.15349125862121582
85,have,0.1519652009010315
86,cry,0.15165217220783234
87,tell,0.14844389259815216
88,hear,0.14787787199020386
89,home,0.14744631946086884
90,three,0.14714618027210236
91,hit,0.14676788449287415
92,st,0.14583054184913635
93,thing,0.14516687393188477
94,iv,0.14512145519256592
95,send,0.1450495719909668
96,ti,0.14500007033348083
97,sell,0.14474931359291077
98,aa,0.14457374811172485
99,washington,0.1428406834602356
