,token,similarity
0,pay,0.15264566242694855
1,guest,0.14420293271541595
2,attention,0.1418900042772293
3,every,0.14171211421489716
4,render,0.13815723359584808
5,good,0.12949255108833313
6,sojourn,0.10479757934808731
7,agreeable,0.08389563858509064
8,cigar,0.0745391845703125
9,liquor,0.06869933009147644
10,wine,0.04608318954706192
11,obedient,0.034018173813819885
12,ami,0.019586147740483284
13,choice,0.015182544477283955
14,respectfully,0.01108998991549015
15,nnd,0.010845798999071121
16,i,0.003444965463131666
17,he,0.0016817627474665642
18,a,0.0011876291828230023
19,mid,-0.0002157316921511665
20,bis,-0.0014715122524648905
21,faithful,-0.004556803032755852
22,lia,-0.0047822329215705395
23,with,-0.004951138515025377
24,your,-0.0050300671719014645
25,lie,-0.005872820969671011
26,lo,-0.007032835856080055
27,l,-0.007385571952909231
28,0,-0.008014573715627193
29,be,-0.008216235786676407
30,public,-0.00871931854635477
31,v,-0.01031341589987278
32,man,-0.01053995918482542
33,c,-0.01165913324803114
34,ho,-0.011880406178534031
35,I,-0.012258300557732582
36,bo,-0.012756355106830597
37,whose,-0.013053087517619133
38,u,-0.013144138269126415
39,position,-0.013217984698712826
40,friend,-0.013300084508955479
41,ii,-0.013987707905471325
42,extension,-0.014139828272163868
43,1,-0.014170282520353794
44,honor,-0.01441672258079052
45,week,-0.014529690146446228
46,m,-0.014969869516789913
47,live,-0.015255711041390896
48,k,-0.015509257093071938
49,his,-0.015809686854481697
50,ill,-0.015937989577651024
51,night,-0.016288908198475838
52,must,-0.01630348712205887
53,national,-0.01707487367093563
54,liis,-0.017254363745450974
55,well,-0.01732242852449417
56,produce,-0.01741395704448223
57,among,-0.017475876957178116
58,those,-0.017580850049853325
59,far,-0.017638107761740685
60,proslavery,-0.0176748838275671
61,insurrection,-0.017787927761673927
62,sell,-0.018052801489830017
63,lose,-0.018060149624943733
64,s,-0.018143268302083015
65,wc,-0.018148960545659065
66,stand,-0.018150202929973602
67,war,-0.01818828284740448
68,raise,-0.018318651244044304
69,wear,-0.018464935943484306
70,receive,-0.018610859289765358
71,formerly,-0.01870800368487835
72,8,-0.019055454060435295
73,d,-0.01911666803061962
74,11,-0.019162515178322792
75,child,-0.01932675391435623
76,ly,-0.01934278942644596
77,term,-0.01939040794968605
78,nonslaveholder,-0.01967502385377884
79,ago,-0.01976284757256508
80,non,-0.019818264991044998
81,true,-0.019849803298711777
82,respect,-0.019852472469210625
83,10,-0.019910411909222603
84,hope,-0.019993025809526443
85,guilty,-0.020152408629655838
86,die,-0.020161885768175125
87,loss,-0.0201832614839077
88,master,-0.020269451662898064
89,tell,-0.02033618651330471
90,keep,-0.020432738587260246
91,inform,-0.02050924487411976
92,side,-0.020593371242284775
93,soon,-0.020649028941988945
94,direct,-0.020649945363402367
95,generally,-0.020740900188684464
96,oil,-0.020763611420989037
97,ten,-0.020820502191781998
98,wilmot,-0.020840711891651154
99,high,-0.020853521302342415
