,token,similarity
0,v,0.4314703643321991
1,i,0.4288095533847809
2,u,0.4238075911998749
3,mi,0.4174264967441559
4,ti,0.4084409773349762
5,ii,0.40827423334121704
6,d,0.40626153349876404
7,ui,0.3927561044692993
8,t,0.3878870904445648
9,h,0.3857238292694092
10,iii,0.38514280319213867
11,iv,0.3833426237106323
12,k,0.38194021582603455
13,r,0.37738490104675293
14,w,0.37731701135635376
15,o,0.3771165907382965
16,11,0.37454962730407715
17,p,0.3725058436393738
18,m,0.37095609307289124
19,obedient,0.3676922023296356
20,0,0.3664074242115021
21,tt,0.36502811312675476
22,111,0.362582802772522
23,s,0.3619142174720764
24,n,0.360314279794693
25,7,0.3599836230278015
26,1,0.35119426250457764
27,f,0.3504813313484192
28,e,0.3497937321662903
29,ri,0.3493764400482178
30,ill,0.3477291166782379
31,l,0.34749212861061096
32,z,0.3465077579021454
33,mm,0.3446800708770752
34,ft,0.34241601824760437
35,c,0.34175780415534973
36,tl,0.3391963839530945
37,x,0.3390480577945709
38,ml,0.33881130814552307
39,hi,0.3368977904319763
40,4,0.3353460431098938
41,wm,0.33482614159584045
42,I,0.3339437246322632
43,y,0.3276709318161011
44,il,0.3255031406879425
45,b,0.32523518800735474
46,inn,0.32240593433380127
47,tn,0.3202176094055176
48,ni,0.3139124810695648
49,tu,0.3131257891654968
50,hl,0.3100642263889313
51,li,0.30572837591171265
52,10,0.3029158413410187
53,jl,0.30259183049201965
54,01,0.30053743720054626
55,nn,0.29970499873161316
56,oi,0.2995581328868866
57,ir,0.2965022325515747
58,rt,0.2938402593135834
59,nr,0.293072909116745
60,a,0.2923998534679413
61,vt,0.291991651058197
62,vi,0.29133638739585876
63,your,0.2909543514251709
64,nf,0.28745031356811523
65,rr,0.28346869349479675
66,tue,0.2829499840736389
67,uv,0.2816084325313568
68,rl,0.2775861322879791
69,ue,0.2757510244846344
70,g,0.26596537232398987
71,ar,0.2599133849143982
72,um,0.2537495195865631
73,mw,0.2532016932964325
74,win,0.24941988289356232
75,i1,0.24809786677360535
76,wi,0.24704669415950775
77,ww,0.2465842217206955
78,an,0.2459186315536499
79,la,0.2453506737947464
80,nil,0.2428259402513504
81,ji,0.2424338310956955
82,3,0.2400067001581192
83,fi,0.23766762018203735
84,uu,0.2359468936920166
85,nc,0.2342435121536255
86,ü,0.23392754793167114
87,ul,0.2335701733827591
88,ik,0.23096846044063568
89,ä,0.23026983439922333
90,tv,0.2291724681854248
91,tf,0.22824136912822723
92,ll,0.22816257178783417
93,ana,0.22761741280555725
94,io,0.2275506556034088
95,respectfully,0.22622673213481903
96,ip,0.2248740792274475
97,nl,0.22433258593082428
98,mt,0.2217123657464981
99,lr,0.2216986119747162
