,token,similarity
0,servants,0.4121479392051697
1,aud,0.34196561574935913
2,highcolore,0.32216471433639526
3,2x2,0.3190948963165283
4,4x4,0.30639779567718506
5,ginghams,0.30618780851364136
6,apron,0.3043733835220337
7,44,0.3014845550060272
8,servanta,0.30079278349876404
9,check,0.29930728673934937
10,bervant,0.2943500280380249
11,linen,0.284682959318161
12,l,0.28217247128486633
13,h,0.28101804852485657
14,cook,0.27713635563850403
15,shirt,0.2708275020122528
16,largo,0.2690257132053375
17,dress,0.26657161116600037
18,jam,0.2641335725784302
19,ii,0.26387253403663635
20,j,0.2619001567363739
21,heel,0.2590397000312805
22,sheet,0.2588408291339874
23,bootees,0.25875619053840637
24,kip,0.25676190853118896
25,bootee,0.25473031401634216
26,irish,0.2545061409473419
27,grate,0.2542463541030884
28,size,0.2540214955806732
29,ail,0.25083890557289124
30,plantation,0.24993778765201569
31,dutch,0.24975349009037018
32,nd,0.24901077151298523
33,mo,0.24634572863578796
34,sol,0.24620403349399567
35,youth,0.24321022629737854
36,1,0.24318554997444153
37,coarse,0.2428552359342575
38,heels,0.24238938093185425
39,blanket,0.2402830570936203
40,mantle,0.2398959845304489
41,sixe,0.2392926663160324
42,cottonades,0.2391192615032196
43,plaid,0.23900152742862701
44,music,0.23854492604732513
45,w,0.23634794354438782
46,hamilton,0.23461012542247772
47,ticking,0.23445996642112732
48,kid,0.23358556628227234
49,goat,0.23209141194820404
50,eervant,0.23094981908798218
51,hue,0.2290441393852234
52,childrens,0.22870010137557983
53,fcr,0.22824616730213165
54,drill,0.2256254106760025
55,cottonade,0.22552728652954102
56,dc,0.22362467646598816
57,etc,0.2223445624113083
58,ml,0.22164347767829895
59,stripes,0.22058460116386414
60,osnaburg,0.22006399929523468
61,stripe,0.22003066539764404
62,men,0.21967165172100067
63,ancle,0.21904931962490082
64,orate,0.21901579201221466
65,wear,0.21829156577587128
66,goal,0.21821695566177368
67,mills,0.2170378863811493
68,coarseand,0.21693946421146393
69,sylvan,0.21685142815113068
70,mi,0.21615412831306458
71,summer,0.21613413095474243
72,4c,0.21549837291240692
73,aod,0.21529173851013184
74,servanu,0.21513491868972778
75,strip,0.2151230424642563
76,flannel,0.21508784592151642
77,children,0.21431732177734375
78,muslin,0.2137950360774994
79,site,0.2133815884590149
80,tine,0.2132326066493988
81,ft,0.21310167014598846
82,alt,0.21284782886505127
83,boot,0.2120593935251236
84,soe,0.2112923562526703
85,plaids,0.21103553473949432
86,tr,0.2102980613708496
87,boy,0.20977763831615448
88,houso,0.20944766700267792
89,ei,0.2090272158384323
90,brogan,0.20836669206619263
91,bed,0.20823945105075836
92,fervant,0.20809495449066162
93,variety,0.20804522931575775
94,bleach,0.20673799514770508
95,fer,0.20580437779426575
96,brown,0.20573478937149048
97,bouse,0.20539289712905884
98,market,0.20510755479335785
99,women,0.20477867126464844
