,token,similarity
0,mrs,0.2859058976173401
1,thy,0.28579872846603394
2,obedient,0.25873640179634094
3,your,0.25794515013694763
4,thou,0.2403433471918106
5,god,0.23836740851402283
6,humble,0.23004961013793945
7,mother,0.2225871980190277
8,faithful,0.21600016951560974
9,heart,0.21378354728221893
10,christ,0.21213416755199432
11,chain,0.2116898000240326
12,thee,0.21111661195755005
13,wife,0.20800119638442993
14,father,0.2070128470659256
15,read,0.2054828554391861
16,unto,0.20301596820354462
17,write,0.2007603645324707
18,whip,0.19554618000984192
19,teach,0.1864560842514038
20,hi,0.18511761724948883
21,respectfully,0.17986395955085754
22,story,0.17985670268535614
23,girl,0.1782045066356659
24,child,0.17674456536769867
25,truth,0.17281223833560944
26,love,0.1720474511384964
27,soul,0.17093801498413086
28,oh,0.1703987717628479
29,lord,0.16734549403190613
30,brother,0.16718769073486328
31,rev,0.1668890118598938
32,hour,0.15948860347270966
33,poor,0.1585487425327301
34,murder,0.1584509164094925
35,bow,0.15702733397483826
36,honor,0.152606800198555
37,henry,0.15122993290424347
38,gospel,0.14682525396347046
39,you,0.14586618542671204
40,william,0.14545099437236786
41,husband,0.14511708915233612
42,trust,0.1430336833000183
43,morning,0.14259950816631317
44,heaven,0.1415565311908722
45,life,0.14123301208019257
46,saxon,0.14095081388950348
47,door,0.1403597742319107
48,young,0.13969042897224426
49,john,0.1395290493965149
50,son,0.1378970742225647
51,reader,0.13686291873455048
52,philemon,0.13630393147468567
53,apostle,0.13225388526916504
54,bible,0.13078753650188446
55,dr,0.13020597398281097
56,author,0.12992197275161743
57,sin,0.12859392166137695
58,paul,0.12810319662094116
59,die,0.12776459753513336
60,ye,0.12600915133953094
61,thank,0.1253640353679657
62,face,0.12398878484964371
63,hon,0.12379900366067886
64,lewis,0.12150329351425171
65,church,0.1204858124256134
66,noble,0.12024756520986557
67,exclaim,0.11901562660932541
68,night,0.118880495429039
69,strange,0.118873730301857
70,sir,0.11772365123033524
71,sympathy,0.11734210699796677
72,minister,0.11684810370206833
73,cass,0.1163354441523552
74,tear,0.11562041193246841
75,jay,0.11429460346698761
76,eye,0.11401432007551193
77,able,0.11243429780006409
78,cabin,0.11137804388999939
79,hate,0.11093533784151077
80,character,0.11003130674362183
81,brown,0.10937517136335373
82,beat,0.10871122032403946
83,runaway,0.10809917002916336
84,lady,0.10806319117546082
85,k,0.10796095430850983
86,slaughter,0.1076771467924118
87,uncle,0.10565567016601562
88,fellowship,0.10530883818864822
89,age,0.10502256453037262
90,preach,0.1044352799654007
91,doctor,0.10421033948659897
92,analysis,0.10348518937826157
93,wear,0.10285286605358124
94,daughter,0.10238123685121536
95,dark,0.10123871266841888
96,shalt,0.10098622739315033
97,hear,0.1003686711192131
98,generation,0.09970985352993011
99,dear,0.0982307493686676
