,token,similarity
0,I,0.16379711031913757
1,ii,0.12315531820058823
2,1,0.12122654169797897
3,iii,0.1167936772108078
4,11,0.10747148096561432
5,l,0.102100670337677
6,r,0.10186507552862167
7,n,0.09581264108419418
8,t,0.0954967737197876
9,v,0.09536362439393997
10,i,0.09117304533720016
11,w,0.08494236320257187
12,ti,0.0783238634467125
13,mi,0.07805357873439789
14,m,0.0763852447271347
15,ill,0.07441173493862152
16,u,0.07044006884098053
17,light,0.06971389055252075
18,li,0.06889255344867706
19,s,0.06713850051164627
20,p,0.06325321644544601
21,h,0.06296408921480179
22,in,0.06280633807182312
23,tl,0.06244627758860588
24,pi,0.061352696269750595
25,d,0.05969919264316559
26,tli,0.058511897921562195
27,iv,0.0571996234357357
28,f,0.05637006461620331
29,k,0.055374935269355774
30,111,0.05383064225316048
31,til,0.05263494327664375
32,slavi,0.05141622945666313
33,slav,0.05019126087427139
34,slaw,0.04944988340139389
35,il,0.049404241144657135
36,tii,0.048517536371946335
37,ir,0.04571305960416794
38,tin,0.045581914484500885
39,ri,0.044828448444604874
40,1111,0.04452335089445114
41,nl,0.0444737933576107
42,it,0.04359458386898041
43,if,0.04345162957906723
44,a,0.043135546147823334
45,4,0.04256870225071907
46,ut,0.041843172162771225
47,x,0.04180673137307167
48,b,0.04171844199299812
49,rt,0.04123301059007645
50,c,0.04072226956486702
51,ik,0.04067850112915039
52,vi,0.04063474386930466
53,ai,0.039984479546546936
54,j,0.039349913597106934
55,on,0.03909672424197197
56,thr,0.038321107625961304
57,o,0.038103118538856506
58,tn,0.037964947521686554
59,ml,0.03794155642390251
60,wh,0.037718869745731354
61,nil,0.03765043243765831
62,ni,0.03648265078663826
63,ie,0.03596208617091179
64,iu,0.03595893457531929
65,at,0.03592422604560852
66,obedient,0.035804059356451035
67,ith,0.035786863416433334
68,tit,0.03576634079217911
69,hit,0.0355776846408844
70,ih,0.03533022478222847
71,sin,0.03530030697584152
72,ly,0.034593839198350906
73,mil,0.034367937594652176
74,pr,0.034354567527770996
75,slaverv,0.034138210117816925
76,ur,0.03353576734662056
77,fi,0.03341781720519066
78,lead,0.03282633796334267
79,lli,0.032825954258441925
80,art,0.032035570591688156
81,i1,0.03174075111746788
82,tu,0.03163440153002739
83,e,0.03150264918804169
84,lh,0.03137646242976189
85,iti,0.031369876116514206
86,rv,0.031334731727838516
87,slaver,0.03129952773451805
88,lii,0.03125639632344246
89,ia,0.030844412744045258
90,th,0.0307562705129385
91,can,0.03053814359009266
92,mm,0.030486878007650375
93,iin,0.030171973630785942
94,tie,0.030108151957392693
95,run,0.02997763454914093
96,nn,0.02986472100019455
97,tlx,0.029822001233696938
98,john,0.029780538752675056
99,tr,0.02972789667546749
