,token,similarity
0,I,0.4415990114212036
1,l,0.4201197028160095
2,ii,0.4189731478691101
3,11,0.413790762424469
4,w,0.40142524242401123
5,t,0.40066471695899963
6,r,0.3947559893131256
7,i,0.3721972107887268
8,h,0.37172165513038635
9,1,0.361977756023407
10,ir,0.35497841238975525
11,m,0.34741365909576416
12,b,0.34636586904525757
13,tl,0.34208422899246216
14,k,0.34161657094955444
15,li,0.3390793204307556
16,v,0.3376007676124573
17,c,0.33611831068992615
18,p,0.3212510049343109
19,e,0.3201352059841156
20,ni,0.318103164434433
21,il,0.3150653839111328
22,thr,0.3075401782989502
23,111,0.30254295468330383
24,ti,0.29675450921058655
25,f,0.29330161213874817
26,fr,0.2914879620075226
27,7,0.2885597050189972
28,th,0.28426164388656616
29,iii,0.28368279337882996
30,tt,0.27977609634399414
31,10,0.27856481075286865
32,rt,0.27272719144821167
33,d,0.27085253596305847
34,uu,0.2684271037578583
35,mi,0.2659015357494354
36,0,0.2601001560688019
37,j,0.25968363881111145
38,obedient,0.2539866268634796
39,o,0.2519299387931824
40,oi,0.2516711950302124
41,nn,0.25116145610809326
42,iv,0.2509729862213135
43,ih,0.24618104100227356
44,nl,0.23853737115859985
45,s,0.23844614624977112
46,ul,0.23611362278461456
47,lh,0.23458093404769897
48,thi,0.2320757657289505
49,lu,0.229540154337883
50,ith,0.22682194411754608
51,ihat,0.22679848968982697
52,ei,0.22641359269618988
53,ill,0.22484464943408966
54,re,0.22163082659244537
55,ht,0.22149138152599335
56,he,0.22053365409374237
57,u,0.21911585330963135
58,mr,0.21879374980926514
59,nnt,0.21703314781188965
60,ri,0.2170206606388092
61,ue,0.2158343642950058
62,ui,0.2150246798992157
63,tht,0.21408440172672272
64,au,0.21269145607948303
65,lt,0.2120780497789383
66,wi,0.20815613865852356
67,hm,0.20797327160835266
68,your,0.2071436047554016
69,8,0.20670804381370544
70,hi,0.2047584056854248
71,ai,0.20457111299037933
72,nu,0.20248708128929138
73,tv,0.2006027102470398
74,know,0.19739384949207306
75,nd,0.19532151520252228
76,vi,0.1947513222694397
77,bv,0.1938178390264511
78,hn,0.19203899800777435
79,hate,0.19201895594596863
80,it,0.1910356730222702
81,ly,0.18960878252983093
82,tln,0.18843309581279755
83,ta,0.18785756826400757
84,ibe,0.18679626286029816
85,lr,0.18555128574371338
86,n,0.1846763640642166
87,ua,0.18420560657978058
88,hon,0.18353934586048126
89,a,0.18209683895111084
90,ml,0.18203623592853546
91,hv,0.18170860409736633
92,hc,0.18083108961582184
93,well,0.18077124655246735
94,01,0.18064863979816437
95,my,0.1775938719511032
96,alaverv,0.1775214672088623
97,nr,0.17709603905677795
98,ft,0.17693661153316498
99,sir,0.1768781989812851
