,token,similarity
0,property,0.025414511561393738
1,law,0.023148532956838608
2,million,0.02136809192597866
3,labor,0.020909501239657402
4,hundred,0.016856763511896133
5,every,0.016554154455661774
6,constitution,0.015914015471935272
7,country,0.015879390761256218
8,white,0.01587923988699913
9,united,0.015124289318919182
10,free,0.015106781385838985
11,in,0.014041582122445107
12,government,0.013086887076497078
13,protect,0.013042009435594082
14,such,0.012946379370987415
15,declare,0.012828405015170574
16,and,0.012476935982704163
17,consequence,0.012397989630699158
18,great,0.012310028076171875
19,thousand,0.011609944514930248
20,he,0.011499383486807346
21,many,0.01133657619357109
22,but,0.011318875476717949
23,fifteen,0.01131194457411766
24,prohibit,0.011128324083983898
25,would,0.011009023524820805
26,congress,0.010804281570017338
27,negro,0.010766281746327877
28,result,0.010558577254414558
29,black,0.010552000254392624
30,virginia,0.010477885603904724
31,put,0.010306037962436676
32,states,0.010230292566120625
33,lor,0.009880986995995045
34,common,0.00961628183722496
35,dollar,0.009521796368062496
36,keep,0.009516308084130287
37,increase,0.00941791944205761
38,legislate,0.009353755041956902
39,slaveholde,0.008792300708591938
40,import,0.008782567456364632
41,tli,0.008433468639850616
42,trade,0.008381824009120464
43,name,0.00826715026050806
44,subject,0.008257257752120495
45,state,0.008170485496520996
46,might,0.008085142821073532
47,form,0.00804505031555891
48,person,0.008003217168152332
49,like,0.007953825406730175
50,instance,0.007878899574279785
51,value,0.00785821583122015
52,legal,0.0077799418941140175
53,to,0.007733754813671112
54,color,0.007647624239325523
55,true,0.007418137509375811
56,tlie,0.007405760232359171
57,respect,0.007316351868212223
58,till,0.007295412477105856
59,ex,0.007239967118948698
60,introduction,0.007144065573811531
61,refuse,0.007044466212391853
62,carolina,0.007023682817816734
63,thai,0.0069516501389443874
64,legislation,0.006906191818416119
65,south,0.00689861411228776
66,admit,0.006783195771276951
67,argument,0.00669861538335681
68,market,0.006697515025734901
69,sell,0.006585753057152033
70,supply,0.006496015004813671
71,twenty,0.00649512792006135
72,give,0.006375005468726158
73,secure,0.0062697166576981544
74,pay,0.006132841110229492
75,lead,0.0061281900852918625
76,population,0.006110915914177895
77,fit,0.00605000788345933
78,african,0.006049938499927521
79,iu,0.006042406894266605
80,pass,0.0060172900557518005
81,lo,0.005997684318572283
82,proposition,0.0059441314078867435
83,large,0.005859996657818556
84,though,0.005822888575494289
85,territory,0.005775914527475834
86,follow,0.005701232235878706
87,territorial,0.005640916060656309
88,land,0.005537780933082104
89,come,0.005533875431865454
90,reference,0.005520620383322239
91,member,0.005159446969628334
92,two,0.005133361555635929
93,exclude,0.005109263118356466
94,southern,0.005094591993838549
95,senate,0.005092218052595854
96,action,0.005087386816740036
97,go,0.005034158937633038
98,owner,0.005020633339881897
99,truth,0.004994233138859272
