,token,similarity
0,slavo,0.3969031572341919
1,blave,0.3917180001735687
2,restore,0.372249960899353
3,unconditional,0.3707200586795807
4,entire,0.36776676774024963
5,restoration,0.3599165081977844
6,cede,0.3476075232028961
7,annex,0.3446636199951172
8,inite,0.34394371509552
9,uni,0.34162694215774536
10,acquire,0.3395976424217224
11,acquisition,0.332426518201828
12,souri,0.3306804895401001
13,congressional,0.3274308741092682
14,suppression,0.3257928192615509
15,exclusion,0.3230934739112854
16,cover,0.31735965609550476
17,northwest,0.31712427735328674
18,piratical,0.31429049372673035
19,ern,0.3122413158416748
20,modification,0.31211546063423157
21,throughout,0.31119346618652344
22,treaty,0.3104197680950165
23,nonslave,0.30953389406204224
24,elave,0.3074713349342346
25,tlave,0.30744683742523193
26,sluvo,0.30702611804008484
27,slnvo,0.3050019145011902
28,enforcement,0.3043840229511261
29,lave,0.303308367729187
30,great,0.30117565393447876
31,stipulate,0.3011609613895416
32,afri,0.30015090107917786
33,abrogation,0.29891881346702576
34,contemplate,0.2978939116001129
35,restrict,0.2975299060344696
36,emigration,0.29676729440689087
37,tivo,0.2966875433921814
38,nefarious,0.29646041989326477
39,reopen,0.29519400000572205
40,stipulation,0.29435309767723083
41,demand,0.2925533056259155
42,defy,0.2913964092731476
43,iree,0.29114842414855957
44,introduc,0.29048463702201843
45,infernal,0.28967636823654175
46,gradual,0.2894064486026764
47,repeal,0.28880754113197327
48,favor,0.2887420356273651
49,prior,0.28693437576293945
50,arkansas,0.28625261783599854
51,total,0.28622186183929443
52,proviso,0.2860580086708069
53,obtain,0.28575393557548523
54,tutional,0.2856953740119934
55,defiance,0.28566738963127136
56,tbo,0.2855863869190216
57,afrioan,0.2852005958557129
58,prohibition,0.2848285734653473
59,reclamation,0.2842794358730316
60,constitute,0.28420937061309814
61,enforce,0.2840016484260559
62,central,0.2834871709346771
63,vast,0.28322574496269226
64,nonintervention,0.28258076310157776
65,coastwise,0.28173232078552246
66,gress,0.28145477175712585
67,unitod,0.2813985049724579
68,west,0.2809204161167145
69,terri,0.2805575132369995
70,conquest,0.27994436025619507
71,original,0.2798781394958496
72,lino,0.27951082587242126
73,versal,0.2788635194301605
74,islature,0.27857163548469543
75,confer,0.27856895327568054
76,wilmot,0.27847129106521606
77,wrest,0.27762970328330994
78,section,0.2773451507091522
79,pacific,0.27713286876678467
80,prosecute,0.27708566188812256
81,application,0.2767038643360138
82,annexation,0.27635279297828674
83,special,0.2760312259197235
84,whereby,0.275645911693573
85,stnte,0.27563953399658203
86,tho,0.27514582872390747
87,perpetuity,0.2743903696537018
88,penal,0.27380135655403137
89,congre,0.27270621061325073
90,conspiracy,0.27257588505744934
91,slsve,0.2724326550960541
92,nebraska,0.2723592519760132
93,servile,0.2715734839439392
94,quire,0.2713046967983246
95,indefinitely,0.271261990070343
96,restriction,0.2712213099002838
97,1787,0.2705073654651642
98,mise,0.2698754668235779
99,foreign,0.2690017521381378
