,token,similarity
0,trade,0.14302581548690796
1,law,0.12746579945087433
2,united,0.12415628880262375
3,fugitive,0.12365327775478363
4,bill,0.11670124530792236
5,states,0.11014588177204132
6,district,0.09261144697666168
7,state,0.08691953122615814
8,property,0.07548581808805466
9,pass,0.06821469217538834
10,prohibit,0.059360019862651825
11,african,0.056705065071582794
12,free,0.050985150039196014
13,shall,0.045370034873485565
14,columbia,0.04369809478521347
15,act,0.04324907809495926
16,owner,0.03163221850991249
17,labor,0.029094748198986053
18,tho,0.026364151388406754
19,provide,0.012601248919963837
20,abolish,0.011594376526772976
21,slavo,0.008058922365307808
22,person,0.005568073131144047
23,hold,-0.00024857313837856054
24,slate,-0.0005883000558242202
25,right,-0.00997126940637827
26,congress,-0.016055652871727943
27,negro,-0.019455039873719215
28,territory,-0.023387612774968147
29,value,-0.023924527689814568
30,population,-0.0253586508333683
31,escape,-0.025824952870607376
32,revival,-0.026098597794771194
33,within,-0.027186866849660873
34,repeal,-0.027697473764419556
35,number,-0.029526222497224808
36,citizen,-0.03001183643937111
37,land,-0.030796287581324577
38,court,-0.030946778133511543
39,border,-0.031133614480495453
40,legislature,-0.03431802988052368
41,case,-0.03460988029837608
42,bring,-0.03501344844698906
43,may,-0.0353405736386776
44,emancipation,-0.03550510108470917
45,slaveholde,-0.036630116403102875
46,white,-0.036643579602241516
47,make,-0.03674263879656792
48,per,-0.03696202114224434
49,pay,-0.037512555718421936
50,foreign,-0.037830669432878494
51,two,-0.03786291182041168
52,stale,-0.03788987547159195
53,prove,-0.03939645364880562
54,ed,-0.03969620540738106
55,arrest,-0.040208641439676285
56,passage,-0.040740810334682465
57,whole,-0.04113869369029999
58,hundred,-0.04151472449302673
59,confederacy,-0.041534651070833206
60,nil,-0.042313043028116226
61,virginia,-0.04262665659189224
62,la,-0.04291116073727608
63,execution,-0.04315199330449104
64,the,-0.043415747582912445
65,request,-0.043829966336488724
66,female,-0.04401296377182007
67,prevent,-0.044179532676935196
68,to,-0.04438195377588272
69,duty,-0.04471130296587944
70,male,-0.044809479266405106
71,require,-0.044921234250068665
72,constitution,-0.046412937343120575
73,reopen,-0.04722099378705025
74,set,-0.04778573289513588
75,suppression,-0.049063995480537415
76,maryland,-0.0499396026134491
77,provision,-0.0501672700047493
78,hereby,-0.050293680280447006
79,new,-0.050441909581422806
80,power,-0.05071280524134636
81,exist,-0.05076998099684715
82,fugi,-0.051462724804878235
83,aggregate,-0.051558323204517365
84,vessel,-0.05226825922727585
85,master,-0.05250092223286629
86,supreme,-0.052663322538137436
87,senate,-0.05268919840455055
88,carry,-0.052903708070516586
89,whether,-0.053037241101264954
90,emancipate,-0.05326993763446808
91,object,-0.05331708490848541
92,another,-0.05341740697622299
93,missouri,-0.05344937741756439
94,authorize,-0.053655561059713364
95,suppress,-0.05435573309659958
96,that,-0.05475559085607529
97,sale,-0.05512247607111931
98,slaveholding,-0.05514147877693176
99,port,-0.0561048798263073
