,token,similarity
0,land,0.45127782225608826
1,purchaser,0.44515758752822876
2,month,0.43802088499069214
3,credit,0.4376510977745056
4,retain,0.42393746972084045
5,require,0.42113974690437317
6,twelve,0.4157882630825043
7,lien,0.3996025323867798
8,say,0.3982692062854767
9,sell,0.3937152624130249
10,purchase,0.3877110481262207
11,money,0.3835469186306
12,security,0.3577389717102051
13,till,0.3463444411754608
14,taine,0.34548646211624146
15,pay,0.34377673268318176
16,bond,0.3065492510795593
17,sale,0.30278724431991577
18,quire,0.28156203031539917
19,approve,0.2731380760669708
20,monev,0.2635532319545746
21,upon,0.2529357671737671
22,year,0.23560254275798798
23,pursuance,0.23262527585029602
24,decree,0.22440588474273682
25,bill,0.2169681042432785
26,two,0.21456408500671387
27,chancery,0.2081776261329651
28,bidder,0.2047174870967865
29,pur,0.19982370734214783
30,high,0.1983875036239624
31,12,0.19520169496536255
32,cre,0.19460880756378174
33,dec,0.19080883264541626
34,day,0.18638239800930023
35,on,0.18449199199676514
36,except,0.18364684283733368
37,other,0.1831015646457672
38,belong,0.18213102221488953
39,offer,0.17427514493465424
40,tha,0.17221303284168243
41,aid,0.16668295860290527
42,give,0.16652917861938477
43,fugitive,0.1627841591835022
44,ed,0.15044593811035156
45,good,0.15008461475372314
46,oa,0.14983761310577393
47,title,0.14816270768642426
48,next,0.1463659405708313
49,petition,0.14609010517597198
50,estate,0.14053186774253845
51,clerk,0.13656577467918396
52,will,0.13112670183181763
53,5,0.1308165043592453
54,john,0.13051743805408478
55,tho,0.12835314869880676
56,one,0.12378036975860596
57,secure,0.11911378055810928
58,lot,0.11756525933742523
59,blave,0.11504898220300674
60,mention,0.11291247606277466
61,age,0.10327138751745224
62,three,0.10194490104913712
63,market,0.10191897302865982
64,march,0.09940038621425629
65,1857,0.09827831387519836
66,negro,0.09708288311958313
67,ana,0.09540549665689468
68,balance,0.09419623017311096
69,sum,0.09005998075008392
70,ago,0.08695440739393234
71,8,0.08604815602302551
72,six,0.08519359678030014
73,13,0.08429683744907379
74,25,0.08368942886590958
75,courthouse,0.08201804012060165
76,tbe,0.0819275975227356
77,1st,0.08083352446556091
78,th,0.08020120859146118
79,harris,0.08003194630146027
80,aud,0.077028788626194
81,slaves,0.07496178150177002
82,fayetteville,0.07461737841367722
83,rear,0.07304266095161438
84,name,0.0728338360786438
85,win,0.0726393386721611
86,property,0.06786101311445236
87,cash,0.06628260016441345
88,town,0.06494943797588348
89,the,0.06372901797294617
90,county,0.06315279752016068
91,jane,0.06293562054634094
92,owner,0.06247663125395775
93,likely,0.06154842674732208
94,nearly,0.06150876730680466
95,and,0.06131468340754509
96,or,0.0603816956281662
97,admr,0.06026608869433403
98,term,0.05968492105603218
99,tn,0.05767155438661575
