,token,similarity
0,admission,0.5303876399993896
1,admit,0.5233734846115112
2,exclude,0.5094484686851501
3,prohibit,0.5064733028411865
4,slavo,0.48666778206825256
5,territory,0.48331111669540405
6,missouri,0.47433653473854065
7,establish,0.4676331877708435
8,legislate,0.4642339050769806
9,slaveholde,0.45730239152908325
10,free,0.45584040880203247
11,united,0.45102834701538086
12,territo,0.4486650228500366
13,state,0.44505706429481506
14,introduction,0.4353654682636261
15,utah,0.43208491802215576
16,prohibition,0.4311932623386383
17,union,0.4271429181098938
18,prevent,0.4267829656600952
19,limit,0.42615070939064026
20,jurisdiction,0.4221392869949341
21,within,0.41949349641799927
22,california,0.4185876250267029
23,constitutional,0.41606441140174866
24,kansas,0.41509392857551575
25,district,0.41235625743865967
26,non,0.4119664132595062
27,constitution,0.40720245242118835
28,exist,0.40673723816871643
29,acquire,0.4066266715526581
30,extend,0.4047410488128662
31,texas,0.404045432806015
32,form,0.40305042266845703
33,slaveholding,0.4007440507411957
34,interference,0.39754238724708557
35,abolish,0.3958001434803009
36,slate,0.395768940448761
37,court,0.3952197730541229
38,supreme,0.3946848511695862
39,columbia,0.3890741169452667
40,recognize,0.38811323046684265
41,30,0.38772934675216675
42,right,0.38716742396354675
43,congress,0.38695940375328064
44,gress,0.38504558801651
45,mexico,0.3849957287311554
46,federal,0.3849691152572632
47,mexican,0.3847179114818573
48,stitution,0.3815336525440216
49,involuntary,0.3805462718009949
50,servitude,0.37731465697288513
51,protect,0.37583085894584656
52,existence,0.37274685502052307
53,maintain,0.37226665019989014
54,capital,0.370588481426239
55,stale,0.36844348907470703
56,wherever,0.367008239030838
57,authority,0.3658513128757477
58,stato,0.36446285247802734
59,consti,0.36403053998947144
60,compromise,0.36270418763160706
61,people,0.36112868785858154
62,rie,0.3610750138759613
63,extension,0.36037564277648926
64,states,0.35957854986190796
65,government,0.3582715690135956
66,abolition,0.3579261302947998
67,tution,0.35616356134414673
68,introduce,0.3535845875740051
69,acquisition,0.35342299938201904
70,permit,0.35285359621047974
71,carry,0.35233035683631897
72,enact,0.3513002395629883
73,constitu,0.3482021987438202
74,tolerate,0.34569251537323
75,consent,0.3451240658760071
76,propose,0.3444083034992218
77,authorize,0.3442605435848236
78,territorial,0.3402523994445801
79,positive,0.3397757411003113
80,shall,0.33917397260665894
81,property,0.3364504873752594
82,apply,0.3364303410053253
83,deg,0.33611297607421875
84,oppose,0.3349117636680603
85,deny,0.3343183696269989
86,forbid,0.3324761986732483
87,ordinance,0.32887768745422363
88,part,0.32735830545425415
89,tho,0.3271125555038452
90,amendment,0.3267335295677185
91,con,0.3260844945907593
92,protection,0.3239752948284149
93,clause,0.3207801878452301
94,without,0.31938064098358154
95,ex,0.3192877173423767
96,provide,0.3179829716682434
97,carolina,0.31670019030570984
98,foreign,0.3152495324611664
99,provision,0.3137285113334656
