,token,similarity
0,free,0.5365079045295715
1,united,0.5289946794509888
2,states,0.5035510659217834
3,state,0.41150254011154175
4,person,0.410074383020401
5,property,0.40901684761047363
6,rebel,0.3856066167354584
7,law,0.38468554615974426
8,right,0.37494799494743347
9,hold,0.3739696443080902
10,shall,0.371631920337677
11,declare,0.3607877492904663
12,territory,0.33997008204460144
13,congress,0.33985117077827454
14,pass,0.33481842279434204
15,negro,0.32206395268440247
16,owner,0.31914022564888
17,labor,0.305446594953537
18,freedom,0.3034557104110718
19,prohibit,0.30132219195365906
20,white,0.2901075780391693
21,holder,0.2862399220466614
22,within,0.2838837504386902
23,constitution,0.2803485095500946
24,ry,0.27213895320892334
25,fugitive,0.2711092233657837
26,master,0.26934418082237244
27,ing,0.26432791352272034
28,rebellion,0.2623935341835022
29,let,0.2613113522529602
30,southern,0.25553780794143677
31,whether,0.2547162175178528
32,exist,0.253056138753891
33,service,0.24929091334342957
34,give,0.2455574870109558
35,carry,0.24028557538986206
36,south,0.237273707985878
37,would,0.23443974554538727
38,poor,0.2333429455757141
39,escape,0.23324696719646454
40,follow,0.23189689218997955
41,every,0.2317613661289215
42,citizen,0.2303653210401535
43,tion,0.2284022867679596
44,union,0.22235287725925446
45,bill,0.2199668139219284
46,north,0.21987101435661316
47,favor,0.21928489208221436
48,proclamation,0.21898230910301208
49,color,0.21815967559814453
50,million,0.21617841720581055
51,non,0.21403288841247559
52,first,0.21291756629943848
53,emancipate,0.21277815103530884
54,tbe,0.21273230016231537
55,good,0.21267475187778473
56,love,0.2125498503446579
57,must,0.21084775030612946
58,tho,0.2108239084482193
59,northern,0.21049079298973083
60,liberty,0.20955272018909454
61,another,0.2088557332754135
62,abolish,0.2084808200597763
63,thing,0.20810692012310028
64,leave,0.20765823125839233
65,duty,0.20632952451705933
66,government,0.20449167490005493
67,military,0.20339463651180267
68,power,0.20186005532741547
69,action,0.20039604604244232
70,whose,0.20008955895900726
71,make,0.19981592893600464
72,kentucky,0.19972874224185944
73,alone,0.19909708201885223
74,war,0.19683118164539337
75,take,0.195985808968544
76,race,0.19520795345306396
77,remain,0.1951943039894104
78,prevent,0.1944200098514557
79,now,0.19415068626403809
80,kansas,0.1940668821334839
81,loyal,0.19404159486293793
82,black,0.19310298562049866
83,force,0.19243313372135162
84,border,0.1910945475101471
85,claim,0.18980273604393005
86,this,0.18968777358531952
87,amendment,0.1896093785762787
88,many,0.18679603934288025
89,adopt,0.18668825924396515
90,open,0.1865895539522171
91,cease,0.18617472052574158
92,reason,0.18359237909317017
93,become,0.18300843238830566
94,army,0.18261054158210754
95,people,0.1818781942129135
96,washington,0.18112808465957642
97,justice,0.18089428544044495
98,ought,0.18064655363559723
99,authority,0.18038611114025116
