,token,similarity
0,slavo,0.4456039071083069
1,claim,0.39393824338912964
2,demand,0.38426563143730164
3,they,0.38317662477493286
4,tho,0.37693625688552856
5,proposition,0.3732908368110657
6,pro,0.3726775050163269
7,when,0.36395737528800964
8,immediate,0.36250561475753784
9,piracy,0.36043888330459595
10,traffic,0.3596928119659424
11,part,0.3545612096786499
12,these,0.35422593355178833
13,deny,0.35151728987693787
14,effect,0.3514939844608307
15,say,0.3501926064491272
16,exist,0.34793776273727417
17,tlave,0.3406541645526886
18,act,0.340420126914978
19,forbid,0.33854901790618896
20,acquire,0.33762767910957336
21,elave,0.33507493138313293
22,report,0.3336511254310608
23,bring,0.3325682580471039
24,tliat,0.3310602903366089
25,intend,0.3284323513507843
26,havo,0.32820019125938416
27,section,0.32736140489578247
28,african,0.32706546783447266
29,already,0.32661688327789307
30,war,0.3254227936267853
31,suppress,0.32438281178474426
32,reopen,0.3243800699710846
33,slate,0.32322630286216736
34,existence,0.3222472369670868
35,take,0.32114583253860474
36,arrest,0.3191663324832916
37,strike,0.31752368807792664
38,direct,0.31743836402893066
39,third,0.31692567467689514
40,prevent,0.31673091650009155
41,attempt,0.316062331199646
42,carry,0.3143589496612549
43,engage,0.3136429488658905
44,crime,0.31226760149002075
45,upon,0.30775701999664307
46,violation,0.3076842725276947
47,beyond,0.3076080083847046
48,maryland,0.30688637495040894
49,cuba,0.3067557215690613
50,bind,0.306736558675766
51,suppression,0.3062652051448822
52,long,0.30591922998428345
53,africa,0.3051129877567291
54,france,0.30346453189849854
55,remove,0.303185373544693
56,especially,0.3028227388858795
57,justice,0.30214545130729675
58,btate,0.3018578290939331
59,treaty,0.3013928532600403
60,repeal,0.3010828495025635
61,internal,0.30087292194366455
62,sion,0.299935519695282
63,away,0.2998311519622803
64,force,0.29896166920661926
65,fourth,0.2982776463031769
66,declare,0.29748398065567017
67,intention,0.29711300134658813
68,tory,0.29612672328948975
69,directly,0.2960778772830963
70,then,0.29523658752441406
71,even,0.2951468229293823
72,never,0.29511621594429016
73,but,0.2946695387363434
74,resist,0.2940850853919983
75,extend,0.29379263520240784
76,inhabitant,0.29285168647766113
77,ing,0.2927008271217346
78,render,0.2921762764453888
79,confine,0.29206594824790955
80,fugi,0.2919793128967285
81,introduction,0.2914445102214813
82,common,0.29118695855140686
83,democracy,0.29094457626342773
84,enter,0.2905168831348419
85,virginia,0.29027724266052246
86,commerce,0.28945139050483704
87,propose,0.28916123509407043
88,prohibition,0.28903764486312866
89,revival,0.28894296288490295
90,terri,0.28831714391708374
91,law,0.2881952226161957
92,ultimately,0.28809821605682373
93,positive,0.2878262400627136
94,except,0.28778496384620667
95,way,0.28770726919174194
96,extent,0.2870650887489319
97,louisiana,0.28670093417167664
98,favor,0.2866509258747101
99,steal,0.28662267327308655
