,token,similarity
0,slavo,0.4835854172706604
1,ilave,0.44140464067459106
2,gulf,0.428657591342926
3,restoration,0.41001957654953003
4,favor,0.40835830569267273
5,slavi,0.40050214529037476
6,interstate,0.39732471108436584
7,internal,0.39415818452835083
8,immigration,0.39345335960388184
9,immediate,0.3872852027416229
10,oppose,0.37593674659729004
11,coastwise,0.3633912205696106
12,total,0.3602036237716675
13,interdict,0.35995811223983765
14,emigration,0.3594692349433899
15,florida,0.3557121157646179
16,congressional,0.3528749644756317
17,transfer,0.35173821449279785
18,ultimately,0.3514884412288666
19,interested,0.3482809066772461
20,foreign,0.3477194607257843
21,blave,0.34458255767822266
22,intervention,0.3440932035446167
23,impossible,0.3437812030315399
24,reopen,0.34191665053367615
25,extent,0.3411496579647064
26,alave,0.3379238545894623
27,confederacy,0.3356654644012451
28,prior,0.33346715569496155
29,emigrate,0.33329978585243225
30,1820,0.33322951197624207
31,exclusion,0.3319548964500427
32,1808,0.33132368326187134
33,revive,0.3312426805496216
34,prevent,0.3311939537525177
35,brazil,0.3303815722465515
36,inhabitant,0.3300696611404419
37,annexation,0.32920530438423157
38,taxation,0.3262861371040344
39,cede,0.3254273533821106
40,equally,0.3228902518749237
41,establishment,0.322549045085907
42,emigrant,0.32215338945388794
43,northwest,0.3219638466835022
44,pacific,0.3213871717453003
45,addition,0.32126951217651367
46,annex,0.3211568593978882
47,1790,0.3207056224346161
48,domestic,0.32021963596343994
49,native,0.31849604845046997
50,direct,0.31715089082717896
51,slav,0.31548941135406494
52,thereby,0.31533119082450867
53,operation,0.31479451060295105
54,demand,0.31477802991867065
55,urge,0.3144672214984894
56,whilst,0.31417936086654663
57,permanent,0.31396424770355225
58,cf,0.31364205479621887
59,flag,0.31177541613578796
60,protection,0.31173795461654663
61,invite,0.3112809956073761
62,guarantee,0.3111629784107208
63,maintain,0.3102928400039673
64,hence,0.3101559579372406
65,slavebreede,0.30907607078552246
66,responsible,0.30884596705436707
67,deg,0.3073945939540863
68,throughout,0.30676746368408203
69,agree,0.3058585822582245
70,cover,0.30539757013320923
71,purpose,0.30524498224258423
72,project,0.3048829138278961
73,security,0.3045673370361328
74,encourage,0.3045283257961273
75,totally,0.30405861139297485
76,actually,0.3029117286205292
77,ing,0.3026706278324127
78,commerce,0.3006240129470825
79,reenact,0.2998358905315399
80,continue,0.29904255270957947
81,coolie,0.2990228235721588
82,boundary,0.2984202206134796
83,southern,0.2982054650783539
84,also,0.297733873128891
85,declare,0.29746901988983154
86,supersede,0.2972600758075714
87,inter,0.2970739006996155
88,secure,0.2969547510147095
89,min,0.29610395431518555
90,tier,0.29606688022613525
91,district,0.2937332093715668
92,facility,0.29350775480270386
93,branch,0.29255661368370056
94,western,0.2922542989253998
95,procure,0.29025766253471375
96,carry,0.28979313373565674
97,transportation,0.28979143500328064
98,tend,0.2895450294017792
99,whenever,0.2894752323627472
