,token,similarity
0,district,0.02274768240749836
1,trade,0.021522123366594315
2,vote,0.019733168184757233
3,the,0.019123157486319542
4,tho,0.01813161000609398
5,law,0.01438742782920599
6,abolition,0.012530484236776829
7,state,0.012496544048190117
8,may,0.008421974256634712
9,columbia,0.00794448796659708
10,lie,0.007289621513336897
11,territory,0.006863744463771582
12,free,0.0049927267245948315
13,make,0.004852676298469305
14,south,0.003915045876055956
15,right,0.003239197190850973
16,lo,0.0030169084202498198
17,petition,0.002766057848930359
18,bill,0.0022980445064604282
19,labor,0.0014933716738596559
20,new,0.0009586794767528772
21,bring,0.0009454070823267102
22,never,0.0008530173217877746
23,prohibit,0.0004278138803783804
24,whig,-0.00034783530281856656
25,ing,-0.0004777147842105478
26,anv,-0.00048446867731399834
27,people,-0.0011227235663682222
28,tion,-0.0011439010268077254
29,abolish,-0.0013606853317469358
30,african,-0.001573003246448934
31,that,-0.0019129002466797829
32,soil,-0.0019840935710817575
33,million,-0.002003611298277974
34,white,-0.002373667899519205
35,con,-0.0026734229177236557
36,well,-0.0028820878360420465
37,northern,-0.0029117311351001263
38,they,-0.0036004618741571903
39,two,-0.0036333026364445686
40,property,-0.0042222351767122746
41,subject,-0.0042250072583556175
42,say,-0.004290502984076738
43,give,-0.004331860691308975
44,time,-0.004498813766986132
45,congress,-0.004724614322185516
46,whole,-0.004795536864548922
47,number,-0.004828724544495344
48,oppose,-0.004990688059478998
49,proposition,-0.005127403419464827
50,nd,-0.005139426793903112
51,question,-0.005160444416105747
52,fugitive,-0.005580460652709007
53,stand,-0.005770089570432901
54,there,-0.005859252065420151
55,pay,-0.00590579304844141
56,power,-0.006071765441447496
57,country,-0.006358345504850149
58,know,-0.0064092231914401054
59,judge,-0.006511080078780651
60,three,-0.006530443672090769
61,this,-0.006614305078983307
62,and,-0.006721624173223972
63,would,-0.006764520425349474
64,interest,-0.006899283733218908
65,repeal,-0.007205940317362547
66,master,-0.007290609180927277
67,compromise,-0.007399261463433504
68,another,-0.007511007133871317
69,missouri,-0.007534380536526442
70,ad,-0.00770022626966238
71,could,-0.00791198667138815
72,political,-0.008055617101490498
73,present,-0.008089115843176842
74,agitation,-0.008199373260140419
75,com,-0.008391615003347397
76,house,-0.008567191660404205
77,mexico,-0.008644632995128632
78,slavery,-0.008656707592308521
79,declare,-0.008862249553203583
80,thev,-0.00898826215416193
81,we,-0.009032049216330051
82,pierce,-0.009059480391442776
83,one,-0.009162806905806065
84,southern,-0.009163601323962212
85,population,-0.00920145120471716
86,bv,-0.009383508004248142
87,government,-0.00951800961047411
88,place,-0.009617741219699383
89,er,-0.009719707071781158
90,no,-0.009810554794967175
91,what,-0.009825912304222584
92,purpose,-0.01003781147301197
93,antislavery,-0.010234026238322258
94,north,-0.01026313379406929
95,crime,-0.010359680280089378
96,sell,-0.010543962940573692
97,believe,-0.010567523539066315
98,extension,-0.010574184358119965
99,value,-0.010634011588990688
